DAniello2015_ops1.1_Patiria_miniata Pminiata_ops1.1
DAniello2015_ops1.2_Patiria_miniata Pminiata_ops1.2
DAniello2015_ops1.3_Patiria_miniata Pminiata_ops1.3
DAniello2015_ops1_Eucidaris_tribuloides Etribuloides_ops1
DAniello2015_ops1_Holothuria_forskali Hforskali_ops1
DAniello2015_ops1_Holothuria_glaberrima Hglaberrima_ops1
DAniello2015_ops1_Lytechinus_variegatus Lvariegatus_ops1
DAniello2015_ops1.A_Paracentrotus_lividus Plividus_ops1.A
DAniello2015_ops1.B_Paracentrotus_lividus Plividus_ops1.B
DAniello2015_ops1_Parastichopus_parvimensis Pparvimensis_ops1
DAniello2015_ops1_Leptosynapta_clarki Lclarki_ops1
DAniello2015_ops1.1_Asterias_rubens Arubens_ops1.1
DAniello2015_ops1.2_Asterias_rubens Arubens_ops1.2
DAniello2015_ops1_Ptychodera_flava Pflava_ops1
DAniello2015_ops1_Balanoglossus_aurantiacus Baurantiacus_ops1
DAniello2015_ops1_Parastichopus_californicus Pcalifornicus_ops1
DAniello2015_ops2_Eucidaris_tribuloides Etribuloides_ops2
DAniello2015_ops2_Heliocidaris_erythrogramma Heliocidaris_Ops2
DAniello2015_ops3.1.A_Asterias_rubens Arubens_Ops3.1.A
DAniello2015_ops3.1.B_Asterias_rubens Arubens_Opsin3.1.B
DAniello2015_ops3.1.A_Heliocidaris_erythrogramma Heliocidaris_ops3.1.A
DAniello2015_ops3.1.B_Heliocidaris_erythrogramma Heliocidaris_ops3.1.B
DAniello2015_ops3.1.A_Paracentrotus_lividus Plividus_ops3.1.A
DAniello2015_ops3.1.B_Paracentrotus_lividus Plividus_ops3.1.B
DAniello2015_ops3.1_Parastichopus_parvimensis Pparvimensis_ops3.1
DAniello2015_ops3.1_Patiria_miniata Pminiata_ops3.1
DAniello2015_ops3.1.A_Lytechinus_variegatus Lvariegatus_ops3.1.A
DAniello2015_ops3.1.B_Lytechinus_variegatus Lvariegatus_ops3.1.B
DAniello2015_ops3.2_Lytechinus_variegatus Lvariegatus_ops3.2
DAniello2015_ops3.2_Paracentrotus_lividus Plividus_3.2
DAniello2015_ops3_Eucidaris_tribuloides Etribuloides_ops3
DAniello2015_ops4_Asterias_rubens "Arubens_ops4 "
DAniello2015_ops4.1_Labidiaster_annulatus Lannulatus_ops4.1
DAniello2015_ops4.2_Labidiaster_annulatus Lannulatus_ops4.2
DAniello2015_ops4.3_Labidiaster_annulatus Lannulatus_ops4.3
DAniello2015_ops4.4_Labidiaster_annulatus Lannulatus_ops4.4
