file                                                                                                                                format  type     num_seqs    sum_len  min_len  avg_len  max_len
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterest.dropped.fasta                   FASTA   Protein       263     87,995       35    334.6    2,094
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterest.fasta                           FASTA   Protein     9,588  3,593,362       30    374.8    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.fasta                   FASTA   Protein     9,588  3,593,362       30    374.8    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_001.dropped.fasta  FASTA   Protein        22      7,047       69    320.3      868
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_001.fasta          FASTA   Protein       959    358,532       48    373.9    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_001.old.fasta      FASTA   Protein       964    358,731       35    372.1    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_002.dropped.fasta  FASTA   Protein        29      9,627       77      332    1,546
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_002.fasta          FASTA   Protein       959    362,527       31      378    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_002.old.fasta      FASTA   Protein       956    367,013       30    383.9    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_003.dropped.fasta  FASTA   Protein        17      5,227      118    307.5      559
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_003.fasta          FASTA   Protein       959    358,078       36    373.4    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_003.old.fasta      FASTA   Protein       968    361,033       36      373    1,665
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_004.dropped.fasta  FASTA   Protein        27     12,030       76    445.6    2,094
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_004.fasta          FASTA   Protein       959    359,582       36      375    1,667
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_004.old.fasta      FASTA   Protein       958    358,721       38    374.4    2,261
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_005.dropped.fasta  FASTA   Protein        35     12,133       53    346.7    1,396
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_005.fasta          FASTA   Protein       959    362,897       36    378.4    3,850
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_005.old.fasta      FASTA   Protein       950    356,802       35    375.6    2,441
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_006.dropped.fasta  FASTA   Protein        33     11,275      102    341.7      903
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_006.fasta          FASTA   Protein       959    366,453       36    382.1    2,085
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_006.old.fasta      FASTA   Protein       952    364,244       45    382.6    3,850
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_007.dropped.fasta  FASTA   Protein        20      6,301       95    315.1      551
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_007.fasta          FASTA   Protein       959    355,166       60    370.4    1,983
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_007.old.fasta      FASTA   Protein       965    358,461       36    371.5    2,062
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_008.dropped.fasta  FASTA   Protein        19      5,001       35    263.2      593
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_008.fasta          FASTA   Protein       959    350,159       35    365.1    1,452
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_008.old.fasta      FASTA   Protein       966    355,190       31    367.7    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/ClustalO/RogueIter_1/SequencesOfInterestShuffled.part_009.dropped.fasta  FASTA   Protein        31     10,119       75    326.4      785
