file                                                                                                                              format  type     num_seqs    sum_len  min_len  avg_len  max_len
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterest.dropped.fasta                   FASTA   Protein       432    133,362       30    308.7    2,261
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterest.fasta                           FASTA   Protein     9,419  3,547,995       33    376.7    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.fasta                   FASTA   Protein     9,419  3,547,995       33    376.7    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_001.dropped.fasta  FASTA   Protein        51     15,935       66    312.5    1,157
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_001.fasta          FASTA   Protein       942    348,907       35    370.4    1,983
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_001.old.fasta      FASTA   Protein       935    349,843       35    374.2    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_002.dropped.fasta  FASTA   Protein        35      8,896       30    254.2      611
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_002.fasta          FASTA   Protein       942    349,124       67    370.6    2,253
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_002.old.fasta      FASTA   Protein       950    367,744       49    387.1    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_003.dropped.fasta  FASTA   Protein        50     17,715       36    354.3    1,574
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_003.fasta          FASTA   Protein       942    344,839       36    366.1    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_003.old.fasta      FASTA   Protein       935    348,545       48    372.8    1,665
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_004.dropped.fasta  FASTA   Protein        43     17,657       75    410.6    2,261
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_004.fasta          FASTA   Protein       942    355,910       48    377.8    3,850
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_004.old.fasta      FASTA   Protein       942    353,094       38    374.8    1,547
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_005.dropped.fasta  FASTA   Protein        37      9,656       35      261    1,058
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_005.fasta          FASTA   Protein       942    350,594       35    372.2    1,469
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_005.old.fasta      FASTA   Protein       948    359,279       36      379    2,441
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_006.dropped.fasta  FASTA   Protein        51     14,508       45    284.5      686
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_006.fasta          FASTA   Protein       942    359,759       38    381.9    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_006.old.fasta      FASTA   Protein       934    361,011       80    386.5    3,850
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_007.dropped.fasta  FASTA   Protein        47     13,276       36    282.5      729
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_007.fasta          FASTA   Protein       942    359,478       37    381.6    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_007.old.fasta      FASTA   Protein       938    351,486       65    374.7    2,062
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_008.dropped.fasta  FASTA   Protein        62     18,002       31    290.4      916
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_008.fasta          FASTA   Protein       942    360,715       68    382.9    2,401
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_008.old.fasta      FASTA   Protein       923    342,189       35    370.7    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_009.dropped.fasta  FASTA   Protein        29      6,959       55      240      560
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_009.fasta          FASTA   Protein       942    360,710       33    382.9    2,014
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_009.old.fasta      FASTA   Protein       956    359,504       33    376.1    2,253
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_010.dropped.fasta  FASTA   Protein        27     10,758       65    398.4    1,336
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_010.fasta          FASTA   Protein       941    357,959       36    380.4    2,370
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/MUSCLE/RogueIter_1/SequencesOfInterestShuffled.part_010.old.fasta      FASTA   Protein       958    355,300       37    370.9    1,191
