file                                                                                                                                         format  type     num_seqs    sum_len  min_len  avg_len  max_len
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterest.dropped.fasta                   FASTA   Protein       234     70,239       31    300.2    1,574
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterest.fasta                           FASTA   Protein     9,617  3,611,118       30    375.5    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.fasta                   FASTA   Protein     9,617  3,611,118       30    375.5    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_001.dropped.fasta  FASTA   Protein        28      8,362      127    298.6      508
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_001.fasta          FASTA   Protein       962    357,234       49    371.3    1,667
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_001.old.fasta      FASTA   Protein       958    357,416       35    373.1    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_002.dropped.fasta  FASTA   Protein        19      5,957      129    313.5      491
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_002.fasta          FASTA   Protein       962    364,281       45    378.7    2,085
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_002.old.fasta      FASTA   Protein       966    370,683       30    383.7    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_003.dropped.fasta  FASTA   Protein        15      5,551      107    370.1    1,574
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_003.fasta          FASTA   Protein       962    366,382       35    380.9    3,850
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_003.old.fasta      FASTA   Protein       970    360,709       36    371.9    1,665
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_004.dropped.fasta  FASTA   Protein        29      7,471       79    257.6      452
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_004.fasta          FASTA   Protein       962    362,568       30    376.9    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_004.old.fasta      FASTA   Protein       956    363,280       38      380    2,261
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_005.dropped.fasta  FASTA   Protein        26      7,199       35    276.9      486
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_005.fasta          FASTA   Protein       962    357,801       48    371.9    2,370
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_005.old.fasta      FASTA   Protein       959    361,736       36    377.2    2,441
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_006.dropped.fasta  FASTA   Protein        18      6,452      102    358.4      622
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_006.fasta          FASTA   Protein       962    361,114       38    375.4    2,014
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_006.old.fasta      FASTA   Protein       967    369,067       45    381.7    3,850
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_007.dropped.fasta  FASTA   Protein        35      9,992       85    285.5      528
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_007.fasta          FASTA   Protein       962    362,214       48    376.5    2,254
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_007.old.fasta      FASTA   Protein       950    354,770       36    373.4    2,062
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_008.dropped.fasta  FASTA   Protein        23      6,085       31    264.6      437
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_008.fasta          FASTA   Protein       961    368,348       51    383.3    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_008.old.fasta      FASTA   Protein       962    354,106       35    368.1    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_009.dropped.fasta  FASTA   Protein        19      5,362       33    282.2      485
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_009.fasta          FASTA   Protein       961    355,749       35    370.2    1,665
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_009.old.fasta      FASTA   Protein       966    361,101       55    373.8    2,253
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_010.dropped.fasta  FASTA   Protein        22      7,808       65    354.9    1,191
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_010.fasta          FASTA   Protein       961    355,427       36    369.9    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA.2xIterLimit/RogueIter_1/SequencesOfInterestShuffled.part_010.old.fasta      FASTA   Protein       963    358,250       37      372    1,336
