file                                                                                                                             format  type     num_seqs    sum_len  min_len  avg_len  max_len
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestAll.dropped.fasta                FASTA   Protein       441    137,579       31      312    1,574
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestAll.fasta                        FASTA   Protein     9,410  3,543,778       30    376.6    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterest.dropped.fasta                   FASTA   Protein       690    220,225       31    319.2    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterest.fasta                           FASTA   Protein     9,161  3,461,132       30    377.8    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.fasta                   FASTA   Protein     9,161  3,461,132       30    377.8    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_001.dropped.fasta  FASTA   Protein        29     13,044       74    449.8    2,497
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_001.fasta          FASTA   Protein       917    348,855       30    380.4    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_001.old.fasta      FASTA   Protein       957    352,734       35    368.6    2,161
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_002.dropped.fasta  FASTA   Protein        33      9,888       49    299.6      726
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_002.fasta          FASTA   Protein       916    341,304       56    372.6    2,253
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_002.old.fasta      FASTA   Protein       952    366,752       30    385.2    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_003.dropped.fasta  FASTA   Protein        24      6,871       58    286.3      488
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_003.fasta          FASTA   Protein       916    345,991       35    377.7    2,401
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_003.old.fasta      FASTA   Protein       961    359,389       36      374    1,665
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_004.dropped.fasta  FASTA   Protein        25      7,006       75    280.2      582
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_1/SequencesOfInterestShuffled.part_004.fasta          FASTA   Protein       916    350,845       36      383    1,983
