file                                                                                                                              format  type     num_seqs    sum_len  min_len  avg_len  max_len
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestAll.dropped.fasta                FASTA   Protein       241     81,750       61    339.2    1,191
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestAll.fasta                        FASTA   Protein     7,729  2,981,214       36    385.7    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterest.dropped.fasta                   FASTA   Protein       368    124,902       36    339.4    1,191
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterest.fasta                           FASTA   Protein     7,602  2,938,062       45    386.5    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.fasta                   FASTA   Protein     7,602  2,938,062       45    386.5    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_001.dropped.fasta  FASTA   Protein        20      6,889      124    344.5      493
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_001.fasta          FASTA   Protein       951    365,945       45    384.8    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_001.old.fasta      FASTA   Protein       977    393,080       51    402.3    2,276
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_002.dropped.fasta  FASTA   Protein        10      3,780      152      378      531
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_002.fasta          FASTA   Protein       951    371,014       51    390.1    1,944
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_002.old.fasta      FASTA   Protein       987    376,058       51      381    3,850
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_003.dropped.fasta  FASTA   Protein        19      5,549       36    292.1      558
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_003.fasta          FASTA   Protein       950    373,852       72    393.5    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_003.old.fasta      FASTA   Protein       977    381,821       58    390.8    2,401
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_004.dropped.fasta  FASTA   Protein        16      4,538       61    283.6      422
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_004.fasta          FASTA   Protein       950    367,807       70    387.2    2,062
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_004.old.fasta      FASTA   Protein       980    375,727       72    383.4    2,441
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_005.dropped.fasta  FASTA   Protein        19      7,321      103    385.3    1,014
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_005.fasta          FASTA   Protein       950    368,240       66    387.6    2,441
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_005.old.fasta      FASTA   Protein       977    380,729       64    389.7    4,736
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_006.dropped.fasta  FASTA   Protein        12      3,712       98    309.3      394
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_006.fasta          FASTA   Protein       950    363,499       64    382.6    1,530
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_006.old.fasta      FASTA   Protein       984    377,379       71    383.5    1,667
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_007.dropped.fasta  FASTA   Protein        29     10,449      197    360.3      821
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_007.fasta          FASTA   Protein       950    364,883       74    384.1    1,674
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_007.old.fasta      FASTA   Protein       967    367,632       45    380.2    1,665
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_008.dropped.fasta  FASTA   Protein        12      4,228       96    352.3      563
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_008.fasta          FASTA   Protein       950    362,822       51    381.9    2,085
/work/oa20474/PhylogenyPipeline/Opsins/SequencesOfInterest/PASTA/RogueIter_12/SequencesOfInterestShuffled.part_008.old.fasta      FASTA   Protein       984    364,072       65      370      966
