NP_001304693.1	opsin 8, group member c [Danio rerio]	0.0
XP_029903724.1	opsin-5-like [Myripristis murdjan]	0.0
XP_029352961.1	opsin-5-like [Echeneis naucrates]	0.0
XP_031692507.1	opsin-5-like [Oncorhynchus kisutch]	0.0
XP_023829334.1	opsin-5-like [Salvelinus alpinus]	0.0
XP_033505272.1	opsin 8, group member c [Epinephelus lanceolatus]	0.0
XP_024278417.1	opsin-5-like [Oncorhynchus tshawytscha]	0.0
XP_022621604.1	opsin-5-like [Seriola dumerili]	0.0
XP_023270959.1	opsin-5-like [Seriola lalandi dorsalis]	0.0
XP_018550500.1	PREDICTED: opsin-5-like [Lates calcarifer]	0.0
XP_025754745.1	opsin-5 [Oreochromis niloticus]	0.0
XP_029588783.1	opsin-5-like [Salmo trutta]	0.0
XP_026197748.1	opsin 8, group member c [Anabas testudineus]	0.0
XP_029281897.1	opsin-5-like isoform X1 [Cottoperca gobio]	0.0
XP_031600596.1	opsin-5-like [Oreochromis aureus]	0.0
XP_005921606.1	PREDICTED: opsin-5-like [Haplochromis burtoni]	0.0
TKS76230.1	G-protein coupled receptor 136 [Collichthys lucidus]	0.0
TKS75460.1	G-protein coupled receptor 136 [Collichthys lucidus]	0.0
XP_028296141.1	opsin-5-like [Gouania willdenowi]	0.0
XP_010744502.3	opsin-5 [Larimichthys crocea]	0.0
XP_028253685.1	opsin-5-like [Parambassis ranga]	0.0
XP_005731143.1	PREDICTED: opsin-5-like [Pundamilia nyererei]	0.0
KAE8286630.1	Opsin-5 G-protein coupled receptor 136 [Larimichthys crocea]	0.0
TMS12361.1	Opsin-5, partial [Larimichthys crocea]	0.0
XP_030578311.1	opsin-5-like [Archocentrus centrarchus]	0.0
XP_029131948.1	opsin-5-like [Labrus bergylta]	0.0
XP_034554799.1	opsin 8, group member c [Notolabrus celidotus]	0.0
TNN76140.1	Opsin-5 [Liparis tanakae]	0.0
XP_028461024.1	opsin-5-like [Perca flavescens]	0.0
XP_006792630.1	PREDICTED: opsin-5-like [Neolamprologus brichardi]	0.0
AXF38099.1	OPN8c [Paralichthys olivaceus]	1.34e-180
XP_034383421.1	opsin 8, group member c [Cyclopterus lumpus]	6.19e-180
KAF1376753.1	hypothetical protein PFLUV_G00214730 [Perca fluviatilis]	8.20e-180
XP_024147167.1	opsin-5-like [Oryzias melastigma]	9.45e-180
XP_030260552.1	opsin-5-like [Sparus aurata]	1.27e-179
XP_004550479.1	opsin-5 [Maylandia zebra]	1.64e-178
XP_029966305.1	opsin-5-like [Salarias fasciatus]	2.41e-178
XP_029965789.1	opsin-5-like [Salarias fasciatus]	4.23e-178
XP_029984814.1	opsin-5-like [Sphaeramia orbicularis]	7.58e-177
