6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.50e-123
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.03e-59
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.22e-59
2Z73_A	N/A	8.34e-59
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.92e-43
1F88_A	N/A	4.48e-43
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	4.58e-43
4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.04e-42
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.06e-42
3C9M_A	Chain A, Rhodopsin [unidentified]	1.26e-42
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.29e-42
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.45e-42
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.48e-42
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.70e-40
6FK6_A	Chain A, Rhodopsin [Bos taurus]	9.35e-40
6FUF_A	Chain A, Rhodopsin [Bos taurus]	3.73e-38
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	1.36e-36
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.03e-36
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.17e-36
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	7.94e-35
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.48e-22
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.23e-21
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	2.37e-21
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	5.14e-21
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.09e-20
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	1.84e-20
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.77e-20
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	4.15e-19
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	9.51e-19
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	6.80e-17
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	7.94e-17
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	8.65e-17
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.03e-16
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	1.23e-16
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	6.05e-16
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	6.88e-16
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	7.24e-16
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.95e-15
6N4B_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	2.24e-15
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	3.37e-15
6KPG_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	7.13e-15
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	1.01e-14
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.32e-14
6A93_A	Chain A, 5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 [Homo sapiens]	1.33e-14
6LI2_A	Chain A, Chimera of G-protein coupled receptor 52 and Rubredoxin [Homo sapiens]	1.59e-14
6GPX_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	3.41e-14
6GPS_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	4.08e-14
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	4.35e-14
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	2.69e-13
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	2.85e-13
3D4S_A	Chain A, Beta-2 adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	5.03e-13
5TUD_A	Chain A, 5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera [Homo sapiens]	5.04e-13
6PRZ_A	Chain A, Fusion protein of Beta-2 adrenergic receptor and T4 Lysozyme [Homo sapiens]	5.13e-13
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	5.40e-13
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	8.10e-13
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	1.11e-12
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	1.16e-12
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.19e-12
4IB4_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	2.33e-12
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	4.12e-12
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	4.74e-12
5T1A_A	Chain A, Chimera protein of CC chemokine receptor type 2 isoform B and T4-lysozyme,Lysozyme [Homo sapiens]	9.10e-12
6DRX_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	9.98e-12
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	1.06e-11
