NP_001304693.1	opsin 8, group member c [Danio rerio]	0.0
XP_029903724.1	opsin-5-like [Myripristis murdjan]	0.0
XP_029352961.1	opsin-5-like [Echeneis naucrates]	0.0
XP_031692507.1	opsin-5-like [Oncorhynchus kisutch]	0.0
XP_023829334.1	opsin-5-like [Salvelinus alpinus]	0.0
XP_033505272.1	opsin 8, group member c [Epinephelus lanceolatus]	0.0
XP_024278417.1	opsin-5-like [Oncorhynchus tshawytscha]	0.0
XP_022621604.1	opsin-5-like [Seriola dumerili]	0.0
XP_023270959.1	opsin-5-like [Seriola lalandi dorsalis]	0.0
XP_018550500.1	PREDICTED: opsin-5-like [Lates calcarifer]	0.0
XP_025754745.1	opsin-5 [Oreochromis niloticus]	0.0
XP_029588783.1	opsin-5-like [Salmo trutta]	0.0
XP_026197748.1	opsin 8, group member c [Anabas testudineus]	0.0
XP_029281897.1	opsin-5-like isoform X1 [Cottoperca gobio]	0.0
XP_031600596.1	opsin-5-like [Oreochromis aureus]	0.0
XP_005921606.1	PREDICTED: opsin-5-like [Haplochromis burtoni]	0.0
XP_028296141.1	opsin-5-like [Gouania willdenowi]	0.0
XP_010744502.3	opsin-5 [Larimichthys crocea]	0.0
XP_028253685.1	opsin-5-like [Parambassis ranga]	0.0
XP_005731143.1	PREDICTED: opsin-5-like [Pundamilia nyererei]	0.0
XP_030578311.1	opsin-5-like [Archocentrus centrarchus]	0.0
XP_029131948.1	opsin-5-like [Labrus bergylta]	0.0
XP_034554799.1	opsin 8, group member c [Notolabrus celidotus]	0.0
XP_028461024.1	opsin-5-like [Perca flavescens]	0.0
XP_006792630.1	PREDICTED: opsin-5-like [Neolamprologus brichardi]	0.0
XP_034383421.1	opsin 8, group member c [Cyclopterus lumpus]	3.84e-180
XP_024147167.1	opsin-5-like [Oryzias melastigma]	5.87e-180
XP_030260552.1	opsin-5-like [Sparus aurata]	7.89e-180
XP_004550479.1	opsin-5 [Maylandia zebra]	1.02e-178
XP_029966305.1	opsin-5-like [Salarias fasciatus]	1.50e-178
XP_029965789.1	opsin-5-like [Salarias fasciatus]	2.63e-178
XP_029984814.1	opsin-5-like [Sphaeramia orbicularis]	4.71e-177
XP_019713432.1	PREDICTED: opsin-5-like isoform X1 [Hippocampus comes]	5.77e-177
XP_013999496.1	PREDICTED: opsin-5-like [Salmo salar]	4.95e-176
XP_011489863.1	opsin-5-like [Oryzias latipes]	5.12e-176
XP_032398184.1	LOW QUALITY PROTEIN: opsin-5-like [Etheostoma spectabile]	9.14e-175
XP_015202578.1	PREDICTED: opsin-5-like isoform X3 [Lepisosteus oculatus]	6.19e-174
XP_026175093.1	opsin-5-like [Mastacembelus armatus]	1.53e-173
