4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.58e-35
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	3.67e-35
2Z73_A	N/A	1.11e-34
1F88_A	N/A	2.33e-34
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.38e-34
6FKB_A	Chain A, Rhodopsin [Bos taurus]	4.70e-34
2X72_A	Chain A, Rhodopsin [Bos taurus]	4.97e-34
6FK6_A	Chain A, Rhodopsin [Bos taurus]	5.01e-34
3C9M_A	Chain A, Rhodopsin [unidentified]	5.76e-34
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	5.87e-34
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.31e-33
6FUF_A	Chain A, Rhodopsin [Bos taurus]	4.06e-33
4BEY_A	Chain A, Rhodopsin [Bos taurus]	4.73e-33
6QNO_R	Chain R, Rhodopsin [Bos taurus]	6.67e-33
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	6.80e-33
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.11e-30
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.20e-30
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	9.28e-30
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.97e-27
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	3.11e-27
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.11e-12
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.88e-12
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.51e-11
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	1.65e-11
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	2.07e-11
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	2.20e-11
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	2.41e-11
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	2.58e-11
