NP_001100769.1	RPE-retinal G protein-coupled receptor [Rattus norvegicus]	0.0
XP_031217541.1	RPE-retinal G protein-coupled receptor isoform X1 [Mastomys coucha]	0.0
XP_032775157.1	RPE-retinal G protein-coupled receptor isoform X1 [Rattus rattus]	0.0
XP_028643871.1	RPE-retinal G protein-coupled receptor isoform X2 [Grammomys surdaster]	0.0
XP_031217542.1	RPE-retinal G protein-coupled receptor isoform X2 [Mastomys coucha]	0.0
XP_021037995.1	RPE-retinal G protein-coupled receptor isoform X2 [Mus caroli]	0.0
NP_067315.1	RPE-retinal G protein-coupled receptor isoform 1 [Mus musculus]	0.0
EDL24895.1	retinal G protein coupled receptor, partial [Mus musculus]	0.0
XP_034354088.1	RPE-retinal G protein-coupled receptor isoform X1 [Arvicanthis niloticus]	0.0
XP_017455577.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Rattus norvegicus]	0.0
BAE28782.1	unnamed protein product [Mus musculus]	0.0
XP_028643870.1	RPE-retinal G protein-coupled receptor isoform X1 [Grammomys surdaster]	0.0
XP_021037994.1	RPE-retinal G protein-coupled receptor isoform X1 [Mus caroli]	0.0
XP_021059474.1	RPE-retinal G protein-coupled receptor isoform X2 [Mus pahari]	0.0
XP_021059473.1	RPE-retinal G protein-coupled receptor isoform X1 [Mus pahari]	0.0
ERE86957.1	RPE-retinal G protein-coupled receptor-like protein [Cricetulus griseus]	0.0
XP_003504610.1	RPE-retinal G protein-coupled receptor [Cricetulus griseus]	0.0
XP_005077672.1	RPE-retinal G protein-coupled receptor [Mesocricetus auratus]	0.0
XP_028738855.1	LOW QUALITY PROTEIN: RPE-retinal G protein-coupled receptor [Peromyscus leucopus]	0.0
XP_006976745.2	PREDICTED: RPE-retinal G protein-coupled receptor [Peromyscus maniculatus bairdii]	0.0
XP_005348725.2	RPE-retinal G protein-coupled receptor [Microtus ochrogaster]	0.0
XP_021500570.1	RPE-retinal G protein-coupled receptor isoform X2 [Meriones unguiculatus]	0.0
XP_005340142.1	RPE-retinal G protein-coupled receptor isoform X1 [Ictidomys tridecemlineatus]	0.0
XP_027795816.1	RPE-retinal G protein-coupled receptor isoform X2 [Marmota flaviventris]	0.0
XP_015355523.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Marmota marmota marmota]	0.0
XP_026252840.1	RPE-retinal G protein-coupled receptor isoform X2 [Urocitellus parryii]	0.0
XP_012503462.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Propithecus coquereli]	1.93e-180
XP_021500560.1	RPE-retinal G protein-coupled receptor isoform X1 [Meriones unguiculatus]	4.30e-180
XP_027795815.1	RPE-retinal G protein-coupled receptor isoform X1 [Marmota flaviventris]	1.78e-179
XP_003828256.1	RPE-retinal G protein-coupled receptor isoform X5 [Pan paniscus]	4.75e-179
XP_020040638.1	RPE-retinal G protein-coupled receptor isoform X2 [Castor canadensis]	5.36e-179
XP_004049749.2	RPE-retinal G protein-coupled receptor isoform X2 [Gorilla gorilla gorilla]	6.18e-179
XP_032115159.1	RPE-retinal G protein-coupled receptor isoform X2 [Sapajus apella]	7.69e-179
XP_001154882.1	RPE-retinal G protein-coupled receptor isoform X1 [Pan troglodytes]	1.26e-178
XP_026252839.1	RPE-retinal G protein-coupled receptor isoform X1 [Urocitellus parryii]	2.00e-178
XP_017376333.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Cebus capucinus imitator]	3.34e-178
XP_002820788.1	RPE-retinal G protein-coupled receptor isoform X2 [Pongo abelii]	3.49e-178
XP_003783777.1	RPE-retinal G protein-coupled receptor isoform X2 [Otolemur garnettii]	3.98e-178
XP_032026758.1	RPE-retinal G protein-coupled receptor [Hylobates moloch]	1.23e-177
NP_001257842.1	RPE-retinal G protein-coupled receptor [Callithrix jacchus]	2.35e-177
XP_003274517.1	RPE-retinal G protein-coupled receptor [Nomascus leucogenys]	2.74e-177
NP_001012738.1	RPE-retinal G protein-coupled receptor isoform 2 [Homo sapiens]	3.45e-177
XP_017654320.1	LOW QUALITY PROTEIN: RPE-retinal G protein-coupled receptor [Nannospalax galili]	3.61e-177
XP_012323955.1	RPE-retinal G protein-coupled receptor isoform X4 [Aotus nancymaae]	3.85e-177
XP_003942612.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Saimiri boliviensis boliviensis]	4.07e-177
XP_023081868.2	RPE-retinal G protein-coupled receptor isoform X2 [Piliocolobus tephrosceles]	4.59e-177
XP_008951805.1	RPE-retinal G protein-coupled receptor isoform X4 [Pan paniscus]	8.23e-177
XP_001086190.1	RPE-retinal G protein-coupled receptor isoform X1 [Macaca mulatta]	1.01e-176
XP_011805813.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Colobus angolensis palliatus]	1.26e-176
XP_020040636.1	RPE-retinal G protein-coupled receptor isoform X1 [Castor canadensis]	1.74e-176
XP_018890009.1	RPE-retinal G protein-coupled receptor isoform X1 [Gorilla gorilla gorilla]	2.28e-176
XP_032115158.1	RPE-retinal G protein-coupled receptor isoform X1 [Sapajus apella]	2.44e-176
XP_033064500.1	RPE-retinal G protein-coupled receptor isoform X2 [Trachypithecus francoisi]	2.59e-176
PNI34884.1	RGR isoform 4 [Pan troglodytes]	4.26e-176
XP_025252901.1	RPE-retinal G protein-coupled receptor isoform X2 [Theropithecus gelada]	4.59e-176
XP_023365352.1	RPE-retinal G protein-coupled receptor isoform X1 [Otolemur garnettii]	8.41e-176
XP_009243678.1	RPE-retinal G protein-coupled receptor isoform X1 [Pongo abelii]	1.05e-175
XP_017376332.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Cebus capucinus imitator]	1.08e-175
XP_012620168.1	RPE-retinal G protein-coupled receptor [Microcebus murinus]	1.12e-175
XP_010374638.1	RPE-retinal G protein-coupled receptor isoform X2 [Rhinopithecus roxellana]	4.79e-175
XP_012323954.1	RPE-retinal G protein-coupled receptor isoform X3 [Aotus nancymaae]	9.28e-175
NP_002912.2	RPE-retinal G protein-coupled receptor isoform 1 [Homo sapiens]	1.12e-174
XP_023081867.2	RPE-retinal G protein-coupled receptor isoform X1 [Piliocolobus tephrosceles]	1.17e-174
XP_010328702.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Saimiri boliviensis boliviensis]	1.68e-174
XP_011841207.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Mandrillus leucophaeus]	3.27e-174
AKI70055.1	RGR, partial [synthetic construct]	3.69e-174
AKI70057.1	RGR, partial [synthetic construct]	4.70e-174
XP_033064499.1	RPE-retinal G protein-coupled receptor isoform X1 [Trachypithecus francoisi]	5.36e-174
AKI70056.1	RGR, partial [synthetic construct]	7.95e-174
XP_011805812.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Colobus angolensis palliatus]	1.00e-173
EHH19038.1	hypothetical protein EGK_19673 [Macaca mulatta]	1.11e-173
XP_025252900.1	RPE-retinal G protein-coupled receptor isoform X1 [Theropithecus gelada]	1.54e-173
XP_009007872.2	RPE-retinal G protein-coupled receptor isoform X2 [Callithrix jacchus]	1.82e-173
XP_031217543.1	RPE-retinal G protein-coupled receptor isoform X3 [Mastomys coucha]	4.51e-173
XP_008065210.1	LOW QUALITY PROTEIN: RPE-retinal G protein-coupled receptor [Carlito syrichta]	1.30e-172
XP_010374637.1	RPE-retinal G protein-coupled receptor isoform X1 [Rhinopithecus roxellana]	1.73e-172
XP_004658063.1	PREDICTED: RPE-retinal G protein-coupled receptor [Jaculus jaculus]	6.36e-172
XP_032775158.1	RPE-retinal G protein-coupled receptor isoform X2 [Rattus rattus]	1.14e-171
XP_028643872.1	RPE-retinal G protein-coupled receptor isoform X3 [Grammomys surdaster]	4.61e-171
XP_026360368.1	RPE-retinal G protein-coupled receptor isoform X2 [Ursus arctos horribilis]	1.04e-170
XP_006915521.1	RPE-retinal G protein-coupled receptor isoform X2 [Pteropus alecto]	1.61e-170
XP_003994175.1	RPE-retinal G protein-coupled receptor isoform X2 [Felis catus]	3.11e-170
XP_007093192.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Panthera tigris altaica]	3.29e-170
XP_021037996.1	RPE-retinal G protein-coupled receptor isoform X3 [Mus caroli]	4.08e-170
XP_025774013.1	RPE-retinal G protein-coupled receptor isoform X2 [Puma concolor]	4.99e-170
XP_026918256.1	RPE-retinal G protein-coupled receptor [Acinonyx jubatus]	1.51e-169
VFV24947.1	rpe-retinal g protein-coupled [Lynx pardinus]	1.88e-169
XP_029771616.1	RPE-retinal G protein-coupled receptor [Suricata suricatta]	1.98e-169
XP_002915435.1	RPE-retinal G protein-coupled receptor isoform X2 [Ailuropoda melanoleuca]	2.39e-169
XP_020749126.1	RPE-retinal G protein-coupled receptor [Odocoileus virginianus texanus]	8.81e-169
XP_002721030.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Oryctolagus cuniculus]	9.41e-169
XP_007533982.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Erinaceus europaeus]	1.25e-168
XP_011353644.1	RPE-retinal G protein-coupled receptor isoform X2 [Pteropus vampyrus]	1.38e-168
XP_007174638.1	RPE-retinal G protein-coupled receptor isoform X2 [Balaenoptera acutorostrata scammoni]	2.29e-168
KAF4018969.1	hypothetical protein G4228_010822 [Cervus hanglu yarkandensis]	2.39e-168
XP_027452220.1	RPE-retinal G protein-coupled receptor isoform X1 [Zalophus californianus]	3.18e-168
KAB0404893.1	hypothetical protein E2I00_006669, partial [Balaenoptera physalus]	3.74e-168
XP_006915520.1	RPE-retinal G protein-coupled receptor isoform X1 [Pteropus alecto]	4.88e-168
XP_019300335.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Panthera pardus]	5.39e-168
XP_019668969.1	RPE-retinal G protein-coupled receptor isoform X1 [Felis catus]	6.01e-168
XP_015397960.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Panthera tigris altaica]	7.49e-168
XP_014644534.1	PREDICTED: RPE-retinal G protein-coupled receptor [Ceratotherium simum simum]	7.99e-168
XP_030191054.1	RPE-retinal G protein-coupled receptor isoform X2 [Lynx canadensis]	1.03e-167
XP_004765826.1	PREDICTED: RPE-retinal G protein-coupled receptor [Mustela putorius furo]	1.05e-167
XP_022355908.1	RPE-retinal G protein-coupled receptor isoform X2 [Enhydra lutris kenyoni]	1.32e-167
MBV94473.1	RPE-retinal G protein-coupled receptor [Eschrichtius robustus]	1.39e-167
XP_007104100.2	RPE-retinal G protein-coupled receptor isoform X2 [Physeter catodon]	1.72e-167
XP_032464760.1	RPE-retinal G protein-coupled receptor isoform X1 [Phocoena sinus]	1.85e-167
XP_021059475.1	RPE-retinal G protein-coupled receptor isoform X3 [Mus pahari]	2.21e-167
XP_032279663.1	RPE-retinal G protein-coupled receptor isoform X1 [Phoca vitulina]	2.49e-167
XP_024416820.1	RPE-retinal G protein-coupled receptor [Desmodus rotundus]	2.81e-167
XP_015985666.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Rousettus aegyptiacus]	3.14e-167
XP_017503157.1	PREDICTED: RPE-retinal G protein-coupled receptor [Manis javanica]	3.17e-167
XP_021555774.1	RPE-retinal G protein-coupled receptor isoform X2 [Neomonachus schauinslandi]	3.17e-167
XP_034517671.1	RPE-retinal G protein-coupled receptor isoform X1 [Ailuropoda melanoleuca]	4.57e-167
