4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	4.52e-40
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	7.05e-40
2Z73_A	N/A	3.10e-39
1F88_A	N/A	1.39e-33
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.42e-33
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.15e-33
3C9M_A	Chain A, Rhodopsin [unidentified]	3.53e-33
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.60e-33
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.10e-32
6QNO_R	Chain R, Rhodopsin [Bos taurus]	3.51e-32
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	3.57e-32
4BEY_A	Chain A, Rhodopsin [Bos taurus]	3.91e-32
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.10e-31
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.47e-31
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.31e-30
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.09e-30
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.00e-27
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.48e-27
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.86e-27
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.20e-26
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.29e-15
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.92e-14
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	4.34e-14
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	5.43e-14
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.57e-13
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	1.72e-13
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.88e-13
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	6.39e-13
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	8.00e-13
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.46e-12
