XP_022346175.1	opsin-5-like [Crassostrea virginica]	1.22e-180
XP_034336070.1	opsin-5 [Crassostrea gigas]	3.53e-178
XP_033747186.1	opsin-5-like [Pecten maximus]	1.73e-101
XP_021358232.1	opsin-5-like [Mizuhopecten yessoensis]	8.41e-99
XP_009048325.1	hypothetical protein LOTGIDRAFT_140119, partial [Lottia gigantea]	9.06e-60
XP_016149156.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	2.25e-57
XP_034436443.1	opsin-5 isoform X2 [Hippoglossus hippoglossus]	4.05e-57
XP_018966217.1	PREDICTED: opsin-5-like [Cyprinus carpio]	5.54e-57
XP_014000181.1	PREDICTED: opsin-5-like [Salmo salar]	9.83e-57
XP_026088654.1	opsin-5-like [Carassius auratus]	1.20e-56
XP_020652399.1	opsin-5-like isoform X2 [Pogona vitticeps]	1.24e-56
XP_034436442.1	opsin-5 isoform X1 [Hippoglossus hippoglossus]	1.49e-56
XP_016343753.1	PREDICTED: opsin-5-like [Sinocyclocheilus anshuiensis]	1.52e-56
XP_016091118.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	2.24e-56
XP_026174734.1	opsin-5 [Mastacembelus armatus]	2.39e-56
XP_035000086.1	LOW QUALITY PROTEIN: opsin-5 [Hippoglossus stenolepis]	2.41e-56
XP_031156037.1	opsin-5-like [Sander lucioperca]	2.99e-56
XP_016399377.1	PREDICTED: opsin-5-like [Sinocyclocheilus rhinocerous]	3.02e-56
XP_018558946.1	PREDICTED: opsin-5-like [Lates calcarifer]	4.09e-56
XP_029589401.1	opsin-5-like [Salmo trutta]	4.46e-56
XP_020652398.1	opsin-5-like isoform X1 [Pogona vitticeps]	4.54e-56
XP_016399162.1	PREDICTED: opsin-5-like [Sinocyclocheilus rhinocerous]	4.69e-56
XP_026197688.1	opsin-5 [Anabas testudineus]	5.27e-56
XP_031732945.1	opsin-5 isoform X3 [Anarrhichthys ocellatus]	5.33e-56
XP_014060872.1	PREDICTED: opsin-5-like [Salmo salar]	6.29e-56
XP_020310351.1	opsin-5-like [Oncorhynchus kisutch]	6.35e-56
XP_008640042.1	PREDICTED: opsin-5 [Corvus brachyrhynchos]	6.78e-56
XP_020780305.1	opsin-5 [Boleophthalmus pectinirostris]	7.60e-56
XP_029135201.1	opsin-5 [Labrus bergylta]	7.67e-56
XP_031960465.1	opsin-5-like [Corvus moneduloides]	7.71e-56
XP_014728385.1	PREDICTED: opsin-5-like [Sturnus vulgaris]	8.10e-56
XP_032912520.1	opsin-5 [Catharus ustulatus]	8.68e-56
XP_034384247.1	opsin-5 [Cyclopterus lumpus]	9.06e-56
XP_018599093.1	opsin-5-like [Scleropages formosus]	1.18e-55
XP_010198271.1	PREDICTED: opsin-5, partial [Colius striatus]	1.21e-55
XP_018548692.1	PREDICTED: opsin-5-like [Lates calcarifer]	1.35e-55
XP_021467758.1	opsin-5-like [Oncorhynchus mykiss]	1.39e-55
XP_029534609.1	opsin-5-like [Oncorhynchus nerka]	1.39e-55
XP_029486574.1	opsin-5-like [Oncorhynchus nerka]	1.45e-55
XP_014457093.1	PREDICTED: opsin-5 [Alligator mississippiensis]	1.53e-55
XP_021456226.1	opsin-5-like [Oncorhynchus mykiss]	1.55e-55
XP_029606069.1	opsin-5-like [Salmo trutta]	1.92e-55
XP_018592452.1	opsin-5 [Scleropages formosus]	1.97e-55
XP_028296159.1	opsin-5 [Gouania willdenowi]	1.98e-55
XP_024276219.1	opsin-5-like [Oncorhynchus tshawytscha]	2.11e-55
XP_024234454.1	opsin-5-like [Oncorhynchus tshawytscha]	2.13e-55
XP_031693109.1	opsin-5-like isoform X2 [Oncorhynchus kisutch]	2.16e-55
XP_005044390.1	PREDICTED: opsin-5 [Ficedula albicollis]	2.28e-55
XP_023270970.1	opsin-5 [Seriola lalandi dorsalis]	2.35e-55
XP_023856224.1	opsin-5 isoform X1 [Salvelinus alpinus]	2.62e-55
XP_019947239.1	PREDICTED: opsin-5 [Paralichthys olivaceus]	2.73e-55
XP_009586139.1	PREDICTED: opsin-5-like [Fulmarus glacialis]	2.99e-55
XP_009699396.1	PREDICTED: opsin-5-like [Cariama cristata]	3.04e-55
XP_023830071.1	opsin-5-like [Salvelinus alpinus]	3.07e-55
XP_019393640.1	PREDICTED: opsin-5 [Crocodylus porosus]	3.11e-55
XP_031732942.1	opsin-5 isoform X1 [Anarrhichthys ocellatus]	3.31e-55
XP_006027461.1	opsin-5 [Alligator sinensis]	3.47e-55
XP_029984594.1	opsin-5-like [Sphaeramia orbicularis]	3.59e-55
XP_010000694.1	PREDICTED: opsin-5 [Chaetura pelagica]	3.71e-55
XP_009883598.1	PREDICTED: opsin-5-like [Charadrius vociferus]	3.91e-55
XP_013049981.1	PREDICTED: opsin-5-like [Anser cygnoides domesticus]	4.08e-55
XP_008114786.1	PREDICTED: opsin-5 [Anolis carolinensis]	4.23e-55
XP_033873857.1	opsin-5-like [Acipenser ruthenus]	4.47e-55
