6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.83e-19
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	6.03e-17
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	6.56e-17
2Z73_A	N/A	7.06e-17
6FKB_A	Chain A, Rhodopsin [Bos taurus]	2.18e-10
6FK6_A	Chain A, Rhodopsin [Bos taurus]	2.28e-10
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.39e-10
3C9M_A	Chain A, Rhodopsin [unidentified]	2.71e-10
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.72e-10
1F88_A	N/A	4.05e-10
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	4.07e-10
4BEY_A	Chain A, Rhodopsin [Bos taurus]	5.43e-10
6FUF_A	Chain A, Rhodopsin [Bos taurus]	6.40e-10
6QNO_R	Chain R, Rhodopsin [Bos taurus]	7.78e-10
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	7.80e-10
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.06e-09
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.01e-08
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	9.09e-08
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.18e-08
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	4.21e-06
