XP_006100194.1	RPE-retinal G protein-coupled receptor [Myotis lucifugus]	0.0
XP_005871214.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Myotis brandtii]	0.0
XP_006755661.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Myotis davidii]	0.0
XP_014399108.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Myotis brandtii]	0.0
XP_014399109.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X3 [Myotis brandtii]	2.54e-167
XP_008147352.1	RPE-retinal G protein-coupled receptor [Eptesicus fuscus]	2.04e-166
XP_012503462.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Propithecus coquereli]	1.22e-163
XP_017376333.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Cebus capucinus imitator]	3.30e-163
XP_003783777.1	RPE-retinal G protein-coupled receptor isoform X2 [Otolemur garnettii]	3.64e-163
XP_007174638.1	RPE-retinal G protein-coupled receptor isoform X2 [Balaenoptera acutorostrata scammoni]	1.05e-162
XP_006915521.1	RPE-retinal G protein-coupled receptor isoform X2 [Pteropus alecto]	1.09e-162
XP_032115159.1	RPE-retinal G protein-coupled receptor isoform X2 [Sapajus apella]	1.28e-162
XP_011353644.1	RPE-retinal G protein-coupled receptor isoform X2 [Pteropus vampyrus]	3.68e-162
NP_786969.1	RPE-retinal G protein-coupled receptor [Bos taurus]	3.80e-162
NP_001257842.1	RPE-retinal G protein-coupled receptor [Callithrix jacchus]	5.16e-162
XP_007104100.2	RPE-retinal G protein-coupled receptor isoform X2 [Physeter catodon]	5.22e-162
XP_004049749.2	RPE-retinal G protein-coupled receptor isoform X2 [Gorilla gorilla gorilla]	6.22e-162
XP_030191054.1	RPE-retinal G protein-coupled receptor isoform X2 [Lynx canadensis]	8.93e-162
XP_003274517.1	RPE-retinal G protein-coupled receptor [Nomascus leucogenys]	8.93e-162
XP_003942612.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Saimiri boliviensis boliviensis]	9.54e-162
XP_011805813.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Colobus angolensis palliatus]	9.97e-162
XP_032026758.1	RPE-retinal G protein-coupled receptor [Hylobates moloch]	1.30e-161
XP_001154882.1	RPE-retinal G protein-coupled receptor isoform X1 [Pan troglodytes]	1.54e-161
XP_006072424.1	RPE-retinal G protein-coupled receptor isoform X2 [Bubalus bubalis]	1.61e-161
XP_025252901.1	RPE-retinal G protein-coupled receptor isoform X2 [Theropithecus gelada]	1.63e-161
NP_001012738.1	RPE-retinal G protein-coupled receptor isoform 2 [Homo sapiens]	1.97e-161
XP_002820788.1	RPE-retinal G protein-coupled receptor isoform X2 [Pongo abelii]	2.03e-161
XP_028369944.1	RPE-retinal G protein-coupled receptor isoform X2 [Phyllostomus discolor]	2.16e-161
XP_024416820.1	RPE-retinal G protein-coupled receptor [Desmodus rotundus]	2.42e-161
XP_023365352.1	RPE-retinal G protein-coupled receptor isoform X1 [Otolemur garnettii]	3.52e-161
XP_001927876.2	RPE-retinal G protein-coupled receptor isoform X2 [Sus scrofa]	5.05e-161
XP_001086190.1	RPE-retinal G protein-coupled receptor isoform X1 [Macaca mulatta]	6.71e-161
XP_020749126.1	RPE-retinal G protein-coupled receptor [Odocoileus virginianus texanus]	9.42e-161
XP_003828256.1	RPE-retinal G protein-coupled receptor isoform X5 [Pan paniscus]	9.53e-161
XP_017376332.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Cebus capucinus imitator]	9.75e-161
XP_023081868.2	RPE-retinal G protein-coupled receptor isoform X2 [Piliocolobus tephrosceles]	9.84e-161
XP_003994175.1	RPE-retinal G protein-coupled receptor isoform X2 [Felis catus]	1.20e-160
XP_019809834.1	PREDICTED: RPE-retinal G protein-coupled receptor [Bos indicus]	1.27e-160
XP_012323955.1	RPE-retinal G protein-coupled receptor isoform X4 [Aotus nancymaae]	1.53e-160
XP_006915520.1	RPE-retinal G protein-coupled receptor isoform X1 [Pteropus alecto]	1.63e-160
XP_033064500.1	RPE-retinal G protein-coupled receptor isoform X2 [Trachypithecus francoisi]	1.70e-160
XP_017897652.1	PREDICTED: RPE-retinal G protein-coupled receptor [Capra hircus]	1.80e-160
XP_028020402.1	RPE-retinal G protein-coupled receptor isoform X1 [Balaenoptera acutorostrata scammoni]	2.40e-160
XP_029771616.1	RPE-retinal G protein-coupled receptor [Suricata suricatta]	3.14e-160
XP_032115158.1	RPE-retinal G protein-coupled receptor isoform X1 [Sapajus apella]	3.92e-160
XP_010374638.1	RPE-retinal G protein-coupled receptor isoform X2 [Rhinopithecus roxellana]	4.00e-160
XP_032464760.1	RPE-retinal G protein-coupled receptor isoform X1 [Phocoena sinus]	4.67e-160
XP_010852679.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Bison bison bison]	6.42e-160
XP_004273062.1	RPE-retinal G protein-coupled receptor isoform X2 [Orcinus orca]	6.48e-160
XP_007447668.1	PREDICTED: RPE-retinal G protein-coupled receptor [Lipotes vexillifer]	7.39e-160
XP_023383646.1	RPE-retinal G protein-coupled receptor isoform X1 [Pteropus vampyrus]	7.82e-160
