2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	4.05e-17
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	4.93e-17
2Z73_A	N/A	5.26e-17
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	8.09e-13
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.79e-12
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.79e-12
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	2.84e-12
6FUF_A	Chain A, Rhodopsin [Bos taurus]	6.05e-12
1F88_A	N/A	6.23e-12
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	6.25e-12
6QNO_R	Chain R, Rhodopsin [Bos taurus]	9.38e-12
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	9.42e-12
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.78e-11
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.83e-11
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.00e-11
3C9M_A	Chain A, Rhodopsin [unidentified]	2.11e-11
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.12e-11
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.12e-11
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.12e-11
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.28e-10
