NP_001296715.1	uncharacterized protein LOC105843192 [Hydra vulgaris]	0.0
XP_012553651.1	PREDICTED: rhodopsin, G0-coupled-like [Hydra vulgaris]	0.0
XP_012563654.1	PREDICTED: rhodopsin, G0-coupled-like [Hydra vulgaris]	6.32e-177
XP_012561673.1	PREDICTED: parapinopsin-like [Hydra vulgaris]	2.52e-176
XP_012563909.1	PREDICTED: parapinopsin-like [Hydra vulgaris]	5.04e-161
XP_012563781.1	PREDICTED: rhodopsin, G0-coupled-like [Hydra vulgaris]	2.53e-157
XP_012560188.1	PREDICTED: rhodopsin, G0-coupled-like [Hydra vulgaris]	1.20e-111
XP_012556969.1	PREDICTED: rhodopsin-like [Hydra vulgaris]	7.10e-104
XP_004208212.1	PREDICTED: blue-sensitive opsin-like [Hydra vulgaris]	7.17e-98
NP_001274715.1	uncharacterized protein LOC101234360 [Hydra vulgaris]	1.14e-96
XP_004208213.1	PREDICTED: rhodopsin, G0-coupled-like [Hydra vulgaris]	3.06e-82
NP_001274702.1	uncharacterized protein LOC101236896 [Hydra vulgaris]	9.68e-67
XP_012561431.1	PREDICTED: opsin-3-like [Hydra vulgaris]	1.83e-64
NP_001274709.1	uncharacterized protein LOC101234858 [Hydra vulgaris]	6.01e-63
NP_001274719.1	uncharacterized protein LOC101236169 [Hydra vulgaris]	1.69e-62
XP_012561250.1	PREDICTED: opsin-3-like [Hydra vulgaris]	3.31e-62
XP_012562923.1	PREDICTED: opsin-3-like [Hydra vulgaris]	5.16e-62
XP_012559708.1	PREDICTED: rhodopsin, G0-coupled-like [Hydra vulgaris]	9.60e-62
XP_012564259.1	PREDICTED: opsin-3-like [Hydra vulgaris]	2.04e-59
XP_002160448.1	PREDICTED: pinopsin-like [Hydra vulgaris]	1.06e-58
XP_012560869.1	PREDICTED: opsin-3-like [Hydra vulgaris]	1.17e-58
XP_004205844.1	PREDICTED: opsin-3-like [Hydra vulgaris]	3.03e-58
XP_004209180.1	PREDICTED: pinopsin-like [Hydra vulgaris]	4.13e-58
XP_012555848.1	PREDICTED: opsin-3-like [Hydra vulgaris]	2.35e-57
XP_012557437.1	PREDICTED: opsin-3-like, partial [Hydra vulgaris]	1.07e-55
XP_012559098.1	PREDICTED: pinopsin-like, partial [Hydra vulgaris]	1.15e-55
XP_012562617.1	PREDICTED: opsin-3-like [Hydra vulgaris]	2.88e-54
XP_012562542.1	PREDICTED: opsin-3-like [Hydra vulgaris]	8.60e-54
XP_012561930.1	PREDICTED: opsin-3-like [Hydra vulgaris]	1.03e-53
XP_012557991.1	PREDICTED: opsin-3-like [Hydra vulgaris]	1.56e-53
XP_012556650.1	PREDICTED: opsin-3-like [Hydra vulgaris]	7.05e-53
XP_012561474.1	PREDICTED: opsin-3-like [Hydra vulgaris]	4.14e-51
XP_012561008.1	PREDICTED: rhodopsin, G0-coupled-like [Hydra vulgaris]	5.11e-41
XP_012564631.1	PREDICTED: opsin-3-like [Hydra vulgaris]	2.79e-36
XP_004206137.1	PREDICTED: opsin-1, short-wave-sensitive 2-like [Hydra vulgaris]	6.76e-34
AGB67500.1	c-like opsin [Tripedalia cystophora]	1.71e-24
BAF95843.1	opsin [Podocoryna carnea]	2.77e-24
AHZ63731.1	lens eye opsin, partial [Tripedalia cystophora]	4.41e-24
AGB67492.1	c-like opsin [Tripedalia cystophora]	4.87e-24
NP_001296686.1	melanopsin-A-like [Hydra vulgaris]	2.74e-23
BAG80696.1	opsin [Carybdea rastonii]	3.87e-22
XP_033749475.1	rhodopsin, G0-coupled-like [Pecten maximus]	1.05e-19
DAC74051.1	TPA_exp: neuropsin [Branchiostoma floridae]	9.34e-19
AGB67496.1	c-like opsin [Tripedalia cystophora]	4.68e-18
BAF95844.1	opsin [Podocoryna carnea]	1.25e-17
BAF95840.1	opsin [Cladonema radiatum]	2.53e-17
BAF95827.1	opsin [Cladonema radiatum]	9.59e-17
BAF95841.1	opsin [Cladonema radiatum]	1.01e-16
QBL02613.1	opsin-like GPCR [Tripedalia cystophora]	1.67e-16
BAF95838.1	opsin [Cladonema radiatum]	2.20e-16
XP_002613137.1	hypothetical protein BRAFLDRAFT_210643, partial [Branchiostoma floridae]	3.01e-16
DAC74049.1	TPA_exp: neuropsin [Branchiostoma floridae]	4.52e-16
BAF95828.1	opsin [Cladonema radiatum]	4.87e-16
XP_002163358.2	PREDICTED: medium-wave-sensitive opsin 1-like [Hydra vulgaris]	5.56e-16
AUR34012.1	Go-coupled opsin [Argopecten irradians]	6.95e-16
APB88014.1	Go coupled opsin 1 [Argopecten irradians]	8.11e-16
RNA19352.1	melanopsin [Brachionus plicatilis]	1.18e-15
XP_019623839.1	PREDICTED: opsin-5-like isoform X2 [Branchiostoma belcheri]	1.43e-15
KAA0713574.1	Parapinopsin [Triplophysa tibetana]	2.38e-15
XP_023250845.1	opsin-3-like isoform X2 [Seriola lalandi dorsalis]	2.84e-15
APB88019.1	xenopsin, partial [Argopecten irradians]	2.90e-15
QHA94769.1	xenopsin 1 isoform 1 [Sepia officinalis]	3.21e-15
AGB67499.1	c-like opsin [Tripedalia cystophora]	3.41e-15
XP_013410035.1	visual pigment-like receptor peropsin [Lingula anatina]	3.77e-15
XP_020629279.1	melanopsin-A-like [Orbicella faveolata]	4.11e-15
XP_021355729.1	rhodopsin, G0-coupled [Mizuhopecten yessoensis]	4.88e-15
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	5.22e-15
XP_014284462.1	pinopsin-like [Halyomorpha halys]	6.20e-15
BAF95825.1	opsin [Cladonema radiatum]	6.83e-15
RMX59724.1	hypothetical protein pdam_00019022 [Pocillopora damicornis]	7.38e-15
XP_022802594.1	visual pigment-like receptor peropsin [Stylophora pistillata]	7.48e-15
XP_013382905.1	rhodopsin, GQ-coupled [Lingula anatina]	7.64e-15
XP_030835800.1	rhodopsin-like [Strongylocentrotus purpuratus]	9.34e-15
XP_023140666.1	vertebrate ancient opsin-like [Amphiprion ocellaris]	9.74e-15
XP_023250844.1	pinopsin-like isoform X1 [Seriola lalandi dorsalis]	9.87e-15
XP_022087301.1	opsin-5-like [Acanthaster planci]	1.00e-14
CAD33861.1	long-wavelength opsin, partial [Pemphigus populi]	1.11e-14
XP_020617662.1	melanopsin-A-like [Orbicella faveolata]	1.25e-14
XP_006631190.2	PREDICTED: parapinopsin-like isoform X1 [Lepisosteus oculatus]	1.26e-14
XP_027044962.1	visual pigment-like receptor peropsin [Pocillopora damicornis]	1.40e-14
EDO30872.1	predicted protein [Nematostella vectensis]	1.41e-14
RNA28085.1	melanopsin [Brachionus plicatilis]	1.47e-14
BAK19957.1	VA long opsin [Chrysiptera cyanea]	1.56e-14
XP_034775490.1	parapinopsin-like [Acipenser ruthenus]	1.63e-14
XP_001622972.2	visual pigment-like receptor peropsin [Nematostella vectensis]	1.65e-14
XP_020514339.1	parapinopsin-like [Labrus bergylta]	1.74e-14
AKS48306.1	Go coupled opsin 1 [Platynereis dumerilii]	1.96e-14
