Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.53e-40
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	5.94e-39
Q9UHM6.1	N/A	4.31e-35
Q8R456.1	N/A	5.76e-35
Q5YKK9.1	N/A	2.60e-34
Q1JPS6.1	N/A	2.89e-34
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	3.46e-34
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	4.04e-34
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.26e-33
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.55e-32
Q9QXZ9.1	N/A	3.25e-32
O57422.1	N/A	4.64e-32
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	1.32e-31
P28683.1	N/A	1.10e-30
P51471.1	N/A	2.85e-30
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	8.91e-30
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	3.71e-29
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	9.15e-29
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	1.37e-28
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.03e-28
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	3.81e-28
P51491.1	N/A	9.66e-28
Q9WUK7.1	N/A	1.06e-27
O57605.1	N/A	2.10e-27
O13018.1	N/A	2.31e-27
O35214.1	N/A	4.59e-27
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	7.11e-27
Q9H1Y3.1	N/A	8.18e-27
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	2.56e-26
Q63652.2	RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pigment; AltName: Full=Blue-sensitive opsin; Short=BOP; AltName: Full=Short wavelength-sensitive cone opsin [Rattus norvegicus]	3.57e-26
Q95YI3.1	N/A	4.64e-26
Q9W6A9.2	RecName: Full=Opsin-1, short-wave-sensitive 1; Short=Opsin SWS-1; AltName: Full=Ultraviolet cone photoreceptor pigment; AltName: Full=Ultraviolet-sensitive opsin [Danio rerio]	6.10e-26
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	7.16e-26
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	7.53e-26
Q8AYM8.1	N/A	7.64e-26
P41590.1	N/A	8.08e-26
P51490.1	N/A	8.97e-26
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	1.03e-25
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.56e-25
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	1.79e-25
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	1.83e-25
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	2.11e-25
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	2.69e-25
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	2.87e-25
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	3.93e-25
O14718.1	N/A	4.44e-25
P32312.1	N/A	5.07e-25
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	5.15e-25
O42266.1	N/A	6.48e-25
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	7.39e-25
Q95KU1.1	N/A	8.07e-25
