2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.10e-31
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	6.15e-31
2Z73_A	N/A	8.74e-31
1F88_A	N/A	1.97e-25
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.00e-25
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.55e-24
3C9M_A	Chain A, Rhodopsin [unidentified]	2.79e-24
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.83e-24
5DYS_A	Chain A, Rhodopsin [Bos taurus]	4.75e-24
6FKB_A	Chain A, Rhodopsin [Bos taurus]	8.29e-24
6FK6_A	Chain A, Rhodopsin [Bos taurus]	8.99e-24
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.04e-23
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.06e-23
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.66e-23
4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.71e-23
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.02e-22
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.06e-22
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	1.09e-22
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	5.19e-22
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.40e-21
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.61e-13
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	2.91e-11
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	1.87e-10
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	1.93e-10
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	5.17e-10
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	5.66e-10
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.12e-09
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.22e-09
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.23e-09
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	4.98e-09
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.23e-08
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	3.11e-08
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	4.12e-08
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	7.41e-08
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	7.68e-08
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	7.86e-08
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	8.62e-08
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.32e-07
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	1.45e-07
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.87e-07
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	2.31e-07
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.35e-07
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	6.47e-07
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	7.52e-07
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.54e-06
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	1.81e-06
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.99e-06
6AQF_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.28e-06
5MZJ_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.72e-06
5IU4_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.84e-06
6PS7_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	3.68e-06
4EIY_A	Chain A, Adenosine receptor A2a/Soluble cytochrome b562 chimera [Homo sapiens]	3.71e-06
6JZH_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	4.66e-06
5UIG_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	6.18e-06
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	9.78e-06
5N2S_A	Chain A, Soluble cytochrome b562,Adenosine receptor A1 [Escherichia coli]	1.53e-05
3EML_A	Chain A, Human Adenosine A2A receptor/T4 lysozyme chimera [Homo sapiens]	1.88e-05
6U1N_R	Chain R, Muscarinic acetylcholine receptor M2, Vasopressin V2 receptor chimera [Homo sapiens]	2.41e-05
5ZK8_A	Chain A, Muscarinic acetylcholine receptor M2,Redesigned apo-cytochrome b562,Muscarinic acetylcholine receptor M2 [Homo sapiens]	3.09e-05
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	3.32e-05
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.93e-05
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	3.96e-05
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	4.03e-05
5CXV_A	Chain A, Muscarinic acetylcholine receptor M1,Endolysin,Muscarinic acetylcholine receptor M1 [Homo sapiens]	4.18e-05
6CM4_A	Chain A, D(2) dopamine receptor, endolysin chimera [Homo sapiens]	4.80e-05
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	4.99e-05
