1F88_A	N/A	7.21e-53
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	7.40e-53
2X72_A	Chain A, Rhodopsin [Bos taurus]	9.05e-53
3C9M_A	Chain A, Rhodopsin [unidentified]	9.71e-53
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	9.96e-53
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.28e-52
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.31e-52
5DYS_A	Chain A, Rhodopsin [Bos taurus]	4.35e-52
4BEY_A	Chain A, Rhodopsin [Bos taurus]	9.22e-52
6FKB_A	Chain A, Rhodopsin [Bos taurus]	2.46e-51
6FK6_A	Chain A, Rhodopsin [Bos taurus]	3.50e-51
6FUF_A	Chain A, Rhodopsin [Bos taurus]	3.23e-49
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	5.26e-46
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	6.31e-46
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.07e-45
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.15e-45
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	3.52e-42
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	4.24e-42
2Z73_A	N/A	1.81e-41
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	7.67e-37
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.01e-18
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	1.22e-17
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	7.32e-16
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	5.11e-15
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.67e-14
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	4.91e-14
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	6.17e-14
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	7.60e-14
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	4.94e-13
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	5.00e-13
6GPS_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	6.64e-13
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	2.21e-12
4N6H_A	Chain A, Soluble cytochrome b562, Delta-type opioid receptor chimeric protein [Homo sapiens]	2.64e-12
4RWA_A	Chain A, Soluble cytochrome b562,Delta-type opioid receptor [Homo sapiens]	2.87e-12
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	2.98e-12
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	4.21e-12
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	4.33e-12
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	5.01e-12
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	6.65e-12
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.20e-11
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.51e-11
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.88e-11
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	2.62e-11
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	3.16e-11
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	3.51e-11
6GPX_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	1.29e-10
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.49e-10
5YHL_A	Chain A, Prostaglandin E2 receptor EP4 subtype [Homo sapiens]	1.67e-10
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.68e-10
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.50e-10
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	2.66e-10
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	3.07e-10
6PT2_A	Chain A, Delta opioid receptor [Homo sapiens]	3.08e-10
6OMM_R	Chain R, N-formyl peptide receptor 2 [Homo sapiens]	3.19e-10
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	3.23e-10
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	3.91e-10
6LW5_A	Chain A, Soluble cytochrome b562,N-formyl peptide receptor 2 [Escherichia coli]	4.97e-10
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	5.41e-10
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	5.69e-10
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	9.89e-10
4DKL_A	Chain A, Mu-type opioid receptor, lysozyme chimera [Mus musculus]	1.73e-09
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.13e-09
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.21e-09
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	2.27e-09
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	2.68e-09
6AKX_A	Chain A, C-C chemokine receptor type 5,Rubredoxin,C-C chemokine receptor type 5 [Homo sapiens]	2.75e-09
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	3.14e-09
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	3.72e-09
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	4.76e-09
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	4.81e-09
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	4.96e-09
4MBS_A	Chain A, Chimera protein of C-C chemokine receptor type 5 and Rubredoxin [Homo sapiens]	5.38e-09
5UIW_A	Chain A, C-C chemokine receptor type 5,Rubredoxin chimera [Homo sapiens]	5.69e-09
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	6.20e-09
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	8.78e-09
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	9.13e-09
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.11e-08
6OL9_A	Chain A, Muscarinic acetylcholine receptor M5, T4 Lysozyme fusion [Homo sapiens]	1.32e-08
4U15_A	Chain A, Muscarinic acetylcholine receptor M3,Lysozyme,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	1.42e-08
