XP_009065058.1	hypothetical protein LOTGIDRAFT_155231 [Lottia gigantea]	0.0
XP_029640189.1	visual pigment-like receptor peropsin [Octopus vulgaris]	3.02e-61
XP_011435061.2	visual pigment-like receptor peropsin [Crassostrea gigas]	1.03e-60
XP_022318047.1	visual pigment-like receptor peropsin [Crassostrea virginica]	1.42e-60
XP_027592361.1	visual pigment-like receptor peropsin [Pipra filicauda]	1.36e-55
XP_017661279.1	PREDICTED: visual pigment-like receptor peropsin [Lepidothrix coronata]	9.89e-55
XP_008931432.2	visual pigment-like receptor peropsin [Manacus vitellinus]	1.24e-54
XP_026515614.1	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Terrapene carolina triunguis]	2.14e-54
XP_027532838.1	visual pigment-like receptor peropsin [Neopelma chrysocephalum]	2.24e-54
XP_005287976.1	visual pigment-like receptor peropsin [Chrysemys picta bellii]	2.80e-54
XP_034628493.1	visual pigment-like receptor peropsin [Trachemys scripta elegans]	2.86e-54
XP_002934288.2	visual pigment-like receptor peropsin [Xenopus tropicalis]	2.99e-54
XP_009883785.1	PREDICTED: visual pigment-like receptor peropsin [Charadrius vociferus]	4.81e-54
XP_010132495.1	PREDICTED: visual pigment-like receptor peropsin [Buceros rhinoceros silvestris]	6.71e-54
XP_009960167.1	PREDICTED: visual pigment-like receptor peropsin [Leptosomus discolor]	8.06e-54
XP_010021486.1	PREDICTED: visual pigment-like receptor peropsin [Nestor notabilis]	8.74e-54
XP_009903164.1	PREDICTED: visual pigment-like receptor peropsin [Picoides pubescens]	9.57e-54
XP_005515272.1	visual pigment-like receptor peropsin [Columba livia]	9.78e-54
XP_025906638.1	visual pigment-like receptor peropsin [Nothoprocta perdicaria]	1.12e-53
XP_030420446.1	visual pigment-like receptor peropsin isoform X2 [Gopherus evgoodei]	1.14e-53
XP_009271858.1	PREDICTED: visual pigment-like receptor peropsin [Aptenodytes forsteri]	1.27e-53
XP_030420445.1	visual pigment-like receptor peropsin isoform X1 [Gopherus evgoodei]	1.33e-53
XP_009863300.1	PREDICTED: visual pigment-like receptor peropsin [Apaloderma vittatum]	1.50e-53
XP_009702061.1	PREDICTED: visual pigment-like receptor peropsin [Cariama cristata]	2.26e-53
XP_014811073.1	PREDICTED: visual pigment-like receptor peropsin [Calidris pugnax]	2.35e-53
XP_010168479.1	visual pigment-like receptor peropsin [Antrostomus carolinensis]	2.53e-53
XP_009472928.1	PREDICTED: visual pigment-like receptor peropsin [Nipponia nippon]	3.23e-53
XP_009071415.1	PREDICTED: visual pigment-like receptor peropsin [Acanthisitta chloris]	3.52e-53
XP_009574318.1	PREDICTED: visual pigment-like receptor peropsin [Fulmarus glacialis]	4.04e-53
XP_027749163.1	visual pigment-like receptor peropsin [Empidonax traillii]	4.09e-53
XP_008633907.1	PREDICTED: visual pigment-like receptor peropsin [Corvus brachyrhynchos]	4.94e-53
XP_006119342.2	visual pigment-like receptor peropsin [Pelodiscus sinensis]	5.07e-53
