P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	2.92e-176
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	1.43e-171
Q17292.1	N/A	5.69e-171
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	2.57e-170
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	2.90e-169
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	3.71e-167
Q95YI3.1	N/A	3.02e-163
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	2.91e-162
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	2.24e-154
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	1.76e-152
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	2.17e-152
O16018.1	RecName: Full=Rhodopsin [Cambarellus shufeldtii]	5.03e-152
O18315.1	RecName: Full=Rhodopsin [Cambarus maculatus]	9.26e-152
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	1.64e-151
O18312.1	RecName: Full=Rhodopsin [Cambarus hubrichti]	2.05e-150
O18486.1	RecName: Full=Rhodopsin [Procambarus seminolae]	2.17e-150
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	1.50e-148
O01668.1	N/A	1.41e-147
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.27e-146
P35361.1	N/A	1.99e-146
P06002.1	N/A	1.02e-130
P28678.4	N/A	2.65e-129
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	1.97e-125
P08099.1	N/A	4.26e-122
P28679.3	N/A	2.80e-121
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	5.75e-97
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	7.76e-96
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	5.80e-80
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	1.21e-72
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	5.40e-72
O61303.1	N/A	3.25e-70
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.05e-68
P04950.1	N/A	4.45e-68
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.55e-67
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.08e-66
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	8.27e-65
P91657.1	N/A	2.33e-64
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	1.43e-63
Q5YKK9.1	N/A	1.48e-63
P28680.3	N/A	2.02e-63
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.67e-62
Q8R456.1	N/A	1.88e-62
P90680.2	N/A	3.34e-62
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	1.70e-61
