1F88_A	N/A	1.85e-49
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.90e-49
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.11e-49
3C9M_A	Chain A, Rhodopsin [unidentified]	2.17e-49
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.22e-49
5DYS_A	Chain A, Rhodopsin [Bos taurus]	8.65e-49
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.04e-48
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.30e-48
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.36e-48
6FK6_A	Chain A, Rhodopsin [Bos taurus]	3.38e-48
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.83e-48
6FUF_A	Chain A, Rhodopsin [Bos taurus]	5.05e-44
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	8.94e-44
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.64e-43
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.07e-43
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.17e-42
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.74e-42
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	3.15e-42
2Z73_A	N/A	1.10e-41
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.23e-36
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	3.33e-21
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	4.48e-20
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.26e-19
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.96e-19
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.49e-18
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	7.08e-18
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	7.72e-18
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	2.08e-17
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	2.91e-17
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	3.57e-17
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	7.83e-17
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.38e-16
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.44e-16
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	3.44e-15
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	5.96e-15
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	6.04e-15
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	9.94e-15
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.17e-14
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	3.15e-14
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	4.63e-14
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	6.40e-14
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	3.82e-13
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	8.56e-13
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.54e-12
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	6.88e-12
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	9.80e-12
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.06e-11
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	1.08e-11
6J20_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	7.79e-11
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	8.03e-11
6E59_A	Chain A, Substance-P receptor, GlgA glycogen synthase, Substance-P receptor chimera [Homo sapiens]	2.52e-10
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	2.58e-10
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.78e-10
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	6.08e-10
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	8.11e-10
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	8.19e-10
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	1.28e-09
6C1Q_B	Chain B, Soluble cytochrome b562, C5a anaphylatoxin chemotactic receptor 1 chimera [Escherichia coli]	1.29e-09
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	1.32e-09
6HLL_A	Chain A, Substance-P receptor,GlgA glycogen synthase,Substance-P receptor [Homo sapiens]	4.53e-09
6HLO_A	Chain A, Substance-P receptor,GlgA glycogen synthase,Substance-P receptor [Homo sapiens]	4.61e-09
5O9H_A	Chain A, C5a anaphylatoxin chemotactic receptor 1 [Homo sapiens]	5.66e-09
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	8.09e-09
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	9.68e-09
3P0G_A	Chain A, Beta-2 adrenergic receptor, Lysozyme [Escherichia virus T4]	1.24e-08
2RH1_A	Chain A, beta-2-adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	1.31e-08
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	1.70e-08
