XP_021355729.1	rhodopsin, G0-coupled [Mizuhopecten yessoensis]	0.0
XP_033749475.1	rhodopsin, G0-coupled-like [Pecten maximus]	0.0
XP_022319070.1	rhodopsin, G0-coupled-like [Crassostrea virginica]	1.54e-68
XP_011674418.2	visual pigment-like receptor peropsin [Strongylocentrotus purpuratus]	2.18e-54
XP_033626698.1	rhodopsin, G0-coupled-like [Asterias rubens]	6.10e-54
XP_783329.4	rhodopsin, G0-coupled [Strongylocentrotus purpuratus]	9.14e-53
XP_019633445.1	PREDICTED: rhodopsin, G0-coupled-like [Branchiostoma belcheri]	1.84e-51
XP_019921313.2	rhodopsin, G0-coupled [Crassostrea gigas]	4.58e-51
XP_022096856.1	rhodopsin-like [Acanthaster planci]	2.10e-50
XP_009045392.1	hypothetical protein LOTGIDRAFT_156508 [Lottia gigantea]	7.28e-50
XP_033727976.1	opsin-3-like [Pecten maximus]	1.46e-48
XP_031339966.1	pinopsin-like [Photinus pyralis]	4.77e-48
XP_005681368.2	PREDICTED: visual pigment-like receptor peropsin [Capra hircus]	5.28e-48
XP_019615173.1	PREDICTED: visual pigment-like receptor peropsin [Branchiostoma belcheri]	1.59e-47
XP_002609116.1	hypothetical protein BRAFLDRAFT_91094 [Branchiostoma floridae]	1.65e-47
XP_020743578.1	visual pigment-like receptor peropsin [Odocoileus virginianus texanus]	2.29e-47
XP_013382905.1	rhodopsin, GQ-coupled [Lingula anatina]	2.89e-47
NP_001179153.1	visual pigment-like receptor peropsin [Bos taurus]	5.39e-47
XP_006052266.1	visual pigment-like receptor peropsin [Bubalus bubalis]	5.45e-47
XP_027399641.1	visual pigment-like receptor peropsin [Bos indicus x Bos taurus]	6.74e-47
XP_010856841.1	PREDICTED: visual pigment-like receptor peropsin [Bison bison bison]	8.32e-47
XP_019817870.1	PREDICTED: visual pigment-like receptor peropsin [Bos indicus]	9.15e-47
XP_004009669.3	visual pigment-like receptor peropsin [Ovis aries]	1.15e-46
XP_002929386.1	visual pigment-like receptor peropsin [Ailuropoda melanoleuca]	2.06e-46
XP_022087301.1	opsin-5-like [Acanthaster planci]	3.14e-46
XP_033636718.1	opsin-5-like [Asterias rubens]	3.39e-46
XP_019647874.1	PREDICTED: pinopsin-like [Branchiostoma belcheri]	3.99e-46
XP_009049184.1	hypothetical protein LOTGIDRAFT_173452 [Lottia gigantea]	4.47e-46
XP_009065095.1	hypothetical protein LOTGIDRAFT_108602, partial [Lottia gigantea]	4.74e-46
XP_003410445.2	visual pigment-like receptor peropsin [Loxodonta africana]	6.35e-46
XP_004380313.3	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Trichechus manatus latirostris]	9.82e-46
XP_009053517.1	hypothetical protein LOTGIDRAFT_116468, partial [Lottia gigantea]	1.05e-45
XP_027251502.1	visual pigment-like receptor peropsin isoform X3 [Cricetulus griseus]	1.11e-45
XP_027040672.1	rhodopsin, G0-coupled-like [Pocillopora damicornis]	1.84e-45
XP_008687733.1	PREDICTED: visual pigment-like receptor peropsin [Ursus maritimus]	2.14e-45
XP_006881153.1	PREDICTED: visual pigment-like receptor peropsin [Elephantulus edwardii]	4.06e-45
XP_019615553.1	PREDICTED: visual pigment-like receptor peropsin [Branchiostoma belcheri]	4.42e-45
XP_012879229.1	PREDICTED: visual pigment-like receptor peropsin [Dipodomys ordii]	5.54e-45
XP_004686532.1	PREDICTED: visual pigment-like receptor peropsin [Condylura cristata]	5.90e-45
XP_015920587.1	visual pigment-like receptor peropsin isoform X1 [Parasteatoda tepidariorum]	6.38e-45
XP_025778098.1	visual pigment-like receptor peropsin [Puma concolor]	7.05e-45
XP_021540204.1	visual pigment-like receptor peropsin [Neomonachus schauinslandi]	7.13e-45
XP_022792232.1	rhodopsin, G0-coupled-like [Stylophora pistillata]	7.52e-45
