5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.74e-55
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.34e-55
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.34e-55
3C9M_A	Chain A, Rhodopsin [unidentified]	2.77e-55
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.84e-55
1F88_A	N/A	6.29e-55
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	6.45e-55
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.73e-54
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.80e-54
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.34e-52
6FK6_A	Chain A, Rhodopsin [Bos taurus]	2.26e-52
6FUF_A	Chain A, Rhodopsin [Bos taurus]	4.36e-51
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	1.03e-46
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.77e-46
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.47e-46
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.98e-46
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	5.49e-39
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	7.47e-39
2Z73_A	N/A	2.53e-38
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	9.78e-38
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	7.68e-15
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	4.71e-14
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	7.81e-14
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.48e-13
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.54e-13
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.31e-13
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	1.86e-12
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	2.02e-12
6OMM_R	Chain R, N-formyl peptide receptor 2 [Homo sapiens]	2.07e-12
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	3.43e-12
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	3.54e-12
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	8.91e-12
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	9.49e-12
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.14e-11
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.12e-11
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	2.25e-11
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	4.00e-11
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.07e-10
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	2.18e-10
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	2.30e-10
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	2.61e-10
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.96e-10
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.96e-10
4DAJ_A	Chain A, Muscarinic acetylcholine receptor M3, Lysozyme [Rattus norvegicus]	2.98e-10
4U15_A	Chain A, Muscarinic acetylcholine receptor M3,Lysozyme,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	3.90e-10
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	4.39e-10
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.64e-10
4U14_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	5.18e-10
5ZHP_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	7.19e-10
6LW5_A	Chain A, Soluble cytochrome b562,N-formyl peptide receptor 2 [Escherichia coli]	8.10e-10
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	8.12e-10
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	1.87e-09
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	2.38e-09
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	2.91e-09
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	3.13e-09
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	3.35e-09
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	6.77e-09
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	8.27e-09
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	8.74e-09
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.63e-08
5N2S_A	Chain A, Soluble cytochrome b562,Adenosine receptor A1 [Escherichia coli]	2.00e-08
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	2.21e-08
4RWA_A	Chain A, Soluble cytochrome b562,Delta-type opioid receptor [Homo sapiens]	2.93e-08
4N6H_A	Chain A, Soluble cytochrome b562, Delta-type opioid receptor chimeric protein [Homo sapiens]	3.41e-08
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	5.20e-08
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	8.26e-08
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	8.41e-08
6PT2_A	Chain A, Delta opioid receptor [Homo sapiens]	9.75e-08
6KPG_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	1.02e-07
6OL9_A	Chain A, Muscarinic acetylcholine receptor M5, T4 Lysozyme fusion [Homo sapiens]	1.69e-07
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	3.23e-07
5IU4_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	3.25e-07
5MZJ_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	3.47e-07
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	5.69e-07
5LWE_A	Chain A, C-C chemokine receptor type 9 [Homo sapiens]	6.53e-07
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	6.97e-07
6N4B_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	1.76e-06
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	2.16e-06
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.53e-06
6AK3_A	Chain A, Prostaglandin E2 receptor EP3 subtype,Soluble cytochrome b562 [Homo sapiens]	2.81e-06
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.14e-06
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	7.22e-06
5CXV_A	Chain A, Muscarinic acetylcholine receptor M1,Endolysin,Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.01e-05
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.03e-05
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	1.43e-05
1FDF_A	Chain A, Helix 7 Bovine Rhodopsin [synthetic construct]	1.48e-05
6AQF_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.18e-05
4S0V_A	Chain A, Human Orexin receptor type 2 fusion protein to P. abysii Glycogen Synthase [Homo sapiens]	2.21e-05
5WQC_A	Chain A, Orexin receptor type 2,GlgA glycogen synthase,Orexin receptor type 2 [Homo sapiens]	2.31e-05
6PS7_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.44e-05
4EIY_A	Chain A, Adenosine receptor A2a/Soluble cytochrome b562 chimera [Homo sapiens]	2.45e-05
5WF6_A	Chain A, Human A2a adenosine receptor T4L chimera [Homo sapiens]	2.52e-05
6JZH_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.54e-05
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	2.72e-05
6KUW_A	Chain A, Alpha-2C adrenergic receptor [Homo sapiens]	2.75e-05
5UIG_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.77e-05
3EML_A	Chain A, Human Adenosine A2A receptor/T4 lysozyme chimera [Homo sapiens]	3.09e-05
6KP6_A	Chain A, Muscarinic acetylcholine receptor M4,GlgA glycogen synthase,Muscarinic acetylcholine receptor M4 [Homo sapiens]	3.94e-05
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	4.20e-05
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	4.56e-05
