# Rhabopsins
XP_016872444.1_melanopsin_isoform_X1_Homo_sapiens	Rhabobsins	Red	Red

# Tetraopsins
AKS48306.1_Go_coupled_opsin_1_Platynereis_dumerilii	Tetraopsins	Green	Green

# Xenopsins and Cnidopsins
NP_001296626.1_uncharacterized_protein_LOC101237290_Hydra_vulgaris	Xeno-Cnidopsins	Yellow	Yellow

# Cilopsins
NP_001014890.1_rhodopsin_Bos_taurus	Cilopsins	Blue	Blue

# Actopsins
XP_031563535.1_rhodopsin-like_Actinia_tenebrosa	Actopsins	Cyan	Cyan

# Use the last entry as outgroup for rooting the tree
NP_001081388.1_melatonin_receptor_type_1C_Xenopus_laevis	Outgroup	Black	White
