O14718.1	N/A	1.84e-173
O35214.1	N/A	6.64e-165
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	4.51e-45
O57422.1	N/A	1.07e-42
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	1.14e-42
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	3.11e-42
P49912.1	N/A	5.34e-42
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	6.19e-42
P28681.1	N/A	7.33e-42
P15409.2	N/A	9.75e-42
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.30e-41
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	2.83e-41
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	4.46e-41
Q95KU1.1	N/A	5.01e-41
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	6.48e-41
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	6.63e-41
P02699.1	N/A	7.64e-41
Q28886.1	N/A	7.80e-41
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	8.49e-41
Q5YKK9.1	N/A	8.94e-41
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.41e-40
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.41e-40
Q6VZZ7.1	N/A	1.44e-40
O18766.1	N/A	1.70e-40
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	2.41e-40
Q769E8.1	N/A	2.59e-40
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	4.74e-40
P52202.1	N/A	6.04e-40
Q68J47.1	N/A	6.98e-40
Q6U736.3	N/A	9.91e-40
O62798.1	N/A	1.17e-39
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	1.24e-39
P22328.1	N/A	1.25e-39
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	1.29e-39
O62791.1	N/A	1.44e-39
Q1JPS6.1	N/A	1.47e-39
O62794.1	N/A	1.64e-39
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	3.41e-39
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	5.26e-39
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	7.53e-39
O42266.1	N/A	8.90e-39
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	9.09e-39
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	9.49e-39
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	1.26e-38
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	1.62e-38
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	1.64e-38
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	1.71e-38
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	2.37e-38
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	3.60e-38
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	3.68e-38
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	4.00e-38
P51471.1	N/A	4.73e-38
Q8R456.1	N/A	5.08e-38
P28683.1	N/A	5.53e-38
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	1.08e-37
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	1.18e-37
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	1.19e-37
Q9UHM6.1	N/A	1.42e-37
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	2.28e-37
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	2.61e-37
O62796.1	N/A	4.15e-37
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	4.22e-37
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	4.95e-37
Q9QXZ9.1	N/A	5.71e-37
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	6.31e-37
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	8.01e-37
P32308.1	N/A	1.15e-36
O42301.1	RecName: Full=Rhodopsin [Batrachocottus nikolskii]	1.47e-36
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	1.55e-36
P51474.1	RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon fasciatus]	1.68e-36
P08100.1	N/A	1.72e-36
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	1.91e-36
Q9H1Y3.1	N/A	2.56e-36
P32312.1	N/A	3.51e-36
O42294.1	RecName: Full=Rhodopsin [Abyssocottus korotneffi]	4.50e-36
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	6.07e-36
P32310.1	N/A	6.70e-36
Q9YH02.1	N/A	6.76e-36
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	7.12e-36
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	8.12e-36
P32311.1	N/A	1.18e-35
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	1.22e-35
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	1.41e-35
O42300.1	RecName: Full=Rhodopsin [Batrachocottus multiradiatus]	1.66e-35
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	2.29e-35
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	2.37e-35
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	2.99e-35
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	3.18e-35
Q8AYM7.1	N/A	3.84e-35
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	5.22e-35
P41590.1	N/A	5.29e-35
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	5.34e-35
Q90215.1	RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]	5.63e-35
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	6.83e-35
Q9W6A8.1	N/A	1.08e-34
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	1.34e-34
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	1.36e-34
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	1.37e-34
O13018.1	N/A	1.63e-34
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	2.32e-34
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	3.08e-34
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	3.51e-34
P87369.1	N/A	3.66e-34
Q9YH01.1	RecName: Full=Rhodopsin [Mullus surmuletus]	3.86e-34
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	3.96e-34
P35361.1	N/A	4.06e-34
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	4.32e-34
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	4.46e-34
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	4.96e-34
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	5.00e-34
Q9WUK7.1	N/A	5.19e-34
P51472.1	N/A	5.48e-34
O42268.1	RecName: Full=Rhodopsin [Ictalurus punctatus]	1.66e-33
O42452.1	RecName: Full=Rhodopsin [Paracottus knerii]	1.86e-33
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	2.09e-33
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	2.40e-33
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	2.79e-33
O42427.1	RecName: Full=Rhodopsin [Limnocottus bergianus]	3.87e-33
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	4.56e-33
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	4.88e-33
