XP_006820589.1	PREDICTED: visual pigment-like receptor peropsin-like, partial [Saccoglossus kowalevskii]	0.0
XP_015920587.1	visual pigment-like receptor peropsin isoform X1 [Parasteatoda tepidariorum]	6.36e-71
XP_019631461.1	PREDICTED: visual pigment-like receptor peropsin [Branchiostoma belcheri]	2.93e-67
XP_035206630.1	visual pigment-like receptor peropsin isoform X1 [Stegodyphus dumicola]	4.35e-67
XP_026554002.1	visual pigment-like receptor peropsin [Pseudonaja textilis]	1.98e-66
XP_034298262.1	visual pigment-like receptor peropsin [Pantherophis guttatus]	4.42e-66
XP_032080312.1	visual pigment-like receptor peropsin [Thamnophis elegans]	4.81e-66
XP_026524418.1	visual pigment-like receptor peropsin [Notechis scutatus]	7.04e-65
XP_002605849.1	hypothetical protein BRAFLDRAFT_90832 [Branchiostoma floridae]	1.10e-64
XP_015200719.1	PREDICTED: visual pigment-like receptor peropsin [Lepisosteus oculatus]	1.60e-64
XP_015744085.1	visual pigment-like receptor peropsin [Python bivittatus]	2.38e-64
XP_033991188.1	visual pigment-like receptor peropsin [Trematomus bernacchii]	3.12e-64
XP_007895211.1	PREDICTED: visual pigment-like receptor peropsin [Callorhinchus milii]	2.25e-63
XP_020496911.2	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Labrus bergylta]	6.57e-63
XP_029464046.1	visual pigment-like receptor peropsin [Rhinatrema bivittatum]	9.80e-63
XP_027006156.1	visual pigment-like receptor peropsin isoform X1 [Tachysurus fulvidraco]	1.01e-62
XP_002934288.2	visual pigment-like receptor peropsin [Xenopus tropicalis]	1.11e-62
XP_012688455.1	visual pigment-like receptor peropsin [Clupea harengus]	1.34e-62
XP_012879229.1	PREDICTED: visual pigment-like receptor peropsin [Dipodomys ordii]	2.37e-62
XP_005082887.1	visual pigment-like receptor peropsin [Mesocricetus auratus]	2.41e-62
XP_028298357.1	visual pigment-like receptor peropsin [Gouania willdenowi]	2.98e-62
XP_005330151.1	visual pigment-like receptor peropsin [Ictidomys tridecemlineatus]	3.80e-62
XP_033844460.1	visual pigment-like receptor peropsin [Periophthalmus magnuspinnatus]	3.81e-62
XP_015684800.1	visual pigment-like receptor peropsin [Protobothrops mucrosquamatus]	3.93e-62
XP_034492038.1	visual pigment-like receptor peropsin isoform X2 [Marmota flaviventris]	4.14e-62
XP_015340128.1	PREDICTED: visual pigment-like receptor peropsin [Marmota marmota marmota]	4.23e-62
XP_031231335.1	visual pigment-like receptor peropsin [Mastomys coucha]	4.40e-62
XP_033967764.1	visual pigment-like receptor peropsin [Pseudochaenichthys georgianus]	5.20e-62
XP_020857087.1	visual pigment-like receptor peropsin [Phascolarctos cinereus]	5.51e-62
XP_029985489.1	visual pigment-like receptor peropsin [Sphaeramia orbicularis]	8.97e-62
XP_006012043.1	PREDICTED: visual pigment-like receptor peropsin [Latimeria chalumnae]	9.00e-62
XP_034432015.1	visual pigment-like receptor peropsin isoform X1 [Hippoglossus hippoglossus]	1.06e-61
XP_029316853.1	visual pigment-like receptor peropsin isoform X1 [Cottoperca gobio]	1.13e-61
XP_004594583.1	PREDICTED: visual pigment-like receptor peropsin [Ochotona princeps]	1.31e-61
XP_018553198.1	PREDICTED: LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Lates calcarifer]	1.32e-61
XP_019940435.1	PREDICTED: visual pigment-like receptor peropsin [Paralichthys olivaceus]	1.32e-61
XP_027251502.1	visual pigment-like receptor peropsin isoform X3 [Cricetulus griseus]	1.40e-61
XP_010755153.2	visual pigment-like receptor peropsin [Larimichthys crocea]	1.54e-61
XP_025906638.1	visual pigment-like receptor peropsin [Nothoprocta perdicaria]	1.87e-61
XP_028251828.1	visual pigment-like receptor peropsin [Parambassis ranga]	1.90e-61
XP_012291991.1	visual pigment-like receptor peropsin [Aotus nancymaae]	1.97e-61
XP_006119342.2	visual pigment-like receptor peropsin [Pelodiscus sinensis]	2.38e-61
