XP_028917129.1	RPE-retinal G protein-coupled receptor [Ornithorhynchus anatinus]	2.39e-159
TFK05697.1	leucine-rich repeat-containing protein-like [Platysternon megacephalum]	1.81e-129
XP_032660727.1	RPE-retinal G protein-coupled receptor isoform X1 [Chelonoidis abingdonii]	2.37e-126
XP_030425773.1	RPE-retinal G protein-coupled receptor isoform X2 [Gopherus evgoodei]	2.59e-126
XP_032660736.1	RPE-retinal G protein-coupled receptor isoform X2 [Chelonoidis abingdonii]	2.85e-126
XP_034632400.1	RPE-retinal G protein-coupled receptor isoform X1 [Trachemys scripta elegans]	5.15e-126
XP_005294077.1	RPE-retinal G protein-coupled receptor isoform X2 [Chrysemys picta bellii]	5.27e-126
KFV18914.1	RPE-retinal G protein-coupled receptor, partial [Tauraco erythrolophus]	5.47e-126
XP_030425772.1	RPE-retinal G protein-coupled receptor isoform X1 [Gopherus evgoodei]	6.28e-126
XP_005294076.1	RPE-retinal G protein-coupled receptor isoform X1 [Chrysemys picta bellii]	6.35e-126
XP_009986006.1	PREDICTED: RPE-retinal G protein-coupled receptor [Tauraco erythrolophus]	1.43e-125
XP_006112451.2	RPE-retinal G protein-coupled receptor isoform X1 [Pelodiscus sinensis]	5.52e-125
XP_006112450.1	RPE-retinal G protein-coupled receptor isoform X2 [Pelodiscus sinensis]	6.38e-125
XP_007067299.1	RPE-retinal G protein-coupled receptor isoform X1 [Chelonia mydas]	6.90e-125
XP_007067300.1	RPE-retinal G protein-coupled receptor isoform X2 [Chelonia mydas]	8.88e-125
XP_010193598.1	PREDICTED: RPE-retinal G protein-coupled receptor [Colius striatus]	1.29e-124
KFW62713.1	RPE-retinal G protein-coupled receptor, partial [Pygoscelis adeliae]	1.54e-124
XP_009332887.1	PREDICTED: RPE-retinal G protein-coupled receptor [Pygoscelis adeliae]	2.68e-124
OPJ84616.1	RPE-retinal G protein-coupled receptor [Patagioenas fasciata monilis]	4.83e-124
KFM09947.1	RPE-retinal G protein-coupled receptor, partial [Aptenodytes forsteri]	1.27e-123
XP_025898879.1	RPE-retinal G protein-coupled receptor isoform X1 [Nothoprocta perdicaria]	1.82e-123
XP_009281185.1	PREDICTED: RPE-retinal G protein-coupled receptor [Aptenodytes forsteri]	2.84e-123
KGL76648.1	RPE-retinal G protein-coupled receptor, partial [Tinamus guttatus]	8.71e-123
XP_010212073.1	PREDICTED: RPE-retinal G protein-coupled receptor [Tinamus guttatus]	1.52e-122
XP_010076541.1	PREDICTED: RPE-retinal G protein-coupled receptor [Pterocles gutturalis]	2.15e-122
KQK84951.1	RPE-retinal G protein-coupled receptor [Amazona aestiva]	2.17e-122
XP_021391823.1	RPE-retinal G protein-coupled receptor isoform X1 [Lonchura striata domestica]	2.35e-122
XP_025972507.1	RPE-retinal G protein-coupled receptor isoform X1 [Dromaius novaehollandiae]	3.68e-122
KFQ60795.1	RPE-retinal G protein-coupled receptor, partial [Pelecanus crispus]	3.92e-122
KFP06754.1	RPE-retinal G protein-coupled receptor, partial [Calypte anna]	5.09e-122
XP_009928029.1	PREDICTED: RPE-retinal G protein-coupled receptor [Haliaeetus albicilla]	7.57e-122
XP_008499689.1	RPE-retinal G protein-coupled receptor isoform X1 [Calypte anna]	9.62e-122
XP_029886215.1	RPE-retinal G protein-coupled receptor [Aquila chrysaetos chrysaetos]	1.09e-121
XP_009480297.1	PREDICTED: RPE-retinal G protein-coupled receptor, partial [Pelecanus crispus]	1.23e-121
XP_009707429.1	PREDICTED: RPE-retinal G protein-coupled receptor [Cariama cristata]	1.27e-121
XP_009999439.1	PREDICTED: RPE-retinal G protein-coupled receptor [Chaetura pelagica]	1.34e-121
XP_030131720.2	RPE-retinal G protein-coupled receptor isoform X2 [Taeniopygia guttata]	1.48e-121
KFV68300.1	RPE-retinal G protein-coupled receptor, partial [Picoides pubescens]	2.06e-121
XP_002193326.2	RPE-retinal G protein-coupled receptor isoform X1 [Taeniopygia guttata]	2.23e-121
XP_021256033.1	RPE-retinal G protein-coupled receptor [Numida meleagris]	3.58e-121
XP_009683880.1	PREDICTED: RPE-retinal G protein-coupled receptor [Struthio camelus australis]	3.90e-121
XP_027316211.1	RPE-retinal G protein-coupled receptor [Anas platyrhynchos]	4.03e-121
XP_009506096.1	PREDICTED: RPE-retinal G protein-coupled receptor [Phalacrocorax carbo]	5.13e-121
NWH47299.1	RGR protein [Fregata magnificens]	5.85e-121
TRZ15967.1	hypothetical protein HGM15179_011127 [Zosterops borbonicus]	5.98e-121
OXB68072.1	hypothetical protein ASZ78_003313 [Callipepla squamata]	7.15e-121
KFQ97646.1	RPE-retinal G protein-coupled receptor, partial [Nipponia nippon]	8.30e-121
XP_010305230.1	PREDICTED: RPE-retinal G protein-coupled receptor [Balearica regulorum gibbericeps]	9.30e-121
XP_005153688.1	RPE-retinal G protein-coupled receptor isoform X1 [Melopsittacus undulatus]	9.57e-121
XP_003207864.2	RPE-retinal G protein-coupled receptor [Meleagris gallopavo]	1.06e-120
XP_014795889.1	PREDICTED: RPE-retinal G protein-coupled receptor [Calidris pugnax]	1.27e-120
XP_025925739.1	RPE-retinal G protein-coupled receptor [Apteryx rowi]	1.43e-120
XP_009464209.1	PREDICTED: RPE-retinal G protein-coupled receptor [Nipponia nippon]	1.48e-120
KFQ81299.1	RPE-retinal G protein-coupled receptor, partial [Phaethon lepturus]	1.67e-120
XP_030343201.1	RPE-retinal G protein-coupled receptor [Strigops habroptila]	1.80e-120
XP_013816938.1	PREDICTED: RPE-retinal G protein-coupled receptor [Apteryx mantelli mantelli]	1.89e-120
XP_005236806.1	RPE-retinal G protein-coupled receptor [Falco peregrinus]	1.97e-120
RLW04230.1	hypothetical protein DV515_00006122 [Erythrura gouldiae]	2.35e-120
KFZ69381.1	RPE-retinal G protein-coupled receptor, partial [Podiceps cristatus]	2.99e-120
XP_015721499.1	RPE-retinal G protein-coupled receptor [Coturnix japonica]	3.29e-120
KGL99689.1	RPE-retinal G protein-coupled receptor, partial [Charadrius vociferus]	3.56e-120
KFO89807.1	RPE-retinal G protein-coupled receptor, partial [Buceros rhinoceros silvestris]	3.64e-120
XP_010291795.1	PREDICTED: RPE-retinal G protein-coupled receptor [Phaethon lepturus]	3.84e-120
XP_009891352.1	PREDICTED: RPE-retinal G protein-coupled receptor [Charadrius vociferus]	5.39e-120
XP_010134575.1	PREDICTED: RPE-retinal G protein-coupled receptor [Buceros rhinoceros silvestris]	6.56e-120
XP_013030454.1	PREDICTED: RPE-retinal G protein-coupled receptor [Anser cygnoides domesticus]	7.16e-120
XP_009942820.1	PREDICTED: RPE-retinal G protein-coupled receptor [Opisthocomus hoazin]	8.91e-120
XP_009963323.2	RPE-retinal G protein-coupled receptor [Tyto alba alba]	1.07e-119
XP_005433542.1	RPE-retinal G protein-coupled receptor [Falco cherrug]	1.08e-119
XP_026707639.1	RPE-retinal G protein-coupled receptor isoform X1 [Athene cunicularia]	2.33e-119
XP_031458309.1	RPE-retinal G protein-coupled receptor [Phasianus colchicus]	2.55e-119
XP_008947219.1	PREDICTED: RPE-retinal G protein-coupled receptor [Merops nubicus]	3.20e-119
