P91657.1	N/A	0.0
P90680.2	N/A	1.69e-139
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	3.39e-139
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	3.62e-130
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	8.86e-125
O61303.1	N/A	2.77e-124
P08255.2	N/A	3.32e-115
P29404.2	N/A	1.41e-114
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	8.69e-113
P04950.1	N/A	9.01e-111
P28680.3	N/A	1.21e-107
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	7.97e-75
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.60e-73
P35361.1	N/A	6.80e-68
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	7.74e-68
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	2.07e-67
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	2.11e-67
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	1.93e-66
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	5.09e-66
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	3.64e-65
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	5.82e-65
Q17292.1	N/A	1.09e-64
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	1.38e-64
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	2.47e-63
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	5.55e-63
Q95YI3.1	N/A	1.23e-62
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	2.98e-62
P28678.4	N/A	1.11e-60
P08099.1	N/A	3.22e-60
P06002.1	N/A	9.79e-60
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	2.36e-59
O01668.1	N/A	2.25e-58
P28679.3	N/A	3.97e-57
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	5.16e-57
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.43e-56
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.86e-55
Q5YKK9.1	N/A	4.67e-54
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	1.75e-52
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	9.13e-52
Q9QXZ9.1	N/A	1.03e-50
Q8R456.1	N/A	1.61e-50
Q1JPS6.1	N/A	4.39e-49
Q9UHM6.1	N/A	6.95e-49
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	8.09e-49
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	2.84e-46
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	5.31e-45
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	7.37e-45
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	1.08e-44
O16018.1	RecName: Full=Rhodopsin [Cambarellus shufeldtii]	1.75e-44
