P47803.1	N/A	1.31e-18
Q9Z2B3.1	N/A	2.88e-18
P47804.1	N/A	1.75e-17
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.12e-14
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	1.93e-13
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	2.00e-13
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	2.25e-10
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	3.03e-10
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	1.15e-09
P48145.2	N/A	1.33e-09
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	3.81e-09
Q8BLD9.1	N/A	5.24e-09
O35214.1	N/A	1.47e-08
P28684.1	N/A	1.65e-08
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	1.68e-08
P51471.1	N/A	1.87e-08
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.44e-08
P51473.1	N/A	2.45e-08
Q56UD9.1	N/A	3.09e-08
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	4.04e-08
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	4.12e-08
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	4.18e-08
O14718.1	N/A	4.27e-08
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	5.09e-08
P49681.2	N/A	5.23e-08
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	8.03e-08
Q63652.2	RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pigment; AltName: Full=Blue-sensitive opsin; Short=BOP; AltName: Full=Short wavelength-sensitive cone opsin [Rattus norvegicus]	8.13e-08
P51490.1	N/A	8.28e-08
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.12e-07
O13092.1	N/A	1.24e-07
P51491.1	N/A	1.29e-07
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	1.46e-07
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	1.62e-07
P28683.1	N/A	1.80e-07
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	1.90e-07
O62791.1	N/A	1.93e-07
Q9W6A8.1	N/A	2.02e-07
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	2.06e-07
Q9WUK7.1	N/A	2.61e-07
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	2.78e-07
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	2.84e-07
P49912.1	N/A	3.00e-07
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	3.35e-07
P52202.1	N/A	3.42e-07
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	4.67e-07
P35357.1	RecName: Full=Blue-sensitive opsin P467; AltName: Full=Blue photoreceptor pigment [Gekko gecko]	4.87e-07
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	4.91e-07
O97666.1	N/A	5.01e-07
O57605.1	N/A	5.47e-07
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	5.70e-07
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	5.72e-07
P02699.1	N/A	6.83e-07
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	7.83e-07
O62798.1	N/A	8.04e-07
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	9.92e-07
O18766.1	N/A	1.03e-06
O62794.1	N/A	1.05e-06
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.14e-06
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.27e-06
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	1.28e-06
Q8WPA2.1	N/A	1.35e-06
Q9JHG3.1	N/A	1.44e-06
Q8MJV3.1	RecName: Full=Neuropeptides B/W receptor type 1; AltName: Full=G-protein coupled receptor 7 [Bos taurus]	1.51e-06
O57422.1	N/A	1.51e-06
Q9H1Y3.1	N/A	1.93e-06
Q5R949.1	N/A	1.95e-06
Q769E8.1	N/A	2.15e-06
Q95KU1.1	N/A	2.15e-06
P15409.2	N/A	2.44e-06
Q93127.1	RecName: Full=Probable G-protein coupled receptor No18 [Amphibalanus amphitrite]	2.74e-06
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	2.89e-06
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	3.09e-06
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	3.12e-06
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	3.15e-06
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	3.42e-06
P56489.1	N/A	3.50e-06
P08482.1	N/A	3.57e-06
P12657.2	N/A	3.83e-06
P04761.1	N/A	4.08e-06
P11229.2	N/A	4.08e-06
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	4.45e-06
P22328.1	N/A	4.82e-06
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	4.84e-06
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	5.37e-06
P35414.1	N/A	5.72e-06
Q63371.1	N/A	5.76e-06
Q9ERK9.1	N/A	6.91e-06
