XP_034308479.1	opsin-VA [Crassostrea gigas]	0.0
XP_022308980.1	LOW QUALITY PROTEIN: melanopsin-like [Crassostrea virginica]	0.0
XP_011446670.2	melanopsin [Crassostrea gigas]	1.91e-111
XP_033727976.1	opsin-3-like [Pecten maximus]	2.07e-54
ASM47594.1	xenopsin [Leptochiton asellus]	7.22e-49
APB88019.1	xenopsin, partial [Argopecten irradians]	8.89e-49
XP_013382905.1	rhodopsin, GQ-coupled [Lingula anatina]	4.63e-46
XP_020373086.1	vertebrate ancient opsin-like [Rhincodon typus]	5.39e-41
ASM47592.1	xenopsin2 [Owenia fusiformis]	5.92e-40
XP_033763106.1	visual pigment-like receptor peropsin [Pecten maximus]	1.47e-39
XP_022303231.1	opsin-VA-like [Crassostrea virginica]	1.72e-39
OWF48091.1	Visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	2.73e-39
XP_021358189.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	8.48e-39
XP_021368658.1	rhodopsin-like [Mizuhopecten yessoensis]	2.18e-38
QGW08869.1	vertebrate ancient long opsin [Neotrygon kuhlii]	3.54e-38
GCC22314.1	hypothetical protein [Chiloscyllium punctatum]	5.09e-38
XP_022096856.1	rhodopsin-like [Acanthaster planci]	5.16e-38
KFQ72234.1	Melanopsin, partial [Phaethon lepturus]	6.78e-38
XP_033751107.1	rhodopsin-like [Pecten maximus]	7.48e-38
XP_018107193.1	PREDICTED: pinopsin-like [Xenopus laevis]	8.93e-38
XP_007894489.1	PREDICTED: vertebrate ancient opsin-like [Callorhinchus milii]	1.10e-37
APB88017.1	xenopsin [Argopecten irradians]	1.20e-37
XP_013885718.1	PREDICTED: vertebrate ancient opsin-like [Austrofundulus limnaeus]	1.37e-37
QGW08868.1	vertebrate ancient long opsin, partial [Aptychotrema vincentiana]	1.70e-37
XP_019327215.1	PREDICTED: vertebrate ancient opsin [Aptenodytes forsteri]	2.00e-37
XP_023719543.1	rhodopsin [Cryptotermes secundus]	2.29e-37
XP_033835475.1	vertebrate ancient long opsin a [Periophthalmus magnuspinnatus]	2.89e-37
XP_013410035.1	visual pigment-like receptor peropsin [Lingula anatina]	2.91e-37
XP_034158446.1	vertebrate ancient long opsin a isoform X2 [Pangasianodon hypophthalmus]	3.39e-37
XP_005987605.2	PREDICTED: pinopsin-like [Latimeria chalumnae]	4.00e-37
NP_001266194.1	opsin-VA-like [Taeniopygia guttata]	5.37e-37
XP_029975531.1	parapinopsin-like [Salarias fasciatus]	5.67e-37
OWK51860.1	Opsin-VA [Lonchura striata domestica]	5.72e-37
XP_020797654.1	vertebrate ancient opsin-like [Boleophthalmus pectinirostris]	6.79e-37
XP_030631208.1	vertebrate ancient opsin-like [Chanos chanos]	6.87e-37
XP_010282279.1	PREDICTED: melanopsin-like [Phaethon lepturus]	6.91e-37
XP_018415733.1	PREDICTED: pinopsin-like [Nanorana parkeri]	8.25e-37
XP_021398105.1	vertebrate ancient opsin [Lonchura striata domestica]	1.00e-36
XP_026798920.2	vertebrate ancient long opsin a isoform X1 [Pangasianodon hypophthalmus]	1.08e-36
XP_017289664.1	vertebrate ancient opsin-like [Kryptolebias marmoratus]	1.18e-36
ETE71955.1	hypothetical protein L345_02214, partial [Ophiophagus hannah]	1.25e-36
KAF1666296.1	Opsin-VA, partial [Aptenodytes patagonicus]	1.41e-36
KFM06732.1	Opsin-VA, partial [Aptenodytes forsteri]	1.42e-36
XP_029106423.1	vertebrate ancient opsin-like [Scleropages formosus]	1.47e-36
XP_033748186.1	visual pigment-like receptor peropsin [Pecten maximus]	1.76e-36
XP_008298262.1	PREDICTED: parapinopsin-like [Stegastes partitus]	2.04e-36
XP_016341261.1	PREDICTED: opsin-VA isoform X2 [Sinocyclocheilus anshuiensis]	2.11e-36
XP_015223306.1	PREDICTED: pinopsin-like isoform X1 [Lepisosteus oculatus]	2.16e-36
BAR90773.1	ciliary opsin, partial [Idiosepius paradoxus]	2.24e-36
XP_025892023.1	vertebrate ancient opsin-like [Nothoprocta perdicaria]	2.75e-36
KFP81537.1	Melanopsin-A, partial [Acanthisitta chloris]	2.89e-36
XP_016341260.1	PREDICTED: opsin-VA isoform X1 [Sinocyclocheilus anshuiensis]	3.08e-36
XP_027030841.1	LOW QUALITY PROTEIN: opsin-VA-like [Tachysurus fulvidraco]	3.09e-36
ASM47593.1	xenopsin3 [Owenia fusiformis]	3.29e-36
XP_033485928.1	parapinopsin a [Epinephelus lanceolatus]	3.34e-36
XP_005520500.1	PREDICTED: melanopsin [Pseudopodoces humilis]	3.62e-36
