# Rhabopsins
XP_031563535.1_rhodopsin-like__Actinia_tenebrosa_	Actopsin|Cni-Tetra	Pink	Pink
DAC74061.1_TPA_exp__Amphiop6__Branchiostoma_floridae_	Amphopsin	Blue	Blue
Pdu-r-opsin6__Platynereis_dumerilii_	Dumopsin	Green	Green
OWF40989.1_Rhodopsin__GQ-coupled__Mizuhopecten_yessoensis_	Scallopsin	Red	PeachPuff
EFX83617.1_arthropsin1__Daphnia_pulex_	Arthropsin	Red	Red
BAG14332.1_kumopsin3__Hasarius_adansoni_	Kumopsin	Yellow	Yellow
XP_016872444.1_melanopsin_isoform_X1__Homo_sapiens_	MelanopsinM	Blue	Blue
NP_001243006.1_opsin_4xa__Danio_rerio_	MelanopsinX	Orange	Orange
AWU78807.1_melanopsin__Branchiostoma_lanceolatum_	MelanopsinL|Branchiostoma	Green	Green
PBC29422.1_Rhodopsin__long-wavelength__Apis_cerana_cerana_	Rhabopsin-LWS|Ceropsin	Green	Green
XP_034484111.1_opsin__ultraviolet-sensitive__Drosophila_innubila_	Rhabopsin-UV	Violet	Violet
XP_029041874.1_opsin__blue-sensitive__Osmia_bicornis_bicornis_	Rhabopsin-Blue	Blue	Blue
QDR51016.1_Rhodopsin_7__Manduca_sexta_	Rhabopsin-RH7	Orange	Orange
AFM43711.1_onychopsin__Eoperipatus_sp._LH-2012_	Onychopsin	Red	Red

# Tetraopsins
XP_007249548.2_RPE-retinal_G_protein-coupled_receptor-like__Astyanax_mexicanus_	RGR-opsin	Green	LightGreen
XP_016865903.1_opsin-5_isoform_X5__Homo_sapiens_	Neuropsin1	Orange	Orange
NP_001073125.1_opsin_6__group_member_a__Danio_rerio_	Neuropsin2	Pink	Pink
NP_001038457.1_opsin_7__group_member_c__Danio_rerio_	Neuropsin3	Yellow	Yellow
NP_001303874.1_opsin_8__group_member_b__Danio_rerio_	Neuropsin4	Cyan	Cyan
AIT11645.1_neuropsin__partial__Platynereis_dumerilii_	Nervopsin	Red	Red
AKS48307.1_Go_coupled_opsin_2__Platynereis_dumerilii_	Go-opsin	Cyan	Cyan
APB88020.1_retinochrome__Argopecten_irradians_	Retinochrome	LightGreen	Green
XP_018096438.1_PREDICTED__visual_pigment-like_receptor_peropsin__Xenopus_laevis_	Peropsin	LightBlue	LightBlue


QHA94769.1_xenopsin_1_isoform_1__Sepia_officinalis_	Xenopsin	Pink	Pink


# Cilopsins
AFZ78086.1_acropsin_3__Acropora_palmata_	Palmopsin|Cni-C	Cyan	Cyan
AAV63834.1_ciliary_opsin__Platynereis_dumerilii_	Annopsin	Red	Red
NP_001035057.1_pteropsin__Apis_mellifera_	Pteropsin	LightBlue	LightBlue
BAM28746.1_parietopsin__Iguana_iguana_	Parietopsin	LightGreen	LightGreen
XP_010736993.3_parapinopsin__Larimichthys_crocea_	Parapinopsin	Orange	Orange
NP_001280047.1_opsin-VA__Anolis_carolinensis_	Vaopsin	Cyan	Cyan
XP_027896363.1_red-sensitive_opsin-like__Xiphophorus_couchianus_	Cilopsin-LWS	Red	Red
NP_001014890.1_rhodopsin__Bos_taurus_	Cilopsin-RHO1	Blue	Blue
XP_023853250.1_green-sensitive_opsin-2-like__Salvelinus_alpinus_	Cilopsin-RHO2	Yellow	Yellow
AJD38810.1_short-wavelength_sensitive_opsin_2B__Lampris_guttatus_	Cilopsin-SWS2	PeachPuff	Red
NP_001289029.1_short-wave-sensitive_opsin_1__Serinus_canaria_	Cilopsin-SWS1	LightBlue	Blue
XP_035198968.1_pinopsin__Oxyura_jamaicensis_	Pinopsin	Yellow	LightBlue

# Panopsins subgroup of Cilopsins
NP_001368784.1_opsin-3_isoform_2__Homo_sapiens_	Encopsin	Blue	LightBlue
tr|A0A3P8SDB5|A0A3P8SDB5_AMPPE_Teleost_multiple_tissue_opsin_2b_OS_Amphiprion_percula_OX_161767_PE_3_SV_1	TMT2-Opsin	Red	Red
tr|G3QAZ6|G3QAZ6_GASAC_Teleost_multiple_tissue_opsin_3b_OS_Gasterosteus_aculeatus_OX_69293_PE_3_SV_1	TMT3-Opsin	Blue	Blue
NP_001299608.1_teleost_multiple_tissue_opsin_b__Danio_rerio_	TMT1-Opsin	Green	Green
AWU78793.1_C-type_opsin__Branchiostoma_lanceolatum_	TMTL-Opsins	Red	Red

# Outgroup and wired stuff
KAE9525951.1_hypothetical_protein_AGLY_014000__Aphis_glycines_	Wiredopsin	LightBlue	LightBlue
XP_032885423.1_melatonin_receptor_type_1A-like__Amblyrala_radiata_	Outgroup	Black	White

