P23820.1	RecName: Full=Retinochrome; AltName: Full=Retinal photoisomerase [Todarodes pacificus]	0.0
AKI33353.1	retinochrome [Sepia latimanus]	0.0
QHA94767.1	retinochrome 1 [Sepia officinalis]	0.0
AKI33349.1	retinochrome [Doryteuthis pealeii]	0.0
BAR90774.1	retinochrome1 [Idiosepius paradoxus]	0.0
XP_029638241.1	retinochrome-like [Octopus vulgaris]	3.00e-123
XP_014770715.1	PREDICTED: retinochrome-like [Octopus bimaculoides]	1.42e-122
QHA94768.1	retinochrome 2 [Sepia officinalis]	7.35e-110
AKI33352.1	retinochrome, partial [Sepia latimanus]	3.42e-109
BAR90775.1	retinochrome2 [Idiosepius paradoxus]	2.64e-107
AKI33356.1	retinochrome, partial [Sepia officinalis]	1.50e-101
BAR90769.1	retinochrome [Nautilus pompilius]	9.91e-58
APF30602.1	opsin [Chiton virgulatus]	4.78e-35
APF30603.1	opsin [Stenoplax conspicua]	3.02e-33
XP_009060307.1	hypothetical protein LOTGIDRAFT_154374 [Lottia gigantea]	1.32e-30
XP_005094221.2	PREDICTED: retinochrome-like [Aplysia californica]	6.41e-30
APB88020.1	retinochrome [Argopecten irradians]	1.60e-29
BBH84663.1	retinochrome [Ambigolimax valentianus]	2.53e-28
XP_013096913.1	PREDICTED: retinochrome-like [Biomphalaria glabrata]	6.00e-28
XP_021349313.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	9.31e-28
XP_019631461.1	PREDICTED: visual pigment-like receptor peropsin [Branchiostoma belcheri]	2.00e-27
XP_033733839.1	visual pigment-like receptor peropsin isoform X1 [Pecten maximus]	5.51e-27
XP_006264141.2	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Alligator mississippiensis]	1.25e-26
KYO24418.1	visual pigment-like receptor peropsin isoform A [Alligator mississippiensis]	1.32e-26
XP_006025612.2	visual pigment-like receptor peropsin [Alligator sinensis]	1.99e-26
DAC74057.1	TPA_exp: peropsin [Branchiostoma floridae]	2.11e-26
XP_014400206.1	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Myotis brandtii]	2.42e-26
XP_030628797.1	visual pigment-like receptor peropsin [Chanos chanos]	2.51e-26
XP_020857087.1	visual pigment-like receptor peropsin [Phascolarctos cinereus]	2.55e-26
BAC76023.1	opsin [Branchiostoma belcheri]	2.61e-26
