tr|A0A016TV92|A0A016TV92_9BILA	tr|A0A016TV92|A0A016TV92_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0077.g1138 PE=3 SV=1
tr|A0A016U5L1|A0A016U5L1_9BILA	tr|A0A016U5L1|A0A016U5L1_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0054.g2442 PE=3 SV=1
tr|A0A016U7P0|A0A016U7P0_9BILA	tr|A0A016U7P0|A0A016U7P0_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0054.g2442 PE=3 SV=1
tr|A0A016URI4|A0A016URI4_9BILA	tr|A0A016URI4|A0A016URI4_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0029.g1890 PE=4 SV=1
tr|A0A016UXE9|A0A016UXE9_9BILA	tr|A0A016UXE9|A0A016UXE9_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0023.g849 PE=3 SV=1
tr|A0A016UY49|A0A016UY49_9BILA	tr|A0A016UY49|A0A016UY49_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0023.g849 PE=3 SV=1
tr|A0A016UZH5|A0A016UZH5_9BILA	tr|A0A016UZH5|A0A016UZH5_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0022.g608 PE=3 SV=1
tr|A0A016V2L3|A0A016V2L3_9BILA	tr|A0A016V2L3|A0A016V2L3_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0018.g3479 PE=3 SV=1
tr|A0A021VNJ5|A0A021VNJ5_9CELL	tr|A0A021VNJ5|A0A021VNJ5_9CELL FtsK domain-containing protein (Fragment) OS=Actinotalea ferrariae CF5-4 OX=948458 GN=N866_06305 PE=4 SV=1
tr|A0A024FMK9|A0A024FMK9_9BRAN	tr|A0A024FMK9|A0A024FMK9_9BRAN PQRFa peptide OS=Branchiostoma japonicum OX=373177 GN=PQRFa PE=2 SV=1
tr|A0A024R5I9|A0A024R5I9_HUMAN	tr|A0A024R5I9|A0A024R5I9_HUMAN Pyrimidinergic receptor P2Y, G-protein coupled, 6, isoform CRA_b OS=Homo sapiens OX=9606 GN=P2RY6 PE=4 SV=1
