3C9M_A	Chain A, Rhodopsin [unidentified]	5.06e-51
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	5.18e-51
1F88_A	N/A	7.01e-51
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	7.19e-51
2X72_A	Chain A, Rhodopsin [Bos taurus]	9.87e-51
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.18e-50
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.30e-50
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.15e-50
6QNO_R	Chain R, Rhodopsin [Bos taurus]	6.44e-50
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	6.60e-50
4BEY_A	Chain A, Rhodopsin [Bos taurus]	6.74e-50
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.77e-48
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.51e-44
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.43e-43
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.45e-43
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	2.57e-43
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	4.99e-42
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	6.72e-42
2Z73_A	N/A	2.49e-41
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.34e-32
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	2.20e-17
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	2.08e-15
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.04e-14
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	2.16e-14
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	2.29e-14
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	9.40e-14
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.14e-13
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.20e-13
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	5.29e-13
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	6.30e-13
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	6.50e-13
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	7.08e-13
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	8.71e-13
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	1.39e-12
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	2.50e-12
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.30e-12
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.00e-12
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	4.17e-12
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	4.78e-12
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.78e-11
4N6H_A	Chain A, Soluble cytochrome b562, Delta-type opioid receptor chimeric protein [Homo sapiens]	2.32e-11
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	2.62e-11
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	4.51e-11
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	5.07e-11
6TP3_A	Chain A, Orexin receptor type 1 [Homo sapiens]	5.32e-11
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	6.12e-11
6KPG_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	1.02e-10
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	1.11e-10
4RWA_A	Chain A, Soluble cytochrome b562,Delta-type opioid receptor [Homo sapiens]	1.18e-10
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.22e-10
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.43e-10
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.46e-10
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.82e-10
6N4B_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	1.88e-10
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	4.12e-10
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.52e-10
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	9.23e-10
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	9.51e-10
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.48e-09
6GPS_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	1.60e-09
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	1.96e-09
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.96e-09
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	4.46e-09
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	6.38e-09
6PT2_A	Chain A, Delta opioid receptor [Homo sapiens]	8.58e-09
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	9.46e-09
5IU4_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	1.02e-08
5MZJ_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	1.10e-08
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.83e-08
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	1.90e-08
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	2.05e-08
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	2.49e-08
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	2.51e-08
6GPX_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	2.57e-08
4EJ4_A	Chain A, Delta-type opioid receptor, Lysozyme chimera [Mus musculus]	5.34e-08
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.14e-07
6JZH_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.04e-07
6AQF_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.06e-07
6PS7_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.23e-07
4EIY_A	Chain A, Adenosine receptor A2a/Soluble cytochrome b562 chimera [Homo sapiens]	2.29e-07
4IB4_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	2.32e-07
5TUD_A	Chain A, 5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera [Homo sapiens]	2.34e-07
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	3.55e-07
6DRY_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	3.58e-07
3EML_A	Chain A, Human Adenosine A2A receptor/T4 lysozyme chimera [Homo sapiens]	3.61e-07
6DRX_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	3.63e-07
