O61303.1	N/A	2.64e-73
P28680.3	N/A	6.59e-68
P04950.1	N/A	5.44e-67
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	2.66e-65
P08255.2	N/A	1.55e-63
P29404.2	N/A	3.91e-63
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	8.00e-63
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	5.91e-61
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	7.98e-61
P91657.1	N/A	3.89e-59
P90680.2	N/A	1.40e-58
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	2.97e-57
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	4.77e-57
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.95e-56
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	1.01e-55
P28679.3	N/A	1.56e-55
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	1.62e-55
P08099.1	N/A	2.07e-55
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	4.33e-55
Q17292.1	N/A	4.69e-55
P35361.1	N/A	8.92e-55
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	9.04e-55
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.09e-54
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.49e-54
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	1.88e-54
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	2.31e-54
Q5YKK9.1	N/A	2.48e-54
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	5.43e-54
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	2.31e-53
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	9.23e-53
P06002.1	N/A	1.68e-52
P28678.4	N/A	4.89e-52
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	8.03e-52
Q1JPS6.1	N/A	8.09e-52
Q95YI3.1	N/A	1.45e-51
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	1.95e-51
O01668.1	N/A	8.79e-51
Q8R456.1	N/A	1.03e-50
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.03e-49
O57422.1	N/A	1.10e-49
Q9QXZ9.1	N/A	1.36e-49
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	5.78e-49
