AGJ70279.1	Go opsin 2 [Terebratalia transversa]	0.0
XP_016148612.1	PREDICTED: opsin-3-like [Sinocyclocheilus grahami]	3.52e-12
XP_016302021.1	PREDICTED: opsin-3-like [Sinocyclocheilus anshuiensis]	8.37e-12
XP_018927099.1	PREDICTED: pinopsin-like [Cyprinus carpio]	4.65e-11
EMP40797.1	Pro-epidermal growth factor [Chelonia mydas]	6.44e-11
XP_026136382.1	pinopsin-like isoform X2 [Carassius auratus]	2.06e-10
XP_017562586.1	PREDICTED: pinopsin-like [Pygocentrus nattereri]	2.56e-10
ALG92550.1	teleost multiple tissue opsin-2b [Danio rerio]	3.38e-10
NP_001269303.1	teleost multiple tissue opsin 3a [Danio rerio]	3.41e-10
XP_018922637.1	PREDICTED: pinopsin-like [Cyprinus carpio]	6.41e-10
XP_017263654.1	pinopsin-like [Kryptolebias marmoratus]	6.48e-10
ELV13710.1	Visual pigment-like receptor peropsin [Tupaia chinensis]	8.26e-10
XP_012800935.1	Rhodopsin [Schistosoma haematobium]	2.12e-09
XP_016101499.1	PREDICTED: pinopsin-like [Sinocyclocheilus grahami]	2.25e-09
VDP38064.1	unnamed protein product [Schistosoma curassoni]	2.28e-09
ROL51743.1	Adhesion G-protein coupled receptor G4 [Anabarilius grahami]	2.63e-09
XP_016306484.1	PREDICTED: opsin-3-like [Sinocyclocheilus anshuiensis]	3.06e-09
KAF3694709.1	Vertebrate ancient opsin [Channa argus]	3.15e-09
KPP59710.1	opsin-3-like, partial [Scleropages formosus]	3.76e-09
KAF4104760.1	hypothetical protein G5714_014091 [Onychostoma macrolepis]	3.93e-09
KTF95057.1	hypothetical protein cypCar_00006774, partial [Cyprinus carpio]	4.25e-09
XP_031414028.1	opsin-3-like [Clupea harengus]	6.30e-09
XP_026081411.1	pinopsin-like [Carassius auratus]	6.54e-09
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	7.70e-09
GCC26492.1	hypothetical protein [Chiloscyllium punctatum]	8.22e-09
RJW63039.1	Rhodopsin [Clonorchis sinensis]	8.42e-09
KFV56455.1	Visual pigment-like receptor peropsin, partial [Tyto alba]	9.34e-09
XP_009969257.1	visual pigment-like receptor peropsin [Tyto alba alba]	1.13e-08
XP_021357501.1	rhodopsin, GQ-coupled [Mizuhopecten yessoensis]	1.13e-08
XP_026136381.1	pinopsin-like isoform X1 [Carassius auratus]	1.22e-08
TRZ23247.1	hypothetical protein HGM15179_003816 [Zosterops borbonicus]	1.22e-08
XP_013040761.1	PREDICTED: visual pigment-like receptor peropsin [Anser cygnoides domesticus]	1.25e-08
VDO62372.1	unnamed protein product [Schistosoma margrebowiei]	1.34e-08
OWF48482.1	Rhodopsin, GQ-coupled [Mizuhopecten yessoensis]	1.48e-08
XP_009060307.1	hypothetical protein LOTGIDRAFT_154374 [Lottia gigantea]	1.65e-08
XP_023955560.1	visual pigment-like receptor peropsin isoform X2 [Chrysemys picta bellii]	1.74e-08
XP_010727954.3	pinopsin [Larimichthys crocea]	1.77e-08
XP_022087301.1	opsin-5-like [Acanthaster planci]	1.81e-08
XP_026231681.1	teleost multiple tissue opsin 2b [Anabas testudineus]	2.08e-08
AMP19653.1	peropsin [Euphausia superba]	2.27e-08
XP_020667239.1	pinopsin-like [Pogona vitticeps]	2.45e-08
KFQ44867.1	Visual pigment-like receptor peropsin, partial [Nestor notabilis]	2.65e-08
XP_032042722.1	visual pigment-like receptor peropsin [Aythya fuligula]	2.68e-08
XP_021415312.1	parapinopsin-like [Oncorhynchus mykiss]	2.71e-08
KFW90900.1	Visual pigment-like receptor peropsin, partial [Phalacrocorax carbo]	2.82e-08
XP_029574137.1	pinopsin-like [Salmo trutta]	2.86e-08
XP_007238987.3	opsin-3-like [Astyanax mexicanus]	2.87e-08
XP_010021486.1	PREDICTED: visual pigment-like receptor peropsin [Nestor notabilis]	2.88e-08
XP_013400870.1	visual pigment-like receptor peropsin [Lingula anatina]	2.90e-08
XP_009502787.1	PREDICTED: visual pigment-like receptor peropsin [Phalacrocorax carbo]	2.92e-08
XP_001622972.2	visual pigment-like receptor peropsin [Nematostella vectensis]	2.99e-08
XP_029113012.1	pinopsin-like [Scleropages formosus]	2.99e-08
KFW09369.1	Visual pigment-like receptor peropsin, partial [Eurypyga helias]	3.02e-08
XP_030348866.1	visual pigment-like receptor peropsin [Strigops habroptila]	3.12e-08
EDO30872.1	predicted protein [Nematostella vectensis]	3.16e-08
XP_014055200.1	PREDICTED: pinopsin-like [Salmo salar]	3.19e-08
XP_010154379.1	PREDICTED: visual pigment-like receptor peropsin, partial [Eurypyga helias]	3.22e-08
XP_023122647.1	pinopsin-like [Amphiprion ocellaris]	3.59e-08
XP_005019900.1	visual pigment-like receptor peropsin [Anas platyrhynchos]	3.66e-08
XP_009863300.1	PREDICTED: visual pigment-like receptor peropsin [Apaloderma vittatum]	4.26e-08
XP_009071415.1	PREDICTED: visual pigment-like receptor peropsin [Acanthisitta chloris]	4.51e-08
XP_035181154.1	visual pigment-like receptor peropsin [Oxyura jamaicensis]	4.53e-08
KAF4112035.1	hypothetical protein G5714_006830 [Onychostoma macrolepis]	4.55e-08
XP_009702061.1	PREDICTED: visual pigment-like receptor peropsin [Cariama cristata]	4.60e-08
TFK15257.1	A-kinase anchor protein 17B-like [Platysternon megacephalum]	4.65e-08
KAF1659434.1	Visual pigment-like receptor peropsin, partial [Aptenodytes patagonicus]	4.79e-08
KFV51220.1	Visual pigment-like receptor peropsin, partial [Gavia stellata]	4.84e-08
NWI33496.1	OPSX protein [Sula dactylatra]	4.84e-08
XP_020795213.1	vertebrate ancient opsin-like [Boleophthalmus pectinirostris]	4.97e-08
AAL83430.1	TMT opsin, partial [Takifugu rubripes]	5.01e-08
XP_006119342.2	visual pigment-like receptor peropsin [Pelodiscus sinensis]	5.22e-08
XP_005148681.2	visual pigment-like receptor peropsin [Melopsittacus undulatus]	5.51e-08
KFQ26700.1	Visual pigment-like receptor peropsin, partial [Merops nubicus]	5.58e-08
KFQ62895.1	Visual pigment-like receptor peropsin, partial [Pelecanus crispus]	5.80e-08
XP_009484506.1	PREDICTED: visual pigment-like receptor peropsin [Pelecanus crispus]	5.88e-08
KFQ05484.1	Visual pigment-like receptor peropsin, partial [Leptosomus discolor]	6.18e-08
XP_008935341.1	PREDICTED: visual pigment-like receptor peropsin [Merops nubicus]	6.29e-08
RXN23291.1	opsin-5-like protein [Labeo rohita]	6.30e-08
XP_009806996.1	PREDICTED: visual pigment-like receptor peropsin [Gavia stellata]	6.35e-08
GCF64632.1	hypothetical protein parPi_0031534, partial [Paroedura picta]	6.50e-08
XP_023845608.1	pinopsin-like [Salvelinus alpinus]	6.54e-08
KAF0047277.1	hypothetical protein F2P81_000910 [Scophthalmus maximus]	6.55e-08
XP_009271858.1	PREDICTED: visual pigment-like receptor peropsin [Aptenodytes forsteri]	6.72e-08
XP_005287976.1	visual pigment-like receptor peropsin [Chrysemys picta bellii]	7.00e-08
XP_009960167.1	PREDICTED: visual pigment-like receptor peropsin [Leptosomus discolor]	7.60e-08
KFP55098.1	Visual pigment-like receptor peropsin, partial [Cathartes aura]	7.65e-08
KAF1376392.1	hypothetical protein PFLUV_G00211040 [Perca fluviatilis]	7.75e-08
KFV13119.1	Visual pigment-like receptor peropsin, partial [Tauraco erythrolophus]	8.02e-08
KFU94506.1	Visual pigment-like receptor peropsin, partial [Chaetura pelagica]	8.08e-08
KGL93666.1	Visual pigment-like receptor peropsin, partial [Charadrius vociferus]	8.66e-08
KAF1399297.1	Visual pigment-like receptor peropsin, partial [Spheniscus magellanicus]	8.74e-08
KTG42078.1	hypothetical protein cypCar_00026520 [Cyprinus carpio]	9.15e-08
NP_001027778.1	multiple tissue opsin [Takifugu rubripes]	9.24e-08
XP_032399033.1	opsin-5-like [Etheostoma spectabile]	9.24e-08
XP_030420446.1	visual pigment-like receptor peropsin isoform X2 [Gopherus evgoodei]	9.33e-08
XP_031408970.1	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Meleagris gallopavo]	9.54e-08
XP_010002407.1	PREDICTED: visual pigment-like receptor peropsin, partial [Chaetura pelagica]	9.56e-08
XP_034628493.1	visual pigment-like receptor peropsin [Trachemys scripta elegans]	9.84e-08
XP_014811073.1	PREDICTED: visual pigment-like receptor peropsin [Calidris pugnax]	1.01e-07
KAF1595392.1	Visual pigment-like receptor peropsin, partial [Eudyptes pachyrhynchus]	1.02e-07
KAF1479378.1	Visual pigment-like receptor peropsin, partial [Megadyptes antipodes antipodes]	1.03e-07
KAA0709370.1	Opsin-3 Encephalopsin [Triplophysa tibetana]	1.03e-07
XP_016086352.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	1.04e-07
XP_009647489.1	PREDICTED: visual pigment-like receptor peropsin [Egretta garzetta]	1.04e-07
XP_009979774.1	PREDICTED: visual pigment-like receptor peropsin [Tauraco erythrolophus]	1.04e-07
KFP11427.1	Visual pigment-like receptor peropsin, partial [Egretta garzetta]	1.05e-07
XP_026515614.1	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Terrapene carolina triunguis]	1.05e-07
XP_007054479.2	visual pigment-like receptor peropsin [Chelonia mydas]	1.06e-07
KFV08237.1	Visual pigment-like receptor peropsin, partial [Pterocles gutturalis]	1.08e-07
XP_026069817.1	opsin-3-like [Carassius auratus]	1.08e-07
XP_032874758.1	visual pigment-like receptor peropsin [Amblyraja radiata]	1.09e-07
KFW60827.1	Visual pigment-like receptor peropsin, partial [Pygoscelis adeliae]	1.10e-07
XP_027686608.1	LOW QUALITY PROTEIN: pinopsin-like [Chelonia mydas]	1.10e-07
XP_028571693.1	pinopsin-like [Podarcis muralis]	1.11e-07
XP_018941590.1	PREDICTED: opsin-5-like [Cyprinus carpio]	1.12e-07
XP_009883785.1	PREDICTED: visual pigment-like receptor peropsin [Charadrius vociferus]	1.12e-07
XP_030420445.1	visual pigment-like receptor peropsin isoform X1 [Gopherus evgoodei]	1.13e-07
KFQ31951.1	Visual pigment-like receptor peropsin, partial [Mesitornis unicolor]	1.14e-07
AWP04486.1	teleost multiple tissue opsin-like [Scophthalmus maximus]	1.14e-07
KFQ09589.1	Visual pigment-like receptor peropsin, partial [Haliaeetus albicilla]	1.15e-07
XP_030613732.1	vertebrate ancient opsin-like isoform X1 [Archocentrus centrarchus]	1.16e-07
AGB67491.1	c-like opsin [Tripedalia cystophora]	1.17e-07
XP_029871031.1	visual pigment-like receptor peropsin isoform X2 [Aquila chrysaetos chrysaetos]	1.20e-07
XP_020321655.1	pinopsin [Oncorhynchus kisutch]	1.20e-07
XP_024252630.1	pinopsin-like [Oncorhynchus tshawytscha]	1.20e-07
NWI94924.1	OPSX protein [Pitta sordida]	1.21e-07
KQK81800.1	hypothetical protein AAES_77590 [Amazona aestiva]	1.21e-07
XP_033993903.1	vertebrate ancient opsin-like [Trematomus bernacchii]	1.22e-07
NP_001278195.1	teleost multiple tissue opsin 2a [Astyanax mexicanus]	1.24e-07
KTG22983.1	hypothetical protein cypCar_00030676, partial [Cyprinus carpio]	1.24e-07
XP_031143994.1	opsin-5-like [Sander lucioperca]	1.26e-07
XP_010073338.1	PREDICTED: visual pigment-like receptor peropsin [Pterocles gutturalis]	1.27e-07
XP_010178857.1	PREDICTED: visual pigment-like receptor peropsin [Mesitornis unicolor]	1.28e-07
KPP75035.1	opsin-5-like [Scleropages formosus]	1.31e-07
XP_020482743.1	opsin-5-like [Labrus bergylta]	1.32e-07
XP_034756514.1	opsin 8, group member b [Etheostoma cragini]	1.32e-07
KAA0713190.1	Opsin-3 Encephalopsin [Triplophysa tibetana]	1.32e-07
XP_030431608.1	vertebrate ancient opsin-like [Gopherus evgoodei]	1.34e-07
XP_009333130.1	PREDICTED: visual pigment-like receptor peropsin [Pygoscelis adeliae]	1.42e-07
KFZ67109.1	Visual pigment-like receptor peropsin, partial [Podiceps cristatus]	1.42e-07
XP_025906638.1	visual pigment-like receptor peropsin [Nothoprocta perdicaria]	1.43e-07
XP_033838613.1	vertebrate ancient opsin-like [Periophthalmus magnuspinnatus]	1.48e-07
XP_016142499.1	PREDICTED: opsin-3-like [Sinocyclocheilus grahami]	1.49e-07
XP_030001594.1	pinopsin-like [Sphaeramia orbicularis]	1.52e-07
OON21721.1	7 transmembrane receptor, partial [Opisthorchis viverrini]	1.57e-07
XP_009924186.1	PREDICTED: visual pigment-like receptor peropsin [Haliaeetus albicilla]	1.57e-07
XP_031452815.1	visual pigment-like receptor peropsin [Phasianus colchicus]	1.57e-07
TNN73273.1	Opsin-5 [Liparis tanakae]	1.59e-07
NP_001304832.1	multiple tissue opsin [Xenopus tropicalis]	1.67e-07
XP_018599093.1	opsin-5-like [Scleropages formosus]	1.72e-07
XP_028993347.1	opsin-3-like [Betta splendens]	1.73e-07
XP_019881013.1	PREDICTED: parapinopsin-like [Aethina tumida]	1.75e-07
TMS13952.1	Pinopsin [Larimichthys crocea]	1.78e-07
KFQ69590.1	Visual pigment-like receptor peropsin, partial [Phaethon lepturus]	1.78e-07
XP_008104519.1	PREDICTED: vertebrate ancient opsin [Anolis carolinensis]	1.83e-07
XP_015920588.1	visual pigment-like receptor peropsin isoform X2 [Parasteatoda tepidariorum]	1.84e-07
XP_001503570.2	visual pigment-like receptor peropsin [Equus caballus]	1.85e-07
XP_014694596.1	PREDICTED: visual pigment-like receptor peropsin [Equus asinus]	1.87e-07
AKM21242.1	peropsin, partial [Parasteatoda tepidariorum]	1.90e-07
XP_008542178.1	PREDICTED: visual pigment-like receptor peropsin [Equus przewalskii]	1.91e-07
XP_027621626.1	visual pigment-like receptor peropsin [Tupaia chinensis]	1.91e-07
KAF0038641.1	hypothetical protein F2P81_009125 [Scophthalmus maximus]	1.91e-07
KFZ49634.1	Visual pigment-like receptor peropsin, partial [Antrostomus carolinensis]	1.92e-07
XP_021252137.1	visual pigment-like receptor peropsin [Numida meleagris]	1.95e-07
