Q6VZZ7.1	N/A	1.83e-68
Q6U736.3	N/A	2.56e-68
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	6.22e-48
O14718.1	N/A	1.02e-44
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	6.44e-43
O35214.1	N/A	2.65e-42
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.39e-41
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.25e-40
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	7.00e-39
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.84e-37
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	3.02e-37
P90680.2	N/A	3.75e-37
Q1JPS6.1	N/A	9.50e-37
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	2.75e-36
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	3.29e-36
Q5YKK9.1	N/A	3.50e-36
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	5.96e-36
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	3.44e-34
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	4.14e-34
O57422.1	N/A	3.55e-33
P28683.1	N/A	1.91e-32
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	2.41e-32
Q9QXZ9.1	N/A	3.60e-32
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.13e-31
Q9UHM6.1	N/A	1.40e-31
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	2.06e-31
Q8R456.1	N/A	3.30e-31
Q9WUK7.1	N/A	6.02e-31
Q9H1Y3.1	N/A	6.72e-31
Q95YI3.1	N/A	3.61e-30
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	3.86e-30
Q9W6A7.1	N/A	4.03e-30
P51471.1	N/A	5.49e-30
P41592.1	N/A	6.31e-30
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	1.39e-29
Q17292.1	N/A	2.59e-29
P35361.1	N/A	5.01e-29
P87367.1	N/A	7.50e-29
O01668.1	N/A	8.96e-29
P51474.1	RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon fasciatus]	1.01e-28
O12948.1	N/A	1.04e-28
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	1.15e-28
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.15e-28
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	1.36e-28
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	1.90e-28
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	1.91e-28
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	2.55e-28
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	2.71e-28
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	2.97e-28
P02699.1	N/A	3.03e-28
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	3.24e-28
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	4.57e-28
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	4.78e-28
O42266.1	N/A	4.79e-28
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	4.96e-28
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	5.61e-28
