P32310.1	N/A	9.93e-57
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	8.58e-56
P32312.1	N/A	2.41e-55
P87367.1	N/A	4.41e-55
P28683.1	N/A	4.61e-55
P49912.1	N/A	1.07e-54
Q95KU1.1	N/A	1.23e-54
P51471.1	N/A	1.73e-54
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.95e-54
Q9W6A8.1	N/A	2.75e-54
P02699.1	N/A	3.72e-54
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	7.12e-54
P22332.2	N/A	7.57e-54
O12948.1	N/A	8.60e-54
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	9.27e-54
Q8AYM8.1	N/A	1.21e-53
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	1.41e-53
O62791.1	N/A	1.57e-53
P28681.1	N/A	1.67e-53
Q28886.1	N/A	1.74e-53
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	1.77e-53
P15409.2	N/A	1.92e-53
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	2.02e-53
P41592.1	N/A	2.20e-53
P32311.1	N/A	2.31e-53
Q9W6A7.1	N/A	2.80e-53
O62798.1	N/A	2.97e-53
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	4.22e-53
Q8AYM7.1	N/A	4.56e-53
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	4.97e-53
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	7.36e-53
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	9.60e-53
O18912.2	N/A	1.22e-52
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	2.96e-52
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	3.47e-52
Q769E8.1	N/A	4.33e-52
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	4.34e-52
O18913.2	N/A	4.81e-52
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	5.24e-52
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	7.14e-52
O62794.1	N/A	7.53e-52
O18914.2	N/A	7.59e-52
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	1.19e-51
P22329.1	N/A	1.55e-51
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	1.80e-51
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	1.99e-51
P22331.1	N/A	2.04e-51
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	2.37e-51
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	2.64e-51
P52202.1	N/A	2.92e-51
