Q6VZZ7.1	N/A	1.59e-52
Q6U736.3	N/A	4.30e-52
O14718.1	N/A	1.64e-44
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	7.88e-44
O35214.1	N/A	1.00e-41
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.17e-40
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.33e-39
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	4.20e-39
O57422.1	N/A	2.52e-35
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	2.97e-35
Q5YKK9.1	N/A	6.45e-35
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.61e-34
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	2.38e-34
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	8.81e-34
Q9H1Y3.1	N/A	9.84e-34
Q1JPS6.1	N/A	1.05e-32
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.17e-32
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	1.36e-32
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	5.77e-32
Q9WUK7.1	N/A	8.28e-31
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.25e-30
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	1.60e-29
Q8R456.1	N/A	2.75e-29
Q9QXZ9.1	N/A	3.01e-29
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	6.00e-29
P87367.1	N/A	7.77e-29
