NP_998830.1	parapinopsin [Xenopus tropicalis]	0.0
XP_018095854.1	PREDICTED: parapinopsin-like [Xenopus laevis]	0.0
XP_018410752.1	PREDICTED: parapinopsin-like [Nanorana parkeri]	0.0
XP_020660479.1	parapinopsin-like [Pogona vitticeps]	2.91e-171
XP_032998458.1	parapinopsin-like [Lacerta agilis]	2.95e-171
NP_001280060.1	parapinopsin [Anolis carolinensis]	4.27e-171
XP_034960871.1	parapinopsin-like [Zootoca vivipara]	8.90e-171
XP_028576874.1	parapinopsin-like [Podarcis muralis]	4.75e-170
XP_006631190.2	PREDICTED: parapinopsin-like isoform X1 [Lepisosteus oculatus]	1.11e-169
XP_033879808.2	parapinopsin-like [Acipenser ruthenus]	2.81e-169
XP_032827317.1	parapinopsin-like [Petromyzon marinus]	4.65e-169
XP_034775490.1	parapinopsin-like [Acipenser ruthenus]	1.11e-168
XP_015203590.1	PREDICTED: parapinopsin-like isoform X2 [Lepisosteus oculatus]	2.34e-166
XP_035236754.1	parapinopsin a [Anguilla anguilla]	3.13e-162
XP_017539241.1	PREDICTED: parapinopsin-like [Pygocentrus nattereri]	2.11e-155
XP_028681071.1	parapinopsin-like [Erpetoichthys calabaricus]	3.84e-155
XP_012681490.1	parapinopsin-like [Clupea harengus]	1.41e-154
NP_001187002.1	parapinopsin [Ictalurus punctatus]	1.12e-151
XP_027023113.1	parapinopsin [Tachysurus fulvidraco]	9.27e-151
NP_001304685.1	parapinopsin a [Danio rerio]	4.77e-149
XP_028849237.1	parapinopsin-like [Denticeps clupeoides]	7.13e-149
XP_030279931.1	parapinopsin-like isoform X1 [Sparus aurata]	1.71e-148
XP_026781212.1	parapinopsin a isoform X1 [Pangasianodon hypophthalmus]	5.23e-148
XP_010865161.1	parapinopsin a [Esox lucius]	3.86e-147
XP_007237135.2	parapinopsin-like [Astyanax mexicanus]	5.52e-147
XP_030639715.1	parapinopsin-like [Chanos chanos]	7.19e-147
XP_026124646.1	parapinopsin-like [Carassius auratus]	1.30e-146
