2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.28e-08
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.37e-08
2Z73_A	N/A	2.47e-08
4BEY_A	Chain A, Rhodopsin [Bos taurus]	5.83e-08
3C9M_A	Chain A, Rhodopsin [unidentified]	6.38e-08
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	6.39e-08
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.08e-07
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.09e-07
1F88_A	N/A	1.15e-07
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.16e-07
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.19e-07
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.72e-07
5CXV_A	Chain A, Muscarinic acetylcholine receptor M1,Endolysin,Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.99e-07
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.99e-07
6FKB_A	Chain A, Rhodopsin [Bos taurus]	6.02e-07
4U15_A	Chain A, Muscarinic acetylcholine receptor M3,Lysozyme,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	9.56e-07
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.07e-06
4U14_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	1.63e-06
4DAJ_A	Chain A, Muscarinic acetylcholine receptor M3, Lysozyme [Rattus norvegicus]	1.71e-06
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.11e-06
5ZHP_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	3.39e-06
