6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	4.67e-27
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	6.79e-26
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.09e-25
2Z73_A	N/A	1.65e-25
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	2.47e-15
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.70e-15
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	2.70e-15
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	9.11e-15
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	7.16e-14
1F88_A	N/A	1.57e-13
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.58e-13
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.16e-13
2X72_A	Chain A, Rhodopsin [Bos taurus]	3.25e-13
3C9M_A	Chain A, Rhodopsin [unidentified]	3.80e-13
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	3.82e-13
6QNO_R	Chain R, Rhodopsin [Bos taurus]	6.37e-13
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	6.42e-13
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.21e-12
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.23e-12
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.42e-12
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.67e-12
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.67e-12
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	4.14e-12
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	7.69e-12
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.13e-11
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	3.13e-10
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	3.65e-10
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	5.91e-10
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	9.58e-10
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.72e-09
5YHL_A	Chain A, Prostaglandin E2 receptor EP4 subtype [Homo sapiens]	7.87e-09
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.59e-08
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	2.14e-08
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.37e-08
6LW5_A	Chain A, Soluble cytochrome b562,N-formyl peptide receptor 2 [Escherichia coli]	2.51e-08
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.72e-08
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.00e-08
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	4.21e-08
6OMM_R	Chain R, N-formyl peptide receptor 2 [Homo sapiens]	4.43e-08
6AK3_A	Chain A, Prostaglandin E2 receptor EP3 subtype,Soluble cytochrome b562 [Homo sapiens]	4.56e-08
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	4.66e-08
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	5.72e-08
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	6.78e-08
6M9T_A	Chain A, Prostaglandin E2 receptor EP3 subtype, Endolysin chimera [Homo sapiens]	7.37e-08
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.62e-07
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	2.11e-07
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	3.51e-07
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	6.27e-07
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	8.08e-07
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	9.12e-07
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.30e-06
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	1.30e-06
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	1.42e-06
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	1.48e-06
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	1.58e-06
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	2.43e-06
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.63e-06
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	3.56e-06
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	3.82e-06
3P0G_A	Chain A, Beta-2 adrenergic receptor, Lysozyme [Escherichia virus T4]	1.74e-05
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	1.84e-05
3D4S_A	Chain A, Beta-2 adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	1.94e-05
2RH1_A	Chain A, beta-2-adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	1.95e-05
5LWE_A	Chain A, C-C chemokine receptor type 9 [Homo sapiens]	2.63e-05
6PRZ_A	Chain A, Fusion protein of Beta-2 adrenergic receptor and T4 Lysozyme [Homo sapiens]	2.80e-05
5GLH_A	Chain A, Endothelin Receptor Subtype-B [Homo sapiens]	2.80e-05
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	3.07e-05
6LRY_A	Chain A, Endothelin receptor type B,Endolysin,Endothelin receptor type B [Homo sapiens]	3.18e-05
6E59_A	Chain A, Substance-P receptor, GlgA glycogen synthase, Substance-P receptor chimera [Homo sapiens]	3.57e-05
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	4.71e-05
5GLI_A	Chain A, Endothelin Receptor Subtype-B [Homo sapiens]	5.00e-05
