NP_001285859.1	rhodopsin 5, isoform B [Drosophila melanogaster]	0.0
XP_002079172.1	uncharacterized protein Dsimw501_GD23807 [Drosophila simulans]	0.0
XP_033168680.1	opsin Rh5 [Drosophila mauritiana]	0.0
XP_032570220.1	opsin Rh5 [Drosophila sechellia]	0.0
XP_002088425.1	uncharacterized protein Dyak_GE18562 [Drosophila yakuba]	0.0
XP_017011989.1	PREDICTED: opsin Rh5 [Drosophila takahashii]	0.0
XP_001969784.1	opsin Rh5 [Drosophila erecta]	0.0
XP_017065517.1	PREDICTED: opsin Rh5 [Drosophila eugracilis]	0.0
XP_016964182.1	PREDICTED: opsin Rh5 [Drosophila biarmipes]	0.0
XP_017099873.1	PREDICTED: opsin Rh5 [Drosophila bipectinata]	0.0
XP_001962502.1	opsin Rh5 [Drosophila ananassae]	0.0
XP_017049082.1	PREDICTED: opsin Rh5 [Drosophila ficusphila]	0.0
XP_017115902.1	PREDICTED: opsin Rh5 [Drosophila elegans]	0.0
XP_016945665.1	PREDICTED: opsin Rh5 [Drosophila suzukii]	0.0
XP_016977806.1	PREDICTED: opsin Rh5 [Drosophila rhopaloa]	0.0
XP_017032999.1	PREDICTED: opsin Rh5 [Drosophila kikkawai]	0.0
XP_022221312.1	opsin Rh5 [Drosophila obscura]	0.0
XP_034668312.1	opsin Rh5 [Drosophila subobscura]	0.0
XP_034128362.1	opsin Rh5 [Drosophila guanche]	0.0
XP_001357162.1	opsin Rh5 [Drosophila pseudoobscura]	0.0
XP_033249241.1	opsin Rh5 [Drosophila miranda]	0.0
XP_002020861.1	opsin Rh5 [Drosophila persimilis]	0.0
XP_020809322.1	LOW QUALITY PROTEIN: opsin Rh5 [Drosophila serrata]	0.0
XP_002064582.2	opsin Rh5 [Drosophila willistoni]	0.0
XP_002052352.1	opsin Rh5 [Drosophila virilis]	0.0
XP_030557036.1	opsin Rh5 [Drosophila novamexicana]	0.0
XP_023164905.1	opsin Rh5 [Drosophila hydei]	0.0
XP_017860242.1	PREDICTED: opsin Rh5 [Drosophila arizonae]	0.0
XP_030239635.1	opsin Rh5 [Drosophila navojoa]	0.0
XP_002002075.1	opsin Rh5 [Drosophila mojavensis]	0.0
XP_034119732.1	opsin Rh5 [Drosophila albomicans]	0.0
XP_034473175.1	opsin Rh5 [Drosophila innubila]	0.0
XP_001993385.1	opsin Rh5 [Drosophila grimshawi]	0.0
XP_030384580.1	opsin Rh5 [Scaptodrosophila lebanonensis]	0.0
XP_017854329.1	opsin Rh5 [Drosophila busckii]	0.0
XP_023304937.1	opsin Rh5 [Lucilia cuprina]	6.28e-177
XP_013117651.1	PREDICTED: opsin Rh5 [Stomoxys calcitrans]	1.11e-176
XP_005175090.1	PREDICTED: opsin Rh5 [Musca domestica]	1.84e-171
XP_022127929.1	opsin-3-like [Pieris rapae]	1.34e-148
XP_001662982.2	opsin-3 [Aedes aegypti]	8.14e-148
XP_032520522.1	opsin-3 [Danaus plexippus plexippus]	1.19e-147
XP_029717656.1	opsin-3-like [Aedes albopictus]	3.40e-147
XP_029717700.1	opsin-3-like [Aedes albopictus]	5.27e-147
XP_319247.1	AGAP010089-PA, partial [Anopheles gambiae str. PEST]	1.45e-144
XP_013140256.1	PREDICTED: opsin-3 [Papilio polytes]	2.58e-143
XP_024873013.1	opsin, blue-sensitive [Temnothorax curvispinosus]	8.61e-143
XP_020287744.1	opsin, blue-sensitive [Pseudomyrmex gracilis]	2.86e-142
NP_001292410.1	opsin-3 [Plutella xylostella]	2.93e-142
NP_001303950.1	opsin-3 [Papilio machaon]	9.55e-142
XP_023946230.1	opsin-3-like [Bicyclus anynana]	1.20e-141
XP_014472638.1	PREDICTED: opsin, blue-sensitive isoform X1 [Dinoponera quadriceps]	1.44e-141
XP_017884555.1	opsin, blue-sensitive [Ceratina calcarata]	1.49e-141
XP_001863546.1	opsin-2 [Culex quinquefasciatus]	2.48e-141
XP_011144117.2	opsin, blue-sensitive [Harpegnathos saltator]	4.01e-141
XP_034831421.1	opsin-3 [Aphantopus hyperantus]	6.30e-141
XP_032669124.1	opsin, blue-sensitive [Odontomachus brunneus]	1.23e-140
XP_017798773.1	PREDICTED: opsin, blue-sensitive [Habropoda laboriosa]	1.32e-140
XP_013172532.1	PREDICTED: opsin-3 [Papilio xuthus]	1.56e-140
XP_018309529.1	PREDICTED: opsin, blue-sensitive [Trachymyrmex zeteki]	1.91e-140
XP_003702903.1	PREDICTED: opsin, blue-sensitive isoform X1 [Megachile rotundata]	2.16e-140
XP_015439210.1	PREDICTED: opsin, blue-sensitive [Dufourea novaeangliae]	2.31e-140
XP_012139492.1	PREDICTED: opsin, blue-sensitive isoform X2 [Megachile rotundata]	3.69e-140
XP_018377782.1	PREDICTED: opsin, blue-sensitive [Trachymyrmex cornetzi]	3.80e-140
XP_014613625.1	PREDICTED: opsin, blue-sensitive-like [Polistes canadensis]	5.95e-140
XP_004932925.1	opsin-3 [Bombyx mori]	9.91e-140
XP_028028058.1	opsin-3 [Bombyx mandarina]	1.34e-139
XP_029170253.1	LOW QUALITY PROTEIN: opsin, blue-sensitive [Nylanderia fulva]	1.52e-139
XP_018055552.1	PREDICTED: opsin, blue-sensitive [Atta colombica]	2.74e-139
XP_018347639.1	PREDICTED: opsin, blue-sensitive [Trachymyrmex septentrionalis]	3.16e-139
XP_031832874.1	opsin, blue-sensitive [Nomia melanderi]	3.53e-139
XP_022129517.1	opsin-3-like [Pieris rapae]	8.22e-139
XP_028523457.1	opsin, blue-sensitive isoform X1 [Apis cerana]	1.40e-138
XP_033336141.1	opsin, blue-sensitive [Megalopta genalis]	1.59e-138
NP_001315412.1	opsin, blue-sensitive [Apis cerana]	1.77e-138
XP_012226666.1	PREDICTED: opsin, blue-sensitive [Linepithema humile]	2.33e-138
XP_021184176.1	opsin-3 [Helicoverpa armigera]	2.53e-138
