AIT99330.1	peropsin, partial [Brachionus koreanus]	0.0
RNA17726.1	visual pigment-like receptor peropsin [Brachionus plicatilis]	7.42e-137
BAJ22674.1	peropsin [Hasarius adansoni]	2.60e-37
AMP19653.1	peropsin [Euphausia superba]	3.56e-35
XP_006820589.1	PREDICTED: visual pigment-like receptor peropsin-like, partial [Saccoglossus kowalevskii]	5.54e-32
XP_015920587.1	visual pigment-like receptor peropsin isoform X1 [Parasteatoda tepidariorum]	2.43e-31
BAC76023.1	opsin [Branchiostoma belcheri]	3.10e-31
XP_023223957.1	visual pigment-like receptor peropsin isoform X3 [Centruroides sculpturatus]	4.55e-31
DAC74057.1	TPA_exp: peropsin [Branchiostoma floridae]	5.80e-31
NP_001301037.1	visual pigment-like receptor peropsin [Limulus polyphemus]	1.72e-30
AKM21242.1	peropsin, partial [Parasteatoda tepidariorum]	1.97e-30
XP_015920588.1	visual pigment-like receptor peropsin isoform X2 [Parasteatoda tepidariorum]	2.40e-30
AWU78806.1	peropsin [Branchiostoma lanceolatum]	3.43e-30
XP_019631461.1	PREDICTED: visual pigment-like receptor peropsin [Branchiostoma belcheri]	4.50e-30
XP_029985489.1	visual pigment-like receptor peropsin [Sphaeramia orbicularis]	1.39e-29
XP_020042540.1	visual pigment-like receptor peropsin [Castor canadensis]	1.49e-29
XP_010639820.1	visual pigment-like receptor peropsin [Fukomys damarensis]	2.07e-29
XP_012688455.1	visual pigment-like receptor peropsin [Clupea harengus]	3.43e-29
EMP40797.1	Pro-epidermal growth factor [Chelonia mydas]	3.49e-29
CCP46949.1	peropsin [Cupiennius salei]	7.05e-29
XP_029464046.1	visual pigment-like receptor peropsin [Rhinatrema bivittatum]	7.23e-29
XP_012879229.1	PREDICTED: visual pigment-like receptor peropsin [Dipodomys ordii]	7.69e-29
XP_035206630.1	visual pigment-like receptor peropsin isoform X1 [Stegodyphus dumicola]	1.11e-28
XP_004594583.1	PREDICTED: visual pigment-like receptor peropsin [Ochotona princeps]	1.81e-28
XP_032110664.1	H/ACA ribonucleoprotein complex subunit 1 isoform X3 [Sapajus apella]	2.05e-28
XP_017365145.1	PREDICTED: H/ACA ribonucleoprotein complex subunit 1 isoform X3 [Cebus capucinus imitator]	2.11e-28
TRZ23247.1	hypothetical protein HGM15179_003816 [Zosterops borbonicus]	3.19e-28
XP_034492038.1	visual pigment-like receptor peropsin isoform X2 [Marmota flaviventris]	3.60e-28
XP_020857087.1	visual pigment-like receptor peropsin [Phascolarctos cinereus]	3.77e-28
XP_027791207.1	visual pigment-like receptor peropsin isoform X1 [Marmota flaviventris]	3.95e-28
XP_006755294.2	PREDICTED: visual pigment-like receptor peropsin [Myotis davidii]	4.27e-28
XP_007105918.1	visual pigment-like receptor peropsin isoform X2 [Physeter catodon]	4.29e-28
XP_012291991.1	visual pigment-like receptor peropsin [Aotus nancymaae]	4.81e-28
XP_005681368.2	PREDICTED: visual pigment-like receptor peropsin [Capra hircus]	5.01e-28
XP_034051404.1	visual pigment-like receptor peropsin [Thalassophryne amazonica]	5.16e-28
XP_034432016.1	visual pigment-like receptor peropsin isoform X2 [Hippoglossus hippoglossus]	6.24e-28
XP_028994862.1	visual pigment-like receptor peropsin [Betta splendens]	6.26e-28
XP_003929508.1	PREDICTED: visual pigment-like receptor peropsin [Saimiri boliviensis boliviensis]	6.86e-28
XP_029972412.1	visual pigment-like receptor peropsin [Salarias fasciatus]	7.02e-28
XP_006881153.1	PREDICTED: visual pigment-like receptor peropsin [Elephantulus edwardii]	7.47e-28
XP_020774964.1	visual pigment-like receptor peropsin [Boleophthalmus pectinirostris]	7.86e-28
KAB0392757.1	hypothetical protein E2I00_009576, partial [Balaenoptera physalus]	8.42e-28
XP_008568405.1	PREDICTED: visual pigment-like receptor peropsin [Galeopterus variegatus]	8.53e-28
XP_025729412.1	visual pigment-like receptor peropsin [Callorhinus ursinus]	9.18e-28
XP_027977156.1	visual pigment-like receptor peropsin [Eumetopias jubatus]	9.97e-28
XP_011801148.1	PREDICTED: visual pigment-like receptor peropsin [Colobus angolensis palliatus]	9.97e-28
XP_027453715.1	visual pigment-like receptor peropsin [Zalophus californianus]	1.02e-27
XP_030213007.1	visual pigment-like receptor peropsin [Gadus morhua]	1.03e-27
XP_005872465.2	PREDICTED: visual pigment-like receptor peropsin isoform X2 [Myotis brandtii]	1.11e-27
XP_007191091.1	visual pigment-like receptor peropsin [Balaenoptera acutorostrata scammoni]	1.23e-27
XP_034432015.1	visual pigment-like receptor peropsin isoform X1 [Hippoglossus hippoglossus]	1.23e-27
XP_003468046.1	visual pigment-like receptor peropsin [Cavia porcellus]	1.31e-27
XP_004380313.3	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Trichechus manatus latirostris]	1.33e-27
NP_001179153.1	visual pigment-like receptor peropsin [Bos taurus]	1.39e-27
XP_003798200.1	visual pigment-like receptor peropsin [Otolemur garnettii]	1.41e-27
XP_033070876.1	visual pigment-like receptor peropsin [Trachypithecus francoisi]	1.42e-27
XP_014400206.1	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Myotis brandtii]	1.44e-27
XP_027693152.1	visual pigment-like receptor peropsin [Vombatus ursinus]	1.46e-27
XP_021501095.1	visual pigment-like receptor peropsin [Meriones unguiculatus]	1.48e-27
XP_027399641.1	visual pigment-like receptor peropsin [Bos indicus x Bos taurus]	1.52e-27
XP_004426639.1	PREDICTED: visual pigment-like receptor peropsin [Ceratotherium simum simum]	1.53e-27
GCC26492.1	hypothetical protein [Chiloscyllium punctatum]	1.62e-27
XP_006052266.1	visual pigment-like receptor peropsin [Bubalus bubalis]	1.65e-27
XP_010856841.1	PREDICTED: visual pigment-like receptor peropsin [Bison bison bison]	1.74e-27
XP_010387370.2	visual pigment-like receptor peropsin [Rhinopithecus roxellana]	1.80e-27
XP_027006158.1	visual pigment-like receptor peropsin isoform X2 [Tachysurus fulvidraco]	1.82e-27
XP_028822134.1	visual pigment-like receptor peropsin [Denticeps clupeoides]	1.88e-27
XP_023075828.1	visual pigment-like receptor peropsin [Piliocolobus tephrosceles]	1.90e-27
XP_005082887.1	visual pigment-like receptor peropsin [Mesocricetus auratus]	1.91e-27
XP_014994513.2	visual pigment-like receptor peropsin [Macaca mulatta]	1.92e-27
XP_007997724.1	PREDICTED: visual pigment-like receptor peropsin [Chlorocebus sabaeus]	1.94e-27
OWK07049.1	RRH [Cervus elaphus hippelaphus]	2.13e-27
AXF38102.1	retinal pigment epithelium rhodopsin homolog/peropsin [Paralichthys olivaceus]	2.14e-27
XP_020743578.1	visual pigment-like receptor peropsin [Odocoileus virginianus texanus]	2.19e-27
XP_015340128.1	PREDICTED: visual pigment-like receptor peropsin [Marmota marmota marmota]	2.22e-27
XP_019817870.1	PREDICTED: visual pigment-like receptor peropsin [Bos indicus]	2.24e-27
XP_001503570.2	visual pigment-like receptor peropsin [Equus caballus]	2.27e-27
KAA0717811.1	Visual pigment-like receptor peropsin [Triplophysa tibetana]	2.34e-27
XP_003899138.1	visual pigment-like receptor peropsin [Papio anubis]	2.36e-27
XP_024597728.1	visual pigment-like receptor peropsin [Neophocaena asiaeorientalis asiaeorientalis]	2.39e-27
XP_032962657.1	visual pigment-like receptor peropsin isoform X3 [Rhinolophus ferrumequinum]	2.39e-27
KYO24418.1	visual pigment-like receptor peropsin isoform A [Alligator mississippiensis]	2.49e-27
XP_004269625.1	visual pigment-like receptor peropsin [Orcinus orca]	2.79e-27
XP_019940435.1	PREDICTED: visual pigment-like receptor peropsin [Paralichthys olivaceus]	2.80e-27
XP_017365120.1	PREDICTED: H/ACA ribonucleoprotein complex subunit 1 isoform X1 [Cebus capucinus imitator]	2.85e-27
XP_004040325.1	visual pigment-like receptor peropsin [Gorilla gorilla gorilla]	3.00e-27
XP_006264141.2	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Alligator mississippiensis]	3.03e-27
XP_011825958.1	PREDICTED: visual pigment-like receptor peropsin [Mandrillus leucophaeus]	3.03e-27
XP_008542178.1	PREDICTED: visual pigment-like receptor peropsin [Equus przewalskii]	3.16e-27
XP_032001245.1	visual pigment-like receptor peropsin isoform X2 [Hylobates moloch]	3.50e-27
XP_008148502.1	visual pigment-like receptor peropsin [Eptesicus fuscus]	3.57e-27
KAB0368455.1	hypothetical protein FD755_020221 [Muntiacus reevesi]	3.74e-27
NP_033128.1	visual pigment-like receptor peropsin [Mus musculus]	3.98e-27
XP_019491569.1	PREDICTED: visual pigment-like receptor peropsin isoform X2 [Hipposideros armiger]	4.04e-27
XP_014694596.1	PREDICTED: visual pigment-like receptor peropsin [Equus asinus]	4.32e-27
XP_022372113.1	visual pigment-like receptor peropsin [Enhydra lutris kenyoni]	4.32e-27
XP_019389653.1	PREDICTED: visual pigment-like receptor peropsin [Crocodylus porosus]	4.36e-27
XP_002717232.1	PREDICTED: visual pigment-like receptor peropsin [Oryctolagus cuniculus]	4.37e-27
XP_007938942.1	PREDICTED: visual pigment-like receptor peropsin [Orycteropus afer afer]	4.55e-27
XP_031231335.1	visual pigment-like receptor peropsin [Mastomys coucha]	4.63e-27
XP_020496911.2	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Labrus bergylta]	4.69e-27
XP_033844460.1	visual pigment-like receptor peropsin [Periophthalmus magnuspinnatus]	4.71e-27
EPQ11557.1	Visual pigment-like receptor peropsin [Myotis brandtii]	4.76e-27
XP_027006156.1	visual pigment-like receptor peropsin isoform X1 [Tachysurus fulvidraco]	5.08e-27
XP_029091626.1	visual pigment-like receptor peropsin [Monodon monoceros]	5.15e-27
XP_007496057.1	PREDICTED: visual pigment-like receptor peropsin [Monodelphis domestica]	5.26e-27
RVE56905.1	hypothetical protein OJAV_G00210800 [Oryzias javanicus]	5.28e-27
XP_032489448.1	visual pigment-like receptor peropsin [Phocoena sinus]	5.32e-27
XP_003410445.2	visual pigment-like receptor peropsin [Loxodonta africana]	5.47e-27
KFO60622.1	Visual pigment-like receptor peropsin, partial [Corvus brachyrhynchos]	5.53e-27
XP_004748136.1	PREDICTED: visual pigment-like receptor peropsin [Mustela putorius furo]	5.54e-27
XP_002815103.1	visual pigment-like receptor peropsin [Pongo abelii]	5.66e-27
XP_032189036.1	visual pigment-like receptor peropsin [Mustela erminea]	5.72e-27
XP_026959305.1	visual pigment-like receptor peropsin [Lagenorhynchus obliquidens]	5.72e-27
XP_032001235.1	visual pigment-like receptor peropsin isoform X1 [Hylobates moloch]	5.84e-27
NP_006574.1	visual pigment-like receptor peropsin [Homo sapiens]	5.84e-27
XP_023649549.1	visual pigment-like receptor peropsin [Paramormyrops kingsleyae]	5.88e-27
XP_020384809.1	visual pigment-like receptor peropsin [Rhincodon typus]	5.92e-27
OXB68168.1	hypothetical protein ASZ78_012266 [Callipepla squamata]	6.14e-27
XP_021014574.1	visual pigment-like receptor peropsin [Mus caroli]	6.61e-27
XP_006232065.1	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Rattus norvegicus]	6.68e-27
POI29291.1	hypothetical protein CIB84_006960, partial [Bambusicola thoracicus]	6.74e-27
XP_020455044.1	visual pigment-like receptor peropsin [Monopterus albus]	6.92e-27
KAB0341937.1	hypothetical protein FD754_018863 [Muntiacus muntjak]	7.04e-27
XP_008687733.1	PREDICTED: visual pigment-like receptor peropsin [Ursus maritimus]	7.04e-27
XP_034713590.1	visual pigment-like receptor peropsin [Etheostoma cragini]	7.06e-27
XP_015824593.1	PREDICTED: visual pigment-like receptor peropsin [Nothobranchius furzeri]	7.13e-27
XP_030719932.1	visual pigment-like receptor peropsin [Globicephala melas]	7.57e-27
XP_019491568.1	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Hipposideros armiger]	7.73e-27
XP_008633907.1	PREDICTED: visual pigment-like receptor peropsin [Corvus brachyrhynchos]	7.76e-27
OXB84836.1	hypothetical protein H355_015958 [Colinus virginianus]	7.89e-27
XP_005019900.1	visual pigment-like receptor peropsin [Anas platyrhynchos]	8.05e-27
XP_006727263.1	visual pigment-like receptor peropsin [Leptonychotes weddellii]	8.57e-27
XP_032256896.1	visual pigment-like receptor peropsin [Phoca vitulina]	9.03e-27
XP_002745536.1	visual pigment-like receptor peropsin [Callithrix jacchus]	9.32e-27
XP_034628493.1	visual pigment-like receptor peropsin [Trachemys scripta elegans]	9.88e-27
XP_007463288.1	PREDICTED: visual pigment-like receptor peropsin [Lipotes vexillifer]	1.00e-26
XP_032753232.1	visual pigment-like receptor peropsin [Rattus rattus]	1.01e-26
XP_034886165.1	visual pigment-like receptor peropsin [Mirounga leonina]	1.02e-26
KAF3815513.1	hypothetical protein GH733_016466, partial [Mirounga leonina]	1.02e-26
XP_025778098.1	visual pigment-like receptor peropsin [Puma concolor]	1.04e-26
XP_015996316.1	PREDICTED: visual pigment-like receptor peropsin [Rousettus aegyptiacus]	1.11e-26
XP_032042722.1	visual pigment-like receptor peropsin [Aythya fuligula]	1.13e-26
XP_010755153.2	visual pigment-like receptor peropsin [Larimichthys crocea]	1.16e-26
XP_005330151.1	visual pigment-like receptor peropsin [Ictidomys tridecemlineatus]	1.16e-26
XP_027251502.1	visual pigment-like receptor peropsin isoform X3 [Cricetulus griseus]	1.17e-26
NWI12934.1	OPSX protein [Crypturellus soui]	1.17e-26
TEA39935.1	hypothetical protein DBR06_SOUSAS10310027 [Sousa chinensis]	1.21e-26
XP_021052688.1	visual pigment-like receptor peropsin [Mus pahari]	1.26e-26
XP_029900580.1	visual pigment-like receptor peropsin [Myripristis murdjan]	1.27e-26
KAE8289439.1	Visual pigment-like receptor peropsin [Larimichthys crocea]	1.28e-26
XP_006025612.2	visual pigment-like receptor peropsin [Alligator sinensis]	1.28e-26
XP_022422837.1	visual pigment-like receptor peropsin isoform X1 [Delphinapterus leucas]	1.34e-26
XP_019783360.1	visual pigment-like receptor peropsin isoform X1 [Tursiops truncatus]	1.34e-26
XP_019377402.1	PREDICTED: visual pigment-like receptor peropsin [Gavialis gangeticus]	1.36e-26
XP_024130212.1	visual pigment-like receptor peropsin [Oryzias melastigma]	1.43e-26
XP_026135137.1	visual pigment-like receptor peropsin [Carassius auratus]	1.50e-26
