2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.36e-37
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.44e-37
2Z73_A	N/A	5.57e-37
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	2.61e-32
1F88_A	N/A	5.12e-29
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	5.21e-29
2X72_A	Chain A, Rhodopsin [Bos taurus]	5.37e-29
4BEY_A	Chain A, Rhodopsin [Bos taurus]	5.42e-29
3C9M_A	Chain A, Rhodopsin [unidentified]	5.84e-29
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	5.94e-29
5DYS_A	Chain A, Rhodopsin [Bos taurus]	8.35e-29
6FKB_A	Chain A, Rhodopsin [Bos taurus]	8.81e-29
6FK6_A	Chain A, Rhodopsin [Bos taurus]	9.59e-29
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.63e-28
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.65e-28
6FUF_A	Chain A, Rhodopsin [Bos taurus]	5.27e-28
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	6.74e-24
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	8.62e-24
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	8.87e-24
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.11e-24
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.48e-13
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	6.62e-12
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.23e-11
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	7.13e-11
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	2.38e-10
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	2.44e-10
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	1.24e-09
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	2.38e-09
4EJ4_A	Chain A, Delta-type opioid receptor, Lysozyme chimera [Mus musculus]	4.70e-09
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	1.33e-08
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.43e-08
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	3.24e-08
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	3.38e-08
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	4.34e-08
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	4.61e-08
