XP_007887943.1	PREDICTED: pinopsin-like [Callorhinchus milii]	2.00e-70
XP_029610847.1	pinopsin-like [Salmo trutta]	4.73e-70
XP_014037060.1	PREDICTED: pinopsin-like [Salmo salar]	4.94e-70
XP_031148952.1	vertebrate ancient opsin-like [Sander lucioperca]	1.21e-68
XP_034743854.1	pinopsin-like [Etheostoma cragini]	2.46e-68
XP_020374117.1	opsin-3-like [Rhincodon typus]	2.02e-67
XP_010888484.2	teleost multiple tissue opsin b [Esox lucius]	5.68e-67
XP_026169720.1	pinopsin-like [Mastacembelus armatus]	1.10e-66
XP_035268967.1	parapinopsin-like [Anguilla anguilla]	2.39e-66
XP_020349627.2	pinopsin-like [Oncorhynchus kisutch]	2.72e-66
XP_033838613.1	vertebrate ancient opsin-like [Periophthalmus magnuspinnatus]	4.52e-66
XP_024135483.1	pinopsin-like [Oryzias melastigma]	5.09e-66
XP_026793806.1	teleost multiple tissue opsin b isoform X1 [Pangasianodon hypophthalmus]	5.11e-66
XP_029935789.1	pinopsin-like [Myripristis murdjan]	5.53e-66
XP_029005127.1	pinopsin-like isoform X2 [Betta splendens]	5.95e-66
XP_020489322.1	pinopsin-like [Labrus bergylta]	8.20e-66
XP_029005126.1	pinopsin-like isoform X1 [Betta splendens]	8.83e-66
XP_010750768.3	pinopsin [Larimichthys crocea]	9.53e-66
XP_023821115.1	vertebrate ancient opsin [Oryzias latipes]	1.24e-65
XP_033841781.1	pinopsin-like [Periophthalmus magnuspinnatus]	1.53e-65
XP_022604509.1	pinopsin-like [Seriola dumerili]	2.19e-65
XP_007252400.2	pinopsin-like [Astyanax mexicanus]	3.70e-65
XP_020795213.1	vertebrate ancient opsin-like [Boleophthalmus pectinirostris]	4.00e-65
XP_031153547.1	pinopsin-like [Sander lucioperca]	4.98e-65
XP_033505644.1	vertebrate ancient opsin-like [Epinephelus lanceolatus]	5.58e-65
XP_026093682.1	parapinopsin-like [Carassius auratus]	5.64e-65
XP_017574756.1	PREDICTED: pinopsin-like [Pygocentrus nattereri]	6.59e-65
XP_016309355.1	PREDICTED: parapinopsin-like [Sinocyclocheilus anshuiensis]	7.61e-65
XP_026793808.1	teleost multiple tissue opsin b isoform X3 [Pangasianodon hypophthalmus]	8.60e-65
XP_023250844.1	pinopsin-like isoform X1 [Seriola lalandi dorsalis]	1.01e-64
XP_008335801.1	vertebrate ancient opsin-like [Cynoglossus semilaevis]	1.01e-64
XP_018534825.1	PREDICTED: pinopsin-like [Lates calcarifer]	1.25e-64
XP_032388164.1	pinopsin-like [Etheostoma spectabile]	1.26e-64
XP_013860836.1	PREDICTED: LOW QUALITY PROTEIN: pinopsin-like [Austrofundulus limnaeus]	1.40e-64
XP_004551907.1	pinopsin [Maylandia zebra]	1.44e-64
XP_012731731.1	pinopsin-like [Fundulus heteroclitus]	2.22e-64
NP_001299608.1	teleost multiple tissue opsin b [Danio rerio]	3.13e-64
XP_022610945.1	vertebrate ancient opsin-like [Seriola dumerili]	3.98e-64
XP_030625142.1	parapinopsin-like [Chanos chanos]	4.06e-64
XP_020479761.1	pinopsin-like isoform X1 [Monopterus albus]	4.41e-64
XP_034428890.1	teleost multiple tissue opsin b [Hippoglossus hippoglossus]	5.92e-64
XP_016134397.1	PREDICTED: parapinopsin-like [Sinocyclocheilus grahami]	6.85e-64
XP_034416592.1	teleost multiple tissue opsin b [Cyclopterus lumpus]	7.60e-64
XP_029979736.1	pinopsin-like [Sphaeramia orbicularis]	8.97e-64
XP_026793809.1	teleost multiple tissue opsin b isoform X4 [Pangasianodon hypophthalmus]	9.60e-64
XP_026793807.2	teleost multiple tissue opsin b isoform X2 [Pangasianodon hypophthalmus]	9.68e-64
XP_028450129.1	vertebrate ancient opsin-like [Perca flavescens]	1.23e-63
XP_032406602.1	pinopsin-like [Xiphophorus hellerii]	1.63e-63
XP_026793810.1	teleost multiple tissue opsin b isoform X5 [Pangasianodon hypophthalmus]	1.70e-63
XP_023277715.1	vertebrate ancient opsin-like isoform X1 [Seriola lalandi dorsalis]	1.71e-63
XP_005805805.1	pinopsin-like isoform X1 [Xiphophorus maculatus]	1.88e-63
XP_012676718.2	parapinopsin-like [Clupea harengus]	2.22e-63
XP_019334246.1	PREDICTED: vertebrate ancient opsin [Alligator mississippiensis]	2.55e-63
XP_035288766.1	pinopsin-like [Anguilla anguilla]	2.57e-63
XP_029380764.1	vertebrate ancient opsin-like [Echeneis naucrates]	2.71e-63
XP_026230747.1	vertebrate ancient opsin-like [Anabas testudineus]	3.05e-63
XP_004567250.1	vertebrate ancient opsin-like [Maylandia zebra]	3.39e-63
XP_027877206.1	vertebrate ancient opsin-like [Xiphophorus couchianus]	3.44e-63
XP_032422206.1	vertebrate ancient opsin-like [Xiphophorus hellerii]	3.48e-63
XP_005742015.1	PREDICTED: vertebrate ancient opsin-like [Pundamilia nyererei]	3.54e-63
XP_023191769.1	vertebrate ancient opsin-like [Xiphophorus maculatus]	4.22e-63
NP_001292340.1	teleost multiple tissue opsin b [Oryzias latipes]	4.51e-63
XP_015228461.1	PREDICTED: vertebrate ancient opsin-like [Cyprinodon variegatus]	4.90e-63
XP_005948988.1	PREDICTED: vertebrate ancient opsin-like [Haplochromis burtoni]	8.23e-63
XP_028648093.1	pinopsin-like [Erpetoichthys calabaricus]	9.50e-63
XP_031614772.1	vertebrate ancient opsin-like [Oreochromis aureus]	9.56e-63
XP_029955224.1	pinopsin-like [Salarias fasciatus]	1.04e-62
XP_015810965.1	PREDICTED: pinopsin-like [Nothobranchius furzeri]	1.09e-62
XP_003453327.1	vertebrate ancient opsin isoform X2 [Oreochromis niloticus]	1.10e-62
XP_017269540.1	pinopsin-like [Kryptolebias marmoratus]	1.54e-62
XP_006787006.1	PREDICTED: pinopsin-like [Neolamprologus brichardi]	1.58e-62
XP_006637846.1	PREDICTED: pinopsin-like isoform X1 [Lepisosteus oculatus]	1.82e-62
XP_016129821.1	PREDICTED: parapinopsin-like [Sinocyclocheilus grahami]	1.89e-62
XP_020465008.1	vertebrate ancient opsin-like [Monopterus albus]	1.95e-62
XP_016337515.1	PREDICTED: pinopsin-like [Sinocyclocheilus anshuiensis]	2.20e-62
XP_028328834.1	vertebrate ancient opsin-like [Gouania willdenowi]	2.30e-62
XP_027014049.1	LOW QUALITY PROTEIN: vertebrate ancient opsin-like [Tachysurus fulvidraco]	2.33e-62
XP_016390737.1	PREDICTED: parapinopsin-like [Sinocyclocheilus rhinocerous]	2.52e-62
XP_023181785.1	opsin-3-like isoform X2 [Xiphophorus maculatus]	2.82e-62
XP_034561844.1	teleost multiple tissue opsin b [Notolabrus celidotus]	3.15e-62
XP_030607607.1	vertebrate ancient opsin-like [Archocentrus centrarchus]	3.24e-62
XP_027860332.1	pinopsin-like [Xiphophorus couchianus]	3.30e-62
XP_023250845.1	opsin-3-like isoform X2 [Seriola lalandi dorsalis]	4.60e-62
XP_008275881.1	PREDICTED: vertebrate ancient opsin-like [Stegastes partitus]	4.61e-62
XP_017308205.1	PREDICTED: parapinopsin-like isoform X1 [Ictalurus punctatus]	4.66e-62
XP_023250846.1	opsin-3-like isoform X3 [Seriola lalandi dorsalis]	4.73e-62
XP_015246133.1	PREDICTED: vertebrate ancient opsin-like [Cyprinodon variegatus]	5.62e-62
XP_018939239.1	PREDICTED: parapinopsin-like isoform X1 [Cyprinus carpio]	6.13e-62
XP_024130019.1	vertebrate ancient opsin-like [Oryzias melastigma]	6.28e-62
XP_034470362.1	vertebrate ancient opsin-like [Hippoglossus hippoglossus]	7.01e-62
XP_021420021.1	pinopsin-like, partial [Oncorhynchus mykiss]	7.04e-62
