     32 sp|A0A287A2K5|GASR_PIG	sp|A0A287A2K5|GASR_PIG Gastrin/cholecystokinin type B receptor OS=Sus scrofa OX=9823 GN=CCKBR PE=3 SV=1
      3 sp|A0A2R9YJI3|GPR22_DANRE	sp|A0A2R9YJI3|GPR22_DANRE G-protein coupled receptor 22 OS=Danio rerio OX=7955 GN=gpr22a PE=2 SV=1
     56 sp|A0T2N3|APJB_DANRE	sp|A0T2N3|APJB_DANRE Apelin receptor B OS=Danio rerio OX=7955 GN=aplnrb PE=1 SV=1
     17 sp|A1A5S3|GPR18_RAT	sp|A1A5S3|GPR18_RAT N-arachidonyl glycine receptor OS=Rattus norvegicus OX=10116 GN=Gpr18 PE=1 SV=1
     34 sp|A1ZAX0|CCH1R_DROME	sp|A1ZAX0|CCH1R_DROME Neuropeptide CCHamide-1 receptor OS=Drosophila melanogaster OX=7227 GN=CCHa1-R PE=2 SV=2
      1 sp|A2ARI4|LGR4_MOUSE	sp|A2ARI4|LGR4_MOUSE Leucine-rich repeat-containing G-protein coupled receptor 4 OS=Mus musculus OX=10090 GN=Lgr4 PE=1 SV=1
      1 sp|A3KFT3|OR2M5_HUMAN	sp|A3KFT3|OR2M5_HUMAN Olfactory receptor 2M5 OS=Homo sapiens OX=9606 GN=OR2M5 PE=3 SV=1
     15 sp|A4FUQ5|FPRS4_MOUSE	sp|A4FUQ5|FPRS4_MOUSE Formyl peptide receptor-related sequence 4 OS=Mus musculus OX=10090 GN=Fpr-rs4 PE=2 SV=2
     40 sp|A5A4K9|GHSR_RABIT	sp|A5A4K9|GHSR_RABIT Growth hormone secretagogue receptor type 1 OS=Oryctolagus cuniculus OX=9986 GN=GHSR PE=2 SV=1
     39 sp|A5A4L1|GHSR_MUSPF	sp|A5A4L1|GHSR_MUSPF Growth hormone secretagogue receptor type 1 OS=Mustela putorius furo OX=9669 GN=GHSR PE=2 SV=1
      7 sp|A5PLE7|GP83A_DANRE	sp|A5PLE7|GP83A_DANRE G-protein coupled receptor 183-A OS=Danio rerio OX=7955 GN=gpr183a PE=2 SV=1
      3 sp|A6NCV1|O6C74_HUMAN	sp|A6NCV1|O6C74_HUMAN Olfactory receptor 6C74 OS=Homo sapiens OX=9606 GN=OR6C74 PE=2 SV=1
      2 sp|A6ND48|O14I1_HUMAN	sp|A6ND48|O14I1_HUMAN Olfactory receptor 14I1 OS=Homo sapiens OX=9606 GN=OR14I1 PE=1 SV=1
      8 sp|A6NDL8|O6C68_HUMAN	sp|A6NDL8|O6C68_HUMAN Olfactory receptor 6C68 OS=Homo sapiens OX=9606 GN=OR6C68 PE=3 SV=2
      1 sp|A6NF89|OR6C6_HUMAN	sp|A6NF89|OR6C6_HUMAN Olfactory receptor 6C6 OS=Homo sapiens OX=9606 GN=OR6C6 PE=3 SV=1
      3 sp|A6NIJ9|O6C70_HUMAN	sp|A6NIJ9|O6C70_HUMAN Olfactory receptor 6C70 OS=Homo sapiens OX=9606 GN=OR6C70 PE=3 SV=1
      2 sp|A6NJZ3|O6C65_HUMAN	sp|A6NJZ3|O6C65_HUMAN Olfactory receptor 6C65 OS=Homo sapiens OX=9606 GN=OR6C65 PE=2 SV=1
      6 sp|A6NL08|O6C75_HUMAN	sp|A6NL08|O6C75_HUMAN Olfactory receptor 6C75 OS=Homo sapiens OX=9606 GN=OR6C75 PE=3 SV=1
      2 sp|A6NL26|OR5BL_HUMAN	sp|A6NL26|OR5BL_HUMAN Olfactory receptor 5B21 OS=Homo sapiens OX=9606 GN=OR5B21 PE=3 SV=1
      2 sp|A6NM76|O6C76_HUMAN	sp|A6NM76|O6C76_HUMAN Olfactory receptor 6C76 OS=Homo sapiens OX=9606 GN=OR6C76 PE=3 SV=1
      1 sp|A6NND4|O2AT4_HUMAN	sp|A6NND4|O2AT4_HUMAN Olfactory receptor 2AT4 OS=Homo sapiens OX=9606 GN=OR2AT4 PE=1 SV=1
     31 sp|A6QLE7|GPR52_BOVIN	sp|A6QLE7|GPR52_BOVIN G-protein coupled receptor 52 OS=Bos taurus OX=9913 GN=GPR52 PE=2 SV=1
      6 sp|A7YY44|PAR1_BOVIN	sp|A7YY44|PAR1_BOVIN Proteinase-activated receptor 1 OS=Bos taurus OX=9913 GN=F2R PE=2 SV=1
      7 sp|B0F9W3|GPER1_MICUN	sp|B0F9W3|GPER1_MICUN G-protein coupled estrogen receptor 1 OS=Micropogonias undulatus OX=29154 GN=gper1 PE=1 SV=1
     11 sp|B0UXR0|GP83B_DANRE	sp|B0UXR0|GP83B_DANRE G-protein coupled receptor 183-B OS=Danio rerio OX=7955 GN=gpr183b PE=3 SV=1
      5 sp|B0V1P1|MC4R_DANRE	sp|B0V1P1|MC4R_DANRE Melanocortin receptor 4 OS=Danio rerio OX=7955 GN=mc4r PE=1 SV=1
     18 sp|B1PHQ8|CML1_PIG	sp|B1PHQ8|CML1_PIG Chemokine-like receptor 1 OS=Sus scrofa OX=9823 GN=CMLKR1 PE=2 SV=1
      4 sp|B2GV46|FFAR3_RAT	sp|B2GV46|FFAR3_RAT Free fatty acid receptor 3 OS=Rattus norvegicus OX=10116 GN=Ffar3 PE=1 SV=1
      1 sp|B2RN74|O11HC_HUMAN	sp|B2RN74|O11HC_HUMAN Olfactory receptor 11H12 OS=Homo sapiens OX=9606 GN=OR11H12 PE=2 SV=1
     61 sp|B2RPY5|GP161_MOUSE	sp|B2RPY5|GP161_MOUSE G-protein coupled receptor 161 OS=Mus musculus OX=10090 GN=Gpr161 PE=1 SV=1
      8 sp|B2ZHY2|GPR39_PIG	sp|B2ZHY2|GPR39_PIG G-protein coupled receptor 39 OS=Sus scrofa OX=9823 GN=GPR39 PE=2 SV=1
     63 sp|B3DM66|GP161_XENTR	sp|B3DM66|GP161_XENTR G-protein coupled receptor 161 OS=Xenopus tropicalis OX=8364 GN=gpr161 PE=2 SV=1
     12 sp|B3G515|GPER1_DANRE	sp|B3G515|GPER1_DANRE G-protein coupled estrogen receptor 1 OS=Danio rerio OX=7955 GN=gper1 PE=1 SV=1
      3 sp|B4XF06|GPR39_BOVIN	sp|B4XF06|GPR39_BOVIN G-protein coupled receptor 39 OS=Bos taurus OX=9913 GN=GPR39 PE=2 SV=1
