P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	2.87e-93
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.85e-91
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.87e-88
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.09e-87
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	7.86e-87
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	3.35e-81
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	5.21e-75
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.89e-73
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	1.31e-72
Q5YKK9.1	N/A	3.98e-72
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	5.12e-72
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	1.32e-69
P35361.1	N/A	2.68e-69
Q8R456.1	N/A	1.63e-68
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	2.88e-68
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	3.61e-67
Q1JPS6.1	N/A	4.90e-67
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	1.51e-66
Q9QXZ9.1	N/A	7.80e-66
Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	3.38e-65
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	6.72e-65
Q95YI3.1	N/A	4.75e-64
Q9UHM6.1	N/A	3.42e-63
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	6.74e-63
Q17292.1	N/A	7.10e-63
P90680.2	N/A	9.20e-63
O57422.1	N/A	9.38e-63
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	1.06e-62
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	1.49e-62
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	1.17e-61
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	3.97e-61
P28678.4	N/A	4.01e-61
P06002.1	N/A	7.56e-60
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	2.41e-59
P91657.1	N/A	7.57e-59
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	1.04e-58
O61303.1	N/A	4.57e-58
P28679.3	N/A	8.94e-58
P29404.2	N/A	2.89e-57
O01668.1	N/A	5.15e-57
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	1.15e-56
P28680.3	N/A	1.18e-56
P08099.1	N/A	1.89e-56
P04950.1	N/A	2.03e-56
P08255.2	N/A	5.50e-56
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	4.61e-54
O14718.1	N/A	1.61e-53
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	3.19e-52
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	1.24e-51
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	1.54e-51
O35214.1	N/A	2.09e-51
O16018.1	RecName: Full=Rhodopsin [Cambarellus shufeldtii]	1.25e-50
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	3.52e-50
O18315.1	RecName: Full=Rhodopsin [Cambarus maculatus]	4.76e-49
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	5.10e-49
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	5.50e-49
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	2.66e-48
O18312.1	RecName: Full=Rhodopsin [Cambarus hubrichti]	1.10e-47
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	1.49e-47
O18486.1	RecName: Full=Rhodopsin [Procambarus seminolae]	2.29e-47
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	5.83e-46
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	5.83e-46
P49912.1	N/A	1.92e-45
O42266.1	N/A	2.19e-45
Q9WUK7.1	N/A	2.69e-45
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	3.05e-45
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	5.19e-45
Q9H1Y3.1	N/A	5.26e-45
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	6.86e-45
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	7.68e-45
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.17e-44
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	1.21e-44
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	1.41e-44
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.53e-44
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	1.80e-44
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	1.85e-44
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	2.98e-44
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	3.11e-44
Q28886.1	N/A	5.06e-44
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	5.29e-44
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	6.93e-44
Q95KU1.1	N/A	6.97e-44
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	8.06e-44
Q9YGZ7.1	RecName: Full=Rhodopsin [Chelon saliens]	9.64e-44
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	9.64e-44
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	1.03e-43
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	1.07e-43
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	1.17e-43
P02699.1	N/A	1.22e-43
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	1.23e-43
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	1.44e-43
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	1.46e-43
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	1.66e-43
O18766.1	N/A	1.66e-43
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	1.72e-43
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	1.79e-43
O62794.1	N/A	2.17e-43
P28681.1	N/A	2.54e-43
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	2.81e-43
O42451.1	RecName: Full=Rhodopsin [Procottus jettelesii]	2.98e-43
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	3.02e-43
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	3.37e-43
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	3.68e-43
Q9YH01.1	RecName: Full=Rhodopsin [Mullus surmuletus]	3.70e-43
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	3.88e-43
P87369.1	N/A	5.30e-43
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	5.58e-43
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	6.35e-43
P28683.1	N/A	6.95e-43
P15409.2	N/A	6.97e-43
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	7.57e-43
O62791.1	N/A	9.11e-43
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	1.13e-42
Q9YH02.1	N/A	1.64e-42
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	2.15e-42
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	2.38e-42
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	2.47e-42
Q68J47.1	N/A	2.69e-42
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	2.89e-42
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	3.02e-42
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	3.74e-42
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	3.90e-42
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	3.91e-42
O42294.1	RecName: Full=Rhodopsin [Abyssocottus korotneffi]	4.55e-42
Q769E8.1	N/A	5.14e-42
O42301.1	RecName: Full=Rhodopsin [Batrachocottus nikolskii]	5.72e-42
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	5.72e-42
Q6VZZ7.1	N/A	6.20e-42
P52202.1	N/A	1.11e-41
O42604.1	RecName: Full=Rhodopsin [Zeus faber]	1.67e-41
O42300.1	RecName: Full=Rhodopsin [Batrachocottus multiradiatus]	1.70e-41
P41590.1	N/A	1.71e-41
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	1.75e-41
Q9R024.1	N/A	1.77e-41
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	1.83e-41
Q6U736.3	N/A	1.85e-41
O42452.1	RecName: Full=Rhodopsin [Paracottus knerii]	2.20e-41
O62798.1	N/A	3.27e-41
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	3.28e-41
P87366.1	N/A	4.16e-41
O42268.1	RecName: Full=Rhodopsin [Ictalurus punctatus]	4.79e-41
O12948.1	N/A	4.94e-41
Q90215.1	RecName: Full=Rhodopsin, freshwater form [Anguilla anguilla]	5.18e-41
P22328.1	N/A	5.56e-41
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	6.11e-41
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	6.11e-41
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	6.87e-41
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	7.57e-41
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	9.53e-41
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	2.74e-40
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	2.84e-40
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	4.74e-40
Q9W6A7.1	N/A	6.05e-40
O42466.1	RecName: Full=Rhodopsin [Taurulus bubalis]	8.07e-40
P51474.1	RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon fasciatus]	9.55e-40
P22332.2	N/A	1.34e-39
P51471.1	N/A	1.42e-39
O18912.2	N/A	1.80e-39
O18914.2	N/A	2.02e-39
Q8AYM7.1	N/A	2.30e-39
O18913.2	N/A	2.48e-39
O42431.1	RecName: Full=Rhodopsin [Limnocottus pallidus]	2.66e-39
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	3.04e-39
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	4.65e-39
P87367.1	N/A	5.91e-39
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	6.01e-39
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	7.53e-39
P08100.1	N/A	8.42e-39
P41592.1	N/A	1.26e-38
O18910.2	N/A	1.79e-38
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	1.93e-38
Q90373.1	RecName: Full=Rhodopsin [Leocottus kesslerii]	1.98e-38
O35599.1	N/A	2.10e-38
O42328.1	RecName: Full=Rhodopsin [Cottocomephorus grewingki]	3.34e-38
Q9BGI7.1	N/A	3.46e-38
Q95170.1	N/A	4.70e-38
O35476.2	N/A	4.73e-38
P32308.1	N/A	5.79e-38
Q8AYM8.1	N/A	8.62e-38
P22329.1	N/A	1.02e-37
Q9W6A5.2	N/A	1.03e-37
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	1.58e-37
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	1.73e-37
P04001.1	N/A	1.80e-37
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	1.91e-37
O42427.1	RecName: Full=Rhodopsin [Limnocottus bergianus]	2.49e-37
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	3.31e-37
O62796.1	N/A	3.73e-37
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	4.19e-37
P22331.1	N/A	6.82e-37
P32311.1	N/A	9.60e-37
P32312.1	N/A	2.42e-36
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	3.62e-36
P35357.1	RecName: Full=Blue-sensitive opsin P467; AltName: Full=Blue photoreceptor pigment [Gekko gecko]	7.31e-36
P32310.1	N/A	1.03e-35
O57605.1	N/A	1.05e-35
P03999.1	N/A	1.11e-35
O18911.1	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin [Odocoileus virginianus virginianus]	1.58e-35
O13018.1	N/A	2.83e-35
O13092.1	N/A	3.98e-35
Q98980.1	N/A	4.20e-35
P35403.1	RecName: Full=Rhodopsin [Pomatoschistus minutus]	4.69e-35
Q90309.1	N/A	6.56e-33
P87365.1	N/A	1.25e-32
Q9W6A8.1	N/A	1.30e-32
P28684.1	N/A	7.03e-32
P51491.1	N/A	1.83e-31
P51473.1	N/A	3.17e-31
Q63652.2	RecName: Full=Short-wave-sensitive opsin 1; Short=S opsin; AltName: Full=Blue cone photoreceptor pigment; AltName: Full=Blue-sensitive opsin; Short=BOP; AltName: Full=Short wavelength-sensitive cone opsin [Rattus norvegicus]	3.24e-31
P28682.1	N/A	3.54e-31
P47803.1	N/A	3.63e-30
P51490.1	N/A	5.54e-30
Q9W6A9.2	RecName: Full=Opsin-1, short-wave-sensitive 1; Short=Opsin SWS-1; AltName: Full=Ultraviolet cone photoreceptor pigment; AltName: Full=Ultraviolet-sensitive opsin [Danio rerio]	1.18e-29
P51472.1	N/A	1.25e-29
Q9Z2B3.1	N/A	4.93e-29
P47804.1	N/A	9.61e-29
P30873.1	N/A	1.63e-24
P30872.1	N/A	1.76e-24
Q49LX5.1	N/A	2.76e-24
P87368.1	N/A	3.65e-24
P28646.1	N/A	4.49e-24
Q923Y2.1	N/A	7.51e-24
O02835.2	N/A	7.62e-24
Q5QD09.1	N/A	2.42e-23
Q5QD12.1	N/A	2.45e-23
P25929.1	N/A	3.29e-23
Q923X6.1	RecName: Full=Trace amine-associated receptor 7e; Short=TaR-7e; Short=Trace amine receptor 7e; AltName: Full=Trace amine receptor 14; Short=TaR-14 [Rattus norvegicus]	5.16e-23
Q1RMU8.1	N/A	1.16e-22
O02813.2	N/A	2.31e-22
Q923Y3.1	N/A	2.42e-22
Q5QD08.1	N/A	4.81e-22
Q923X5.1	RecName: Full=Trace amine-associated receptor 7d; Short=TaR-7d; Short=Trace amine receptor 7d; AltName: Full=Trace amine receptor 15; Short=TaR-15 [Rattus norvegicus]	6.10e-22
Q5DUB2.1	N/A	1.25e-21
Q5QD10.1	N/A	1.48e-21
P30937.1	N/A	1.48e-21
Q5QD21.1	N/A	1.64e-21
Q9WVD0.1	RecName: Full=Neuropeptide Y receptor type 1; Short=NPY1-R [Cavia porcellus]	1.65e-21
Q923X8.2	N/A	1.98e-21
P21555.3	RecName: Full=Neuropeptide Y receptor type 1; Short=NPY1-R; AltName: Full=FC5 [Rattus norvegicus]	3.74e-21
Q04573.1	N/A	4.15e-21
Q5QD11.1	N/A	5.46e-21
G3M4F8.1	RecName: Full=Octopamine receptor beta-2R; Short=CsOA2B2 [Chilo suppressalis]	8.94e-21
Q923Y1.1	N/A	9.00e-21
Q64077.1	N/A	2.06e-20
Q5QD13.1	N/A	2.46e-20
Q98982.1	RecName: Full=Substance-P receptor; Short=SPR; AltName: Full=NK-1 receptor; Short=NK-1R; AltName: Full=Tachykinin receptor 1 [Lithobates catesbeianus]	3.60e-20
Q923X9.2	RecName: Full=Trace amine-associated receptor 8a; Short=TaR-8a; Short=Trace amine receptor 8a; AltName: Full=Trace amine receptor 11; Short=TaR-11 [Rattus norvegicus]	5.43e-20
P79218.1	N/A	5.59e-20
Q95M54.1	N/A	6.47e-20
Q923Y4.1	N/A	7.16e-20
P49660.2	RecName: Full=Somatostatin receptor type 4; Short=SS-4-R; Short=SS4-R; Short=SS4R [Mus musculus]	7.20e-20
Q9VCZ3.1	N/A	8.72e-20
