tr|A0A0A7DNF4|A0A0A7DNF4_9BILA	tr|A0A0A7DNF4|A0A0A7DNF4_9BILA Peropsin (Fragment) OS=Brachionus koreanus OX=1199090 PE=2 SV=1	0.0
tr|A0A3M7R2C9|A0A3M7R2C9_BRAPC	tr|A0A3M7R2C9|A0A3M7R2C9_BRAPC Visual pigment-like receptor peropsin OS=Brachionus plicatilis OX=10195 GN=BpHYR1_042115 PE=4 SV=1	4.38e-137
tr|E1CFG1|E1CFG1_9ARAC	tr|E1CFG1|E1CFG1_9ARAC Peropsin OS=Hasarius adansoni OX=243517 GN=HaRRH PE=2 SV=1	1.53e-37
tr|A0A142BLT2|A0A142BLT2_EUPSU	tr|A0A142BLT2|A0A142BLT2_EUPSU Peropsin OS=Euphausia superba OX=6819 PE=2 SV=1	2.10e-35
tr|Q868G0|Q868G0_BRABE	tr|Q868G0|Q868G0_BRABE Opsin OS=Branchiostoma belcheri OX=7741 GN=Amphiop3 PE=2 SV=1	1.83e-31
tr|A0A455ZAL4|A0A455ZAL4_BRAFL	tr|A0A455ZAL4|A0A455ZAL4_BRAFL Peropsin OS=Branchiostoma floridae OX=7739 GN=op14 PE=2 SV=1	3.42e-31
tr|A0A097J9F3|A0A097J9F3_LIMPO	tr|A0A097J9F3|A0A097J9F3_LIMPO Peropsin 1 OS=Limulus polyphemus OX=6850 PE=2 SV=1	1.01e-30
tr|A0A0G3Y5J3|A0A0G3Y5J3_PARTP	tr|A0A0G3Y5J3|A0A0G3Y5J3_PARTP Peropsin (Fragment) OS=Parasteatoda tepidariorum OX=114398 PE=2 SV=1	1.17e-30
tr|A0A2Z4C0E6|A0A2Z4C0E6_BRALA	tr|A0A2Z4C0E6|A0A2Z4C0E6_BRALA Peropsin OS=Branchiostoma lanceolatum OX=7740 GN=op14 PE=2 SV=1	2.02e-30
tr|A0A455ZA75|A0A455ZA75_BRABE	tr|A0A455ZA75|A0A455ZA75_BRABE Peropsin OS=Branchiostoma belcheri OX=7741 GN=op14 PE=2 SV=1	2.65e-30
tr|A0A673B660|A0A673B660_9TELE	tr|A0A673B660|A0A673B660_9TELE Uncharacterized protein OS=Sphaeramia orbicularis OX=375764 GN=LOC115415948 PE=4 SV=1	8.20e-30
tr|A0A091D6F6|A0A091D6F6_FUKDA	tr|A0A091D6F6|A0A091D6F6_FUKDA Visual pigment-like receptor peropsin OS=Fukomys damarensis OX=885580 GN=H920_12748 PE=3 SV=1	1.22e-29
tr|M7CIJ5|M7CIJ5_CHEMY	tr|M7CIJ5|M7CIJ5_CHEMY Pro-epidermal growth factor OS=Chelonia mydas OX=8469 GN=UY3_01923 PE=3 SV=1	2.06e-29
tr|T2I4T4|T2I4T4_CUPSA	tr|T2I4T4|T2I4T4_CUPSA Peropsin OS=Cupiennius salei OX=6928 GN=opsin PE=2 SV=1	4.16e-29
tr|A0A1S3FT77|A0A1S3FT77_DIPOR	tr|A0A1S3FT77|A0A1S3FT77_DIPOR visual pigment-like receptor peropsin OS=Dipodomys ordii OX=10020 GN=Rrh PE=3 SV=1	4.54e-29
tr|A0A2K5R7Z4|A0A2K5R7Z4_CEBCA	tr|A0A2K5R7Z4|A0A2K5R7Z4_CEBCA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Cebus capucinus imitator OX=1737458 GN=RRH PE=3 SV=1	1.25e-28
tr|A0A452DQ38|A0A452DQ38_CAPHI	tr|A0A452DQ38|A0A452DQ38_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=RRH PE=3 SV=1	2.53e-28
tr|A0A2Y9EPM5|A0A2Y9EPM5_PHYMC	tr|A0A2Y9EPM5|A0A2Y9EPM5_PHYMC visual pigment-like receptor peropsin isoform X2 OS=Physeter macrocephalus OX=9755 GN=RRH PE=3 SV=1	2.53e-28
tr|A0A2K5CT39|A0A2K5CT39_AOTNA	tr|A0A2K5CT39|A0A2K5CT39_AOTNA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Aotus nancymaae OX=37293 GN=RRH PE=3 SV=1	2.84e-28
tr|A0A2K6RZV6|A0A2K6RZV6_SAIBB	tr|A0A2K6RZV6|A0A2K6RZV6_SAIBB Retinal pigment epithelium-derived rhodopsin homolog OS=Saimiri boliviensis boliviensis OX=39432 GN=RRH PE=3 SV=1	4.05e-28
tr|A0A672HEZ0|A0A672HEZ0_SALFA	tr|A0A672HEZ0|A0A672HEZ0_SALFA Uncharacterized protein OS=Salarias fasciatus OX=181472 GN=rrh PE=4 SV=1	4.53e-28
tr|A0A643BXP8|A0A643BXP8_BALPH	tr|A0A643BXP8|A0A643BXP8_BALPH Uncharacterized protein (Fragment) OS=Balaenoptera physalus OX=9770 GN=E2I00_009576 PE=4 SV=1	4.97e-28
tr|A0A3Q7PH64|A0A3Q7PH64_CALUR	tr|A0A3Q7PH64|A0A3Q7PH64_CALUR visual pigment-like receptor peropsin OS=Callorhinus ursinus OX=34884 GN=LOC112825558 PE=3 SV=1	5.42e-28
tr|A0A2K5IM15|A0A2K5IM15_COLAP	tr|A0A2K5IM15|A0A2K5IM15_COLAP G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Colobus angolensis palliatus OX=336983 GN=RRH PE=3 SV=1	5.89e-28
tr|A0A384AUL7|A0A384AUL7_BALAS	tr|A0A384AUL7|A0A384AUL7_BALAS visual pigment-like receptor peropsin OS=Balaenoptera acutorostrata scammoni OX=310752 GN=RRH PE=3 SV=1	7.25e-28
tr|H0V2M9|H0V2M9_CAVPO	tr|H0V2M9|H0V2M9_CAVPO Retinal pigment epithelium-derived rhodopsin homolog OS=Cavia porcellus OX=10141 GN=RRH PE=3 SV=1	7.71e-28
tr|A0A2Y9DSE6|A0A2Y9DSE6_TRIMA	tr|A0A2Y9DSE6|A0A2Y9DSE6_TRIMA LOW QUALITY PROTEIN: visual pigment-like receptor peropsin OS=Trichechus manatus latirostris OX=127582 GN=LOC101355449 PE=3 SV=1	7.88e-28
tr|L8IIR3|L8IIR3_9CETA	tr|L8IIR3|L8IIR3_9CETA Visual pigment-like receptor peropsin OS=Bos mutus OX=72004 GN=M91_06090 PE=3 SV=1	8.21e-28
tr|A0A4W2GWH3|A0A4W2GWH3_BOBOX	tr|A0A4W2GWH3|A0A4W2GWH3_BOBOX G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Bos indicus x Bos taurus OX=30522 GN=LRIT3 PE=3 SV=1	8.21e-28
tr|F1MR98|F1MR98_BOVIN	tr|F1MR98|F1MR98_BOVIN Retinal pigment epithelium-derived rhodopsin homolog OS=Bos taurus OX=9913 GN=RRH PE=3 SV=2	8.21e-28
tr|H0WQH0|H0WQH0_OTOGA	tr|H0WQH0|H0WQH0_OTOGA Retinal pigment epithelium-derived rhodopsin homolog OS=Otolemur garnettii OX=30611 GN=RRH PE=3 SV=1	8.30e-28
tr|A0A2K6DJX6|A0A2K6DJX6_MACNE	tr|A0A2K6DJX6|A0A2K6DJX6_MACNE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Macaca nemestrina OX=9545 GN=RRH PE=3 SV=1	8.67e-28
tr|A0A4X2K3N4|A0A4X2K3N4_VOMUR	tr|A0A4X2K3N4|A0A4X2K3N4_VOMUR Retinal pigment epithelium-derived rhodopsin homolog OS=Vombatus ursinus OX=29139 GN=RRH PE=3 SV=1	9.11e-28
tr|A0A401S7W5|A0A401S7W5_CHIPU	tr|A0A401S7W5|A0A401S7W5_CHIPU G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Chiloscyllium punctatum OX=137246 GN=chiPu_2000056 PE=3 SV=1	9.56e-28
tr|A0A2K6KK57|A0A2K6KK57_RHIBE	tr|A0A2K6KK57|A0A2K6KK57_RHIBE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Rhinopithecus bieti OX=61621 GN=RRH PE=3 SV=1	1.06e-27
tr|A0A1U7QX35|A0A1U7QX35_MESAU	tr|A0A1U7QX35|A0A1U7QX35_MESAU visual pigment-like receptor peropsin OS=Mesocricetus auratus OX=10036 GN=Rrh PE=3 SV=1	1.13e-27
tr|F7HTU3|F7HTU3_MACMU	tr|F7HTU3|F7HTU3_MACMU Retinal pigment epithelium-derived rhodopsin homolog OS=Macaca mulatta OX=9544 GN=RRH PE=3 SV=3	1.13e-27
tr|A0A2K6QKF4|A0A2K6QKF4_RHIRO	tr|A0A2K6QKF4|A0A2K6QKF4_RHIRO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Rhinopithecus roxellana OX=61622 GN=RRH PE=3 SV=1	1.13e-27
tr|A0A0D9QV95|A0A0D9QV95_CHLSB	tr|A0A0D9QV95|A0A0D9QV95_CHLSB Retinal pigment epithelium-derived rhodopsin homolog OS=Chlorocebus sabaeus OX=60711 GN=RRH PE=3 SV=1	1.15e-27
tr|A0A212CLY3|A0A212CLY3_CEREH	tr|A0A212CLY3|A0A212CLY3_CEREH RRH OS=Cervus elaphus hippelaphus OX=46360 GN=Celaphus_00018516 PE=3 SV=1	1.26e-27
tr|A0A4P2TKV0|A0A4P2TKV0_PAROL	tr|A0A4P2TKV0|A0A4P2TKV0_PAROL Retinal pigment epithelium rhodopsin homolog/peropsin OS=Paralichthys olivaceus OX=8255 GN=RRH PE=2 SV=1	1.26e-27
