NP_001027640.1	retinal G-protein-coupled receptor [Ciona intestinalis]	0.0
CAB3264568.1	opsin3 retinal G-protein-coupled receptor [Phallusia mammillata]	2.39e-92
CAB3265552.1	CiNut G-protein coupled receptor like protein [Phallusia mammillata]	1.77e-58
NP_001027636.1	G-protein coupled receptor like protein [Ciona intestinalis]	4.84e-44
XP_002121313.1	beta-4C adrenergic receptor-like [Ciona intestinalis]	1.02e-34
CAB3239937.1	opsin3 retinal G-protein-coupled receptor [Phallusia mammillata]	3.65e-24
XP_002127074.1	uncharacterized protein LOC100182476 [Ciona intestinalis]	6.03e-24
ETE69021.1	RPE-retinal G protein-coupled receptor, partial [Ophiophagus hannah]	2.46e-20
XP_034290644.1	RPE-retinal G protein-coupled receptor [Pantherophis guttatus]	7.63e-20
XP_029141402.1	RPE-retinal G protein-coupled receptor [Protobothrops mucrosquamatus]	8.80e-20
XP_026570333.1	RPE-retinal G protein-coupled receptor [Pseudonaja textilis]	2.03e-19
BAJ22674.1	peropsin [Hasarius adansoni]	6.59e-19
XP_026528513.1	RPE-retinal G protein-coupled receptor [Notechis scutatus]	7.69e-19
XP_013911055.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Thamnophis sirtalis]	1.19e-18
XP_028651317.1	RPE-retinal G protein-coupled receptor [Erpetoichthys calabaricus]	1.72e-18
XP_034508319.1	RPE-retinal G protein-coupled receptor-like, partial [Ailuropoda melanoleuca]	1.75e-18
XP_032088141.1	RPE-retinal G protein-coupled receptor [Thamnophis elegans]	1.97e-18
XP_007442166.1	RPE-retinal G protein-coupled receptor [Python bivittatus]	3.98e-18
XP_030196905.1	RPE-retinal G protein-coupled receptor-like [Gadus morhua]	4.06e-18
XP_017503157.1	PREDICTED: RPE-retinal G protein-coupled receptor [Manis javanica]	6.40e-18
XP_005871214.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Myotis brandtii]	6.49e-18
XP_014399108.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Myotis brandtii]	8.00e-18
XP_001927876.2	RPE-retinal G protein-coupled receptor isoform X2 [Sus scrofa]	1.05e-17
XP_034508798.1	RPE-retinal G protein-coupled receptor-like [Ailuropoda melanoleuca]	1.19e-17
CBN81540.1	RPE-retinal G protein-coupled receptor [Dicentrarchus labrax]	1.29e-17
XP_007174638.1	RPE-retinal G protein-coupled receptor isoform X2 [Balaenoptera acutorostrata scammoni]	2.20e-17
XP_007104100.2	RPE-retinal G protein-coupled receptor isoform X2 [Physeter catodon]	2.41e-17
XP_004583405.1	PREDICTED: RPE-retinal G protein-coupled receptor [Ochotona princeps]	2.80e-17
XP_006213157.1	RPE-retinal G protein-coupled receptor isoform X1 [Vicugna pacos]	3.60e-17
XP_014399109.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X3 [Myotis brandtii]	3.69e-17
TFK05697.1	leucine-rich repeat-containing protein-like [Platysternon megacephalum]	4.31e-17
ERE86957.1	RPE-retinal G protein-coupled receptor-like protein [Cricetulus griseus]	4.87e-17
XP_015272252.1	PREDICTED: RPE-retinal G protein-coupled receptor [Gekko japonicus]	5.17e-17
XP_025290771.1	RPE-retinal G protein-coupled receptor [Canis lupus dingo]	5.73e-17
XP_003418607.1	RPE-retinal G protein-coupled receptor [Loxodonta africana]	5.98e-17
XP_013889912.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Austrofundulus limnaeus]	6.40e-17
KAB0404893.1	hypothetical protein E2I00_006669, partial [Balaenoptera physalus]	6.87e-17
MBV94473.1	RPE-retinal G protein-coupled receptor [Eschrichtius robustus]	7.91e-17
XP_013872569.1	PREDICTED: opsin-5-like [Austrofundulus limnaeus]	8.62e-17
XP_025861491.1	RPE-retinal G protein-coupled receptor [Vulpes vulpes]	9.97e-17
XP_020652504.1	RPE-retinal G protein-coupled receptor isoform X4 [Pogona vitticeps]	1.12e-16
XP_006174061.1	LOW QUALITY PROTEIN: RPE-retinal G protein-coupled receptor [Camelus ferus]	1.26e-16
XP_032115159.1	RPE-retinal G protein-coupled receptor isoform X2 [Sapajus apella]	1.30e-16
XP_029056943.1	RPE-retinal G protein-coupled receptor isoform X2 [Monodon monoceros]	1.30e-16
XP_026985424.1	RPE-retinal G protein-coupled receptor isoform X2 [Lagenorhynchus obliquidens]	1.31e-16
XP_007447668.1	PREDICTED: RPE-retinal G protein-coupled receptor [Lipotes vexillifer]	1.48e-16
XP_020652503.1	RPE-retinal G protein-coupled receptor isoform X3 [Pogona vitticeps]	1.61e-16
XP_034994057.1	RPE-retinal G protein-coupled receptor [Zootoca vivipara]	1.61e-16
XP_004273062.1	RPE-retinal G protein-coupled receptor isoform X2 [Orcinus orca]	1.65e-16
XP_028287254.1	RPE-retinal G protein-coupled receptor-like [Parambassis ranga]	1.68e-16
XP_024861504.1	opsin-5-like isoform X2 [Kryptolebias marmoratus]	1.69e-16
XP_029312345.1	RPE-retinal G protein-coupled receptor-like [Cottoperca gobio]	1.70e-16
XP_027016970.1	LOW QUALITY PROTEIN: RPE-retinal G protein-coupled receptor-like [Tachysurus fulvidraco]	1.77e-16
XP_022418168.1	RPE-retinal G protein-coupled receptor isoform X1 [Delphinapterus leucas]	1.77e-16
XP_034643611.1	opsin-5-like [Trachemys scripta elegans]	2.02e-16
CCP46949.1	peropsin [Cupiennius salei]	2.03e-16
XP_023961622.1	opsin-5-like [Chrysemys picta bellii]	2.22e-16
XP_005348725.2	RPE-retinal G protein-coupled receptor [Microtus ochrogaster]	2.34e-16
XP_023698091.1	RPE-retinal G protein-coupled receptor-like [Paramormyrops kingsleyae]	2.40e-16
GCB70296.1	hypothetical protein [Scyliorhinus torazame]	2.51e-16
TFK07779.1	G2 and S phase-expressed protein 1 [Platysternon megacephalum]	2.85e-16
RVE59733.1	hypothetical protein OJAV_G00191490 [Oryzias javanicus]	3.03e-16
XP_026508411.1	opsin-5-like [Terrapene carolina triunguis]	3.67e-16
XP_013776973.2	visual pigment-like receptor peropsin [Limulus polyphemus]	3.68e-16
XP_017376333.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Cebus capucinus imitator]	3.68e-16
KAB0351473.1	hypothetical protein FD754_016330 [Muntiacus muntjak]	3.72e-16
KAB1270896.1	RPE-retinal G protein-coupled receptor [Camelus dromedarius]	3.81e-16
KAB0382767.1	hypothetical protein FD755_004684 [Muntiacus reevesi]	3.83e-16
XP_007533982.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Erinaceus europaeus]	3.87e-16
XP_020460844.1	RPE-retinal G protein-coupled receptor-like isoform X2 [Monopterus albus]	3.95e-16
XP_034761160.1	opsin-5-like [Acipenser ruthenus]	4.38e-16
XP_012323955.1	RPE-retinal G protein-coupled receptor isoform X4 [Aotus nancymaae]	4.50e-16
XP_032464760.1	RPE-retinal G protein-coupled receptor isoform X1 [Phocoena sinus]	4.55e-16
XP_004320121.2	RPE-retinal G protein-coupled receptor isoform X2 [Tursiops truncatus]	4.59e-16
XP_019723985.1	PREDICTED: opsin-5-like [Hippocampus comes]	4.60e-16
MXQ85728.1	hypothetical protein [Bos mutus]	4.73e-16
KAF4018969.1	hypothetical protein G4228_010822 [Cervus hanglu yarkandensis]	4.73e-16
XP_003942612.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Saimiri boliviensis boliviensis]	5.08e-16
XP_003223311.2	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Anolis carolinensis]	5.28e-16
XP_020749126.1	RPE-retinal G protein-coupled receptor [Odocoileus virginianus texanus]	5.56e-16
XP_023987923.1	RPE-retinal G protein-coupled receptor isoform X3 [Physeter catodon]	5.86e-16
XP_013838840.1	RPE-retinal G protein-coupled receptor isoform X1 [Sus scrofa]	5.88e-16
XP_019809834.1	PREDICTED: RPE-retinal G protein-coupled receptor [Bos indicus]	6.02e-16
XP_020652501.1	RPE-retinal G protein-coupled receptor isoform X1 [Pogona vitticeps]	6.59e-16
