6FK6_A	Chain A, Rhodopsin [Bos taurus]	9.55e-50
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.27e-49
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.82e-49
3C9M_A	Chain A, Rhodopsin [unidentified]	2.02e-49
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	2.07e-49
1F88_A	N/A	2.08e-49
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.14e-49
6FUF_A	Chain A, Rhodopsin [Bos taurus]	6.14e-49
5DYS_A	Chain A, Rhodopsin [Bos taurus]	8.58e-49
4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.56e-48
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.80e-48
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.84e-48
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	7.34e-43
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.27e-41
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	5.42e-41
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	5.75e-41
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.28e-40
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.08e-40
2Z73_A	N/A	6.95e-40
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	6.26e-34
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	5.27e-19
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	8.13e-16
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	2.25e-15
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	5.99e-15
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	1.05e-14
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.40e-14
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	2.06e-14
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	2.76e-14
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	3.72e-14
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	5.30e-14
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	1.27e-13
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.62e-13
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.72e-13
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.93e-13
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	2.00e-13
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.29e-13
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	2.66e-13
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	2.73e-13
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	4.92e-13
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.99e-13
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	7.56e-13
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	8.44e-13
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	9.30e-13
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	1.23e-12
2LNL_A	Chain A, C-X-C chemokine receptor type 1 [Homo sapiens]	1.72e-12
