Q25158.1	RecName: Full=Compound eye opsin BCRH2 [Hemigrapsus sanguineus]	2.24e-105
Q25157.1	RecName: Full=Compound eye opsin BCRH1 [Hemigrapsus sanguineus]	1.40e-99
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	3.88e-94
P35361.1	N/A	2.88e-93
P28679.3	N/A	5.75e-88
P08099.1	N/A	5.27e-87
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	8.08e-85
Q17292.1	N/A	2.81e-83
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	5.25e-83
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	2.55e-82
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	3.79e-82
P06002.1	N/A	2.45e-81
P28678.4	N/A	2.56e-81
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	3.44e-81
O01668.1	N/A	6.47e-81
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	6.87e-79
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.09e-78
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	1.90e-78
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	6.27e-78
Q95YI3.1	N/A	1.21e-77
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	2.17e-76
P35356.1	RecName: Full=Rhodopsin [Procambarus clarkii]	4.14e-76
P04950.1	N/A	4.55e-76
P28680.3	N/A	8.43e-75
P91657.1	N/A	5.40e-71
O61303.1	N/A	1.96e-70
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	4.03e-70
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	4.48e-69
O16018.1	RecName: Full=Rhodopsin [Cambarellus shufeldtii]	1.75e-68
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.15e-68
O18485.1	RecName: Full=Rhodopsin [Procambarus orcinus]	1.25e-67
O16019.1	RecName: Full=Rhodopsin [Orconectes virilis]	1.43e-67
O18486.1	RecName: Full=Rhodopsin [Procambarus seminolae]	5.14e-67
O18481.1	RecName: Full=Rhodopsin [Orconectes australis]	6.04e-67
O16017.1	RecName: Full=Rhodopsin [Lacunicambarus ludovicianus]	8.62e-67
O16020.1	RecName: Full=Rhodopsin [Procambarus milleri]	1.27e-66
O18312.1	RecName: Full=Rhodopsin [Cambarus hubrichti]	2.78e-66
O18315.1	RecName: Full=Rhodopsin [Cambarus maculatus]	1.93e-65
P90680.2	N/A	3.28e-65
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	4.73e-65
P29404.2	N/A	1.08e-64
P08255.2	N/A	1.57e-64
Q26495.1	RecName: Full=Opsin-2 [Schistocerca gregaria]	1.16e-63
O96107.1	RecName: Full=Opsin-3; Short=MANOP3; AltName: Full=Rhodopsin 3, short-wavelength; AltName: Full=Rhodopsin P450 [Manduca sexta]	1.49e-62
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	3.79e-60
Q5YKK9.1	N/A	7.54e-57
O57422.1	N/A	4.43e-56
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	7.25e-56
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	5.51e-55
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	1.65e-53
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.16e-53
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	4.04e-53
Q9UHM6.1	N/A	6.10e-52
Q8R456.1	N/A	1.02e-51
Q1JPS6.1	N/A	1.42e-50
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	2.20e-50
Q9QXZ9.1	N/A	5.19e-48
O35214.1	N/A	3.09e-37
O14718.1	N/A	2.38e-36
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	2.24e-35
P49912.1	N/A	7.11e-35
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	1.08e-34
P02699.1	N/A	2.68e-34
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	2.94e-34
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	3.52e-34
P41590.1	N/A	4.03e-34
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	5.40e-34
Q9YGZ6.1	RecName: Full=Rhodopsin [Chelon auratus]	8.43e-34
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	8.54e-34
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	1.10e-33
Q95KU1.1	N/A	1.59e-33
O62794.1	N/A	1.77e-33
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	1.82e-33
P15409.2	N/A	1.99e-33
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	3.23e-33
P28681.1	N/A	3.79e-33
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	4.61e-33
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	5.42e-33
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	7.30e-33
Q9YGZ7.1	RecName: Full=Rhodopsin [Chelon saliens]	9.96e-33
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	1.03e-32
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	1.11e-32
