P32310.1	N/A	1.40e-26
P28683.1	N/A	1.40e-24
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.75e-23
Q9W6A9.2	RecName: Full=Opsin-1, short-wave-sensitive 1; Short=Opsin SWS-1; AltName: Full=Ultraviolet cone photoreceptor pigment; AltName: Full=Ultraviolet-sensitive opsin [Danio rerio]	1.08e-22
O13092.1	N/A	1.65e-22
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	1.69e-22
P51490.1	N/A	3.69e-22
Q9R024.1	N/A	4.71e-22
O57605.1	N/A	4.99e-22
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	5.56e-22
O18910.2	N/A	8.27e-22
P22329.1	N/A	9.93e-22
Q9W6A5.2	N/A	1.38e-21
P03999.1	N/A	1.66e-21
P28682.1	N/A	1.79e-21
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	1.80e-21
Q8AYM7.1	N/A	1.89e-21
O35476.2	N/A	2.42e-21
O18913.2	N/A	2.49e-21
P51474.1	RecName: Full=Green-sensitive opsin-3; AltName: Full=Green cone photoreceptor pigment 3 [Psalidodon fasciatus]	3.04e-21
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	3.26e-21
O18912.2	N/A	3.28e-21
P41592.1	N/A	3.64e-21
O14718.1	N/A	3.76e-21
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	3.84e-21
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	3.88e-21
P87368.1	N/A	4.97e-21
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	5.43e-21
O35599.1	N/A	5.64e-21
P02699.1	N/A	6.60e-21
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	7.02e-21
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	1.02e-20
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	1.10e-20
P32311.1	N/A	1.22e-20
O42604.1	RecName: Full=Rhodopsin [Zeus faber]	1.28e-20
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	1.66e-20
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.86e-20
Q68J47.1	N/A	1.95e-20
P49912.1	N/A	1.95e-20
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	1.95e-20
O18914.2	N/A	2.05e-20
P51473.1	N/A	2.06e-20
P22328.1	N/A	2.08e-20
O62791.1	N/A	2.09e-20
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	2.19e-20
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	2.45e-20
P51471.1	N/A	2.59e-20
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	2.64e-20
O62794.1	N/A	2.97e-20
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	3.00e-20
Q95KU1.1	N/A	3.95e-20
