2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	6.37e-41
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	6.80e-41
2Z73_A	N/A	2.44e-40
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.17e-32
1F88_A	N/A	3.24e-32
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	3.30e-32
4BEY_A	Chain A, Rhodopsin [Bos taurus]	6.07e-32
3C9M_A	Chain A, Rhodopsin [unidentified]	6.93e-32
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	7.06e-32
6QNO_R	Chain R, Rhodopsin [Bos taurus]	9.40e-32
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	9.58e-32
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.06e-31
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.12e-31
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.34e-31
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.36e-31
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.73e-29
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	7.88e-26
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	7.95e-26
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	8.03e-26
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	8.18e-26
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	1.36e-22
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.63e-22
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	2.85e-21
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	6.44e-21
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	4.03e-20
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	4.52e-20
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	4.89e-20
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	4.98e-20
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	7.62e-20
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	7.64e-20
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.55e-19
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	4.04e-19
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	4.61e-19
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	8.87e-19
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.15e-18
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	1.16e-18
