XP_009048325.1	hypothetical protein LOTGIDRAFT_140119, partial [Lottia gigantea]	4.48e-34
XP_033001490.1	opsin-5-like [Lacerta agilis]	1.72e-31
XP_032791760.1	opsin-5-like [Daphnia magna]	2.34e-31
XP_007887943.1	PREDICTED: pinopsin-like [Callorhinchus milii]	7.08e-30
XP_026050922.1	opsin-5-like [Carassius auratus]	1.06e-29
XP_035176557.1	opsin-5-like [Oxyura jamaicensis]	1.52e-29
XP_028577710.1	opsin-5-like [Podarcis muralis]	1.76e-29
XP_028572558.1	opsin-5-like [Podarcis muralis]	1.88e-29
XP_005013003.2	opsin-5 [Anas platyrhynchos]	2.12e-29
XP_028577709.1	opsin-5-like [Podarcis muralis]	2.33e-29
XP_005425018.1	opsin-5-like [Geospiza fortis]	2.53e-29
XP_033873901.2	opsin-5-like [Acipenser ruthenus]	3.04e-29
XP_018976187.1	PREDICTED: opsin-5-like [Cyprinus carpio]	3.05e-29
XP_028577708.1	opsin-5-like [Podarcis muralis]	5.35e-29
XP_031553964.1	melanopsin-like [Actinia tenebrosa]	1.02e-28
XP_013039884.1	PREDICTED: opsin-5-like [Anser cygnoides domesticus]	1.16e-28
XP_030800641.1	opsin-5-like [Camarhynchus parvulus]	1.22e-28
XP_010192053.1	PREDICTED: opsin-5 [Mesitornis unicolor]	1.44e-28
XP_005490445.2	opsin-5 [Zonotrichia albicollis]	1.70e-28
XP_013400870.1	visual pigment-like receptor peropsin [Lingula anatina]	2.03e-28
XP_018425859.1	PREDICTED: opsin-5-like [Nanorana parkeri]	2.56e-28
XP_026793806.1	teleost multiple tissue opsin b isoform X1 [Pangasianodon hypophthalmus]	3.70e-28
XP_010775483.1	PREDICTED: pinopsin-like [Notothenia coriiceps]	3.82e-28
XP_009947346.1	PREDICTED: opsin-5-like [Leptosomus discolor]	3.97e-28
XP_026701420.1	opsin-5-like isoform X2 [Athene cunicularia]	4.15e-28
XP_009701745.1	PREDICTED: LOW QUALITY PROTEIN: opsin-5 [Cariama cristata]	5.05e-28
XP_021382925.1	opsin-5 [Lonchura striata domestica]	5.22e-28
XP_016086352.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	6.51e-28
XP_018941590.1	PREDICTED: opsin-5-like [Cyprinus carpio]	6.71e-28
XP_009936498.1	PREDICTED: opsin-5-like [Opisthocomus hoazin]	7.26e-28
XP_009903596.1	PREDICTED: opsin-5-like [Picoides pubescens]	7.57e-28
XP_004915005.1	opsin-5 [Xenopus tropicalis]	8.43e-28
XP_009872171.1	PREDICTED: opsin-5-like [Apaloderma vittatum]	8.66e-28
XP_028652099.1	opsin-5-like [Erpetoichthys calabaricus]	9.26e-28
XP_026701419.1	opsin-5-like isoform X1 [Athene cunicularia]	9.37e-28
XP_025949649.1	opsin-5-like [Dromaius novaehollandiae]	1.01e-27
XP_025899380.1	opsin-5-like [Nothoprocta perdicaria]	1.11e-27
XP_016329734.1	PREDICTED: opsin-5-like [Sinocyclocheilus anshuiensis]	1.13e-27
XP_013803769.1	PREDICTED: opsin-5-like [Apteryx mantelli mantelli]	1.13e-27
