6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	4.99e-127
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.03e-59
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.67e-59
2Z73_A	N/A	1.83e-58
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.99e-39
2X72_A	Chain A, Rhodopsin [Bos taurus]	6.18e-39
4BEY_A	Chain A, Rhodopsin [Bos taurus]	7.93e-39
3C9M_A	Chain A, Rhodopsin [unidentified]	8.27e-39
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	8.44e-39
1F88_A	N/A	9.76e-39
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	9.97e-39
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.27e-38
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.29e-38
6FK6_A	Chain A, Rhodopsin [Bos taurus]	3.10e-37
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.34e-37
6FUF_A	Chain A, Rhodopsin [Bos taurus]	3.95e-36
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	8.93e-33
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.17e-32
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.14e-32
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	5.22e-32
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.80e-21
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	3.93e-21
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	5.25e-19
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	1.66e-18
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.95e-18
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.95e-18
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	8.37e-18
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.65e-16
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	8.78e-16
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	4.52e-15
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	1.48e-14
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	2.83e-14
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.26e-14
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	4.39e-14
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	5.07e-14
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	5.40e-14
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	7.16e-14
5TUD_A	Chain A, 5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera [Homo sapiens]	7.37e-14
4IB4_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	7.40e-14
6DRX_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	8.83e-14
6DRY_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	9.11e-14
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.31e-13
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	1.53e-13
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.92e-13
6DRZ_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	2.11e-13
6LI2_A	Chain A, Chimera of G-protein coupled receptor 52 and Rubredoxin [Homo sapiens]	2.20e-13
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	4.59e-13
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	4.66e-13
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	5.29e-13
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	5.61e-13
5TVN_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	1.38e-12
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.77e-12
6C1Q_B	Chain B, Soluble cytochrome b562, C5a anaphylatoxin chemotactic receptor 1 chimera [Escherichia coli]	2.01e-12
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	4.13e-12
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	5.18e-12
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	5.93e-12
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	7.77e-12
6A93_A	Chain A, 5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 [Homo sapiens]	1.73e-11
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.46e-11
6LI0_A	Chain A, Chimera of G-protein coupled receptor 52 and Flavodoxin [Homo sapiens]	4.02e-11
6LI1_A	Chain A, Chimera of G-protein coupled receptor 52 and Flavodoxin [Homo sapiens]	4.47e-11
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	5.67e-11
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	1.18e-10
5N2S_A	Chain A, Soluble cytochrome b562,Adenosine receptor A1 [Escherichia coli]	1.19e-10
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	1.21e-10
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.32e-10
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.39e-10
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.73e-10
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	3.63e-10
5O9H_A	Chain A, C5a anaphylatoxin chemotactic receptor 1 [Homo sapiens]	4.67e-10
3PBL_A	Chain A, D(3) dopamine receptor, Lysozyme chimera [Homo sapiens]	1.46e-09
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	3.78e-09
5XSZ_A	Chain A, Lysophosphatidic acid receptor 6a,Endolysin,Lysophosphatidic acid receptor 6a [Danio rerio]	4.13e-09
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	5.30e-09
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	1.41e-08
3D4S_A	Chain A, Beta-2 adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	1.67e-08
6PRZ_A	Chain A, Fusion protein of Beta-2 adrenergic receptor and T4 Lysozyme [Homo sapiens]	2.04e-08
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	2.98e-08
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	3.00e-08
6D9H_R	Chain R, Chimera protein of Muscarinic acetylcholine receptor M4 and Adenosine receptor A1 [Homo sapiens]	7.50e-08
6GPS_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	7.60e-08
5VBL_B	Chain B, Apelin receptor,Rubredoxin,Apelin receptor Chimera [Homo sapiens]	9.01e-08
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	1.46e-07
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	1.70e-07
5UIW_A	Chain A, C-C chemokine receptor type 5,Rubredoxin chimera [Homo sapiens]	2.40e-07
6GPX_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	3.24e-07
6QZH_A	Chain A, C-C chemokine receptor type 7,Sialidase A,C-C chemokine receptor type 7 [Homo sapiens]	5.12e-07
2RH1_A	Chain A, beta-2-adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	5.62e-07
3P0G_A	Chain A, Beta-2 adrenergic receptor, Lysozyme [Escherichia virus T4]	5.93e-07
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	5.94e-07
6J21_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	7.15e-07
3PDS_A	Chain A, Fusion protein Beta-2 adrenergic receptor/Lysozyme [Homo sapiens]	7.66e-07
5GLH_A	Chain A, Endothelin Receptor Subtype-B [Homo sapiens]	1.37e-06
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.65e-06
6LRY_A	Chain A, Endothelin receptor type B,Endolysin,Endothelin receptor type B [Homo sapiens]	1.70e-06
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	1.87e-06
5GLI_A	Chain A, Endothelin Receptor Subtype-B [Homo sapiens]	2.10e-06
6J20_A	Chain A, Substance-P receptor,Endolysin [Homo sapiens]	2.61e-06
6LW5_A	Chain A, Soluble cytochrome b562,N-formyl peptide receptor 2 [Escherichia coli]	2.79e-06
5XPR_A	Chain A, Endothelin B receptor,Endolysin,Endothelin B receptor [Homo sapiens]	2.94e-06
4XNV_A	Chain A, P2Y purinoceptor 1, Rubredoxin, P2Y purinoceptor 1 [Homo sapiens]	3.44e-06
6OMM_R	Chain R, N-formyl peptide receptor 2 [Homo sapiens]	3.73e-06
6KUW_A	Chain A, Alpha-2C adrenergic receptor [Homo sapiens]	3.74e-06
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	4.40e-06
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	4.46e-06
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	4.75e-06
4S0V_A	Chain A, Human Orexin receptor type 2 fusion protein to P. abysii Glycogen Synthase [Homo sapiens]	4.85e-06
5WQC_A	Chain A, Orexin receptor type 2,GlgA glycogen synthase,Orexin receptor type 2 [Homo sapiens]	5.07e-06
4MBS_A	Chain A, Chimera protein of C-C chemokine receptor type 5 and Rubredoxin [Homo sapiens]	6.68e-06
5T1A_A	Chain A, Chimera protein of CC chemokine receptor type 2 isoform B and T4-lysozyme,Lysozyme [Homo sapiens]	7.79e-06
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	7.85e-06
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	9.18e-06
4DAJ_A	Chain A, Muscarinic acetylcholine receptor M3, Lysozyme [Rattus norvegicus]	9.59e-06
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	1.17e-05
