AGB67490.1	c-like opsin [Tripedalia cystophora]	0.0
AGB67497.1	c-like opsin, partial [Tripedalia cystophora]	4.84e-87
AGB67493.1	c-like opsin [Tripedalia cystophora]	1.08e-83
QBL02615.1	opsin-like GPCR, partial [Tripedalia cystophora]	1.38e-42
AGB67501.1	c-like opsin [Tripedalia cystophora]	2.01e-42
XP_029207997.1	melanopsin-A-like [Acropora millepora]	2.12e-38
XP_015766789.1	PREDICTED: melanopsin-A-like [Acropora digitifera]	2.31e-38
BAG80696.1	opsin [Carybdea rastonii]	4.27e-38
AGB67503.1	c-like opsin [Tripedalia cystophora]	1.17e-37
AGB67495.1	c-like opsin [Tripedalia cystophora]	6.99e-37
XP_033748186.1	visual pigment-like receptor peropsin [Pecten maximus]	1.10e-36
XP_011421213.1	melanopsin-B-like [Crassostrea gigas]	6.44e-36
AHZ63731.1	lens eye opsin, partial [Tripedalia cystophora]	1.57e-34
AGB67492.1	c-like opsin [Tripedalia cystophora]	1.60e-34
AGB67502.1	c-like opsin [Tripedalia cystophora]	2.42e-34
XP_027056926.1	melanopsin-B-like [Pocillopora damicornis]	4.65e-34
RMX57919.1	hypothetical protein pdam_00006692 [Pocillopora damicornis]	7.04e-34
XP_027040654.1	melanopsin-like [Pocillopora damicornis]	9.73e-34
XP_009053448.1	hypothetical protein LOTGIDRAFT_64356, partial [Lottia gigantea]	1.19e-33
DAC74067.1	TPA_exp: C-type opsin [Branchiostoma belcheri]	3.52e-33
AGB67500.1	c-like opsin [Tripedalia cystophora]	3.57e-33
XP_022335213.1	visual pigment-like receptor peropsin isoform X1 [Crassostrea virginica]	1.12e-32
XP_019647874.1	PREDICTED: pinopsin-like [Branchiostoma belcheri]	1.25e-32
OXB66791.1	hypothetical protein ASZ78_015131 [Callipepla squamata]	1.91e-32
AGB67496.1	c-like opsin [Tripedalia cystophora]	1.96e-32
XP_021358189.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	1.98e-32
XP_027043383.1	melanopsin-B-like [Pocillopora damicornis]	2.31e-32
XP_022791650.1	melanopsin-A-like [Stylophora pistillata]	2.45e-32
XP_020610780.1	melanopsin-like [Orbicella faveolata]	2.93e-32
RMX46398.1	hypothetical protein pdam_00000629 [Pocillopora damicornis]	3.81e-32
PFX25033.1	Melanopsin-A [Stylophora pistillata]	4.34e-32
XP_021368658.1	rhodopsin-like [Mizuhopecten yessoensis]	4.43e-32
XP_020913977.1	rhodopsin [Exaiptasia pallida]	5.61e-32
XP_018655261.1	putative opsin-like receptor [Schistosoma mansoni]	7.35e-32
XP_013068875.1	PREDICTED: melanopsin-like [Biomphalaria glabrata]	8.99e-32
QBL02613.1	opsin-like GPCR [Tripedalia cystophora]	1.20e-31
XP_035255545.1	opsin-3 [Anguilla anguilla]	1.31e-31
XP_007892106.1	PREDICTED: opsin-3 [Callorhinchus milii]	1.33e-31
ASM47592.1	xenopsin2 [Owenia fusiformis]	1.50e-31
XP_022782125.1	melanopsin-like [Stylophora pistillata]	1.62e-31
XP_020610778.1	melanopsin-B-like [Orbicella faveolata]	1.80e-31
XP_020629279.1	melanopsin-A-like [Orbicella faveolata]	1.95e-31
XP_026869951.1	opsin-3 [Electrophorus electricus]	2.41e-31
XP_006638720.1	PREDICTED: opsin-3 [Lepisosteus oculatus]	2.51e-31
XP_033727976.1	opsin-3-like [Pecten maximus]	3.44e-31
APB88017.1	xenopsin [Argopecten irradians]	3.86e-31
XP_022792205.1	melanopsin-like [Stylophora pistillata]	3.87e-31
ADZ24786.1	ciliary opsin [Terebratalia transversa]	5.15e-31
XP_012735693.1	parapinopsin-like [Fundulus heteroclitus]	5.33e-31
BAJ22674.1	peropsin [Hasarius adansoni]	5.47e-31
XP_023275009.1	melanopsin-like, partial [Seriola lalandi dorsalis]	6.02e-31
ASM47594.1	xenopsin [Leptochiton asellus]	6.93e-31
XP_016417245.1	PREDICTED: opsin-3-like [Sinocyclocheilus rhinocerous]	8.74e-31
XP_030235202.1	opsin-3 [Gadus morhua]	8.86e-31
ERE91210.1	LIM domain-binding protein 3 isoform 2 [Cricetulus griseus]	9.89e-31
ERE91209.1	LIM domain-binding protein 3 isoform 2 [Cricetulus griseus]	9.89e-31
XP_027049417.1	melanopsin-like [Pocillopora damicornis]	1.00e-30
XP_010790542.1	PREDICTED: parapinopsin-like [Notothenia coriiceps]	1.41e-30
XP_020508939.1	opsin-3 [Labrus bergylta]	1.47e-30
XP_025107396.1	visual pigment-like receptor peropsin isoform X1 [Pomacea canaliculata]	1.59e-30
XP_016311986.1	PREDICTED: opsin-3-like [Sinocyclocheilus anshuiensis]	1.65e-30
XP_033485928.1	parapinopsin a [Epinephelus lanceolatus]	1.88e-30
XP_022781140.1	melanopsin-B-like [Stylophora pistillata]	2.07e-30
XP_016085611.1	PREDICTED: opsin-3-like [Sinocyclocheilus grahami]	2.42e-30
XP_004068632.3	parapinopsin-like isoform X1 [Oryzias latipes]	2.45e-30
APB88016.1	xenopsin [Argopecten irradians]	2.45e-30
XP_020335506.1	opsin-3 [Oncorhynchus kisutch]	2.63e-30
XP_017319608.1	PREDICTED: opsin-3 [Ictalurus punctatus]	2.87e-30
XP_004567849.1	parapinopsin-like [Maylandia zebra]	3.39e-30
XP_032299662.1	opsin-3 [Coturnix japonica]	3.46e-30
XP_426139.2	opsin-3 [Gallus gallus]	3.68e-30
XP_029525648.1	opsin-3-like isoform X1 [Oncorhynchus nerka]	4.18e-30
XP_021248229.1	opsin-3 [Numida meleagris]	4.33e-30
XP_021463464.1	opsin-3-like [Oncorhynchus mykiss]	4.35e-30
RVE73220.1	hypothetical protein OJAV_G00048010 [Oryzias javanicus]	4.53e-30
OXB80326.1	hypothetical protein H355_013724 [Colinus virginianus]	4.56e-30
XP_031448269.1	opsin-3 [Phasianus colchicus]	4.56e-30
XP_026133802.1	opsin-3-like isoform X1 [Carassius auratus]	4.76e-30
XP_023264799.1	melanopsin-like [Seriola lalandi dorsalis]	5.70e-30
XP_014840305.1	PREDICTED: parapinopsin-like isoform X1 [Poecilia mexicana]	6.47e-30
XP_020558738.1	parapinopsin-like isoform X2 [Oryzias latipes]	7.04e-30
XP_029553920.1	opsin-3-like [Salmo trutta]	7.61e-30
XP_024281151.1	opsin-3-like [Oncorhynchus tshawytscha]	7.97e-30
XP_008301584.1	PREDICTED: parapinopsin-like [Stegastes partitus]	8.22e-30
XP_029909374.1	vertebrate ancient opsin-like [Myripristis murdjan]	8.34e-30
XP_031339966.1	pinopsin-like [Photinus pyralis]	8.51e-30
XP_013088307.1	PREDICTED: parapinopsin-like [Biomphalaria glabrata]	8.93e-30
BAL63415.1	parietopsin [Danio rerio]	1.03e-29
XP_033732128.1	rhodopsin-like [Pecten maximus]	1.04e-29
XP_010705129.2	opsin-3, partial [Meleagris gallopavo]	1.14e-29
ASM47591.1	xenopsin1 [Owenia fusiformis]	1.22e-29
XP_029953174.1	vertebrate ancient opsin-like [Salarias fasciatus]	1.22e-29
NP_001104634.1	opsin-3 [Danio rerio]	1.29e-29
KAF4106065.1	hypothetical protein G5714_013727 [Onychostoma macrolepis]	1.35e-29
XP_029609021.1	opsin-3-like isoform X1 [Salmo trutta]	1.42e-29
XP_026113727.1	opsin-3-like [Carassius auratus]	1.42e-29
VDP38064.1	unnamed protein product [Schistosoma curassoni]	1.43e-29
XP_015920587.1	visual pigment-like receptor peropsin isoform X1 [Parasteatoda tepidariorum]	1.44e-29
XP_024126315.1	parapinopsin-like [Oryzias melastigma]	1.50e-29
QHA94769.1	xenopsin 1 isoform 1 [Sepia officinalis]	1.51e-29
AGB67499.1	c-like opsin [Tripedalia cystophora]	1.52e-29
XP_014009697.1	PREDICTED: opsin-3-like [Salmo salar]	1.55e-29
XP_014056280.1	PREDICTED: opsin-3-like [Salmo salar]	1.69e-29
XP_018969697.1	PREDICTED: LOW QUALITY PROTEIN: opsin-3-like [Cyprinus carpio]	1.73e-29
XP_021436199.1	pinopsin-like, partial [Oncorhynchus mykiss]	1.75e-29
XP_033823428.1	parietopsin [Periophthalmus magnuspinnatus]	1.78e-29
XP_023863298.1	opsin-3-like [Salvelinus alpinus]	1.87e-29
KTG40821.1	hypothetical protein cypCar_00011876 [Cyprinus carpio]	2.04e-29
AAF73286.1	RHO G-protein coupled receptor [Schistosoma mansoni]	2.04e-29
XP_022318649.1	rhodopsin, GQ-coupled-like [Crassostrea virginica]	2.05e-29
XP_027857582.1	parapinopsin-like [Xiphophorus couchianus]	2.19e-29
BBH84660.1	Xenopsin [Ambigolimax valentianus]	2.22e-29
BAR90773.1	ciliary opsin, partial [Idiosepius paradoxus]	2.27e-29
XP_012800935.1	Rhodopsin [Schistosoma haematobium]	2.29e-29
XP_028283426.1	melanopsin-like [Parambassis ranga]	2.31e-29
XP_013419317.1	visual pigment-like receptor peropsin [Lingula anatina]	2.50e-29
AWP14367.1	putative opsin-3 [Scophthalmus maximus]	2.58e-29
TRY99282.1	hypothetical protein DNTS_022830 [Danionella translucida]	2.67e-29
XP_007552764.1	PREDICTED: parapinopsin-like [Poecilia formosa]	2.75e-29
XP_023131170.1	parapinopsin-like [Amphiprion ocellaris]	3.02e-29
XP_017349407.1	PREDICTED: opsin-VA-like [Ictalurus punctatus]	3.12e-29
XP_024262600.1	pinopsin-like [Oncorhynchus tshawytscha]	3.12e-29
XP_013382905.1	rhodopsin, GQ-coupled [Lingula anatina]	3.13e-29
XP_022792232.1	rhodopsin, G0-coupled-like [Stylophora pistillata]	3.20e-29
DAC74046.1	TPA_exp: C-type opsin [Branchiostoma floridae]	3.29e-29
XP_032405111.1	parapinopsin-like [Xiphophorus hellerii]	3.30e-29
XP_007258763.2	opsin-3 [Astyanax mexicanus]	3.33e-29
NP_001315086.1	parietopsin [Danio rerio]	3.43e-29
RXN10478.1	opsin-3 [Labeo rohita]	3.43e-29
VDO62372.1	unnamed protein product [Schistosoma margrebowiei]	3.48e-29
XP_027040672.1	rhodopsin, G0-coupled-like [Pocillopora damicornis]	3.55e-29
XP_012717811.1	opsin-3 [Fundulus heteroclitus]	3.55e-29
XP_010560907.1	PREDICTED: opsin-3 [Haliaeetus leucocephalus]	3.72e-29
XP_016135245.1	PREDICTED: parapinopsin-like [Sinocyclocheilus grahami]	3.74e-29
XP_032241746.1	visual pigment-like receptor peropsin isoform X2 [Nematostella vectensis]	3.86e-29
XP_014842943.1	PREDICTED: parapinopsin-like [Poecilia mexicana]	4.02e-29
XP_017571286.1	PREDICTED: opsin-3 [Pygocentrus nattereri]	4.12e-29
XP_032241745.1	visual pigment-like receptor peropsin isoform X1 [Nematostella vectensis]	4.13e-29
XP_014888838.1	PREDICTED: parapinopsin-like isoform X1 [Poecilia latipinna]	4.27e-29
KFR12672.1	Melanopsin, partial [Opisthocomus hoazin]	4.45e-29
XP_034063402.1	parapinopsin a isoform X2 [Gymnodraco acuticeps]	4.47e-29
KFQ72234.1	Melanopsin, partial [Phaethon lepturus]	4.49e-29
XP_008410053.1	PREDICTED: parapinopsin-like [Poecilia reticulata]	4.62e-29
KAF1498994.1	Melanopsin, partial [Eudyptula minor]	4.63e-29
XP_020311552.2	pinopsin-like [Oncorhynchus kisutch]	4.73e-29
KFR08610.1	Melanopsin, partial [Nipponia nippon]	4.83e-29
XP_033977865.1	opsin-3 [Trematomus bernacchii]	4.85e-29
XP_002589210.1	hypothetical protein BRAFLDRAFT_74631 [Branchiostoma floridae]	4.88e-29
XP_029291918.1	parapinopsin-like [Cottoperca gobio]	4.92e-29
XP_029935789.1	pinopsin-like [Myripristis murdjan]	5.03e-29
XP_027056920.1	melanopsin-B-like [Pocillopora damicornis]	5.06e-29
XP_007541884.1	PREDICTED: parapinopsin-like isoform X1 [Poecilia formosa]	5.36e-29
KTG48021.1	hypothetical protein cypCar_00004165 [Cyprinus carpio]	5.43e-29
XP_033943391.1	parapinopsin-like [Pseudochaenichthys georgianus]	5.56e-29
KFP80225.1	Melanopsin, partial [Acanthisitta chloris]	5.65e-29
XP_034001264.1	parapinopsin a [Trematomus bernacchii]	6.17e-29
XP_029500574.1	pinopsin-like [Oncorhynchus nerka]	6.20e-29
XP_026031282.1	parapinopsin-like [Astatotilapia calliptera]	6.24e-29
XP_019405346.1	PREDICTED: opsin-3 [Crocodylus porosus]	6.36e-29
XP_029197859.1	melanopsin-A-like [Acropora millepora]	6.43e-29
KFP28672.1	Melanopsin, partial [Colius striatus]	6.52e-29
XP_028394343.1	melanopsin-like [Dendronephthya gigantea]	6.58e-29
AFQ55896.1	c-like opsin 3 [Branchiostoma floridae]	6.65e-29
NWH55497.1	OPN4 protein [Fregata magnificens]	6.82e-29
OWF48091.1	Visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	6.92e-29
XP_028648093.1	pinopsin-like [Erpetoichthys calabaricus]	7.05e-29
XP_032396941.1	opsin-3 [Etheostoma spectabile]	7.10e-29
XP_004548917.3	parapinopsin-like [Maylandia zebra]	7.35e-29
XP_020610779.1	melanopsin-B-like [Orbicella faveolata]	7.41e-29
