1F88_A	N/A	5.55e-38
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	5.67e-38
3C9M_A	Chain A, Rhodopsin [unidentified]	1.28e-37
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.29e-37
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.30e-37
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.38e-37
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.53e-37
5DYS_A	Chain A, Rhodopsin [Bos taurus]	5.13e-37
6FUF_A	Chain A, Rhodopsin [Bos taurus]	5.92e-37
4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.12e-36
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.24e-36
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.26e-36
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.12e-30
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	8.41e-30
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	8.49e-30
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	8.65e-30
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.00e-27
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.15e-27
2Z73_A	N/A	4.86e-27
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	5.41e-19
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	3.47e-18
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	3.17e-13
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	3.23e-13
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	3.35e-13
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	5.23e-13
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	8.69e-13
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.46e-12
6LW5_A	Chain A, Soluble cytochrome b562,N-formyl peptide receptor 2 [Escherichia coli]	3.83e-12
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	5.25e-12
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	3.09e-11
6OMM_R	Chain R, N-formyl peptide receptor 2 [Homo sapiens]	3.26e-11
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	4.48e-11
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	5.07e-11
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	5.47e-11
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	6.66e-11
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	1.23e-10
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.32e-10
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	1.48e-10
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	2.59e-10
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	7.80e-10
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	9.64e-10
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.21e-09
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.65e-09
2LNL_A	Chain A, C-X-C chemokine receptor type 1 [Homo sapiens]	2.78e-08
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	7.62e-08
3PBL_A	Chain A, D(3) dopamine receptor, Lysozyme chimera [Homo sapiens]	8.22e-08
3PBL_A	Chain A, D(3) dopamine receptor, Lysozyme chimera [Homo sapiens]	1.48e-05
6IQL_A	Chain A, D(4) dopamine receptor,Soluble cytochrome b562,D(4) dopamine receptor [Mus musculus]	1.82e-07
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	2.10e-07
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.57e-07
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	3.34e-07
5O9H_A	Chain A, C5a anaphylatoxin chemotactic receptor 1 [Homo sapiens]	3.69e-07
5YHL_A	Chain A, Prostaglandin E2 receptor EP4 subtype [Homo sapiens]	3.88e-07
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	5.15e-07
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	8.98e-07
