XP_009060307.1	hypothetical protein LOTGIDRAFT_154374 [Lottia gigantea]	0.0
XP_025113272.1	visual pigment-like receptor peropsin [Pomacea canaliculata]	2.07e-81
XP_005094221.2	PREDICTED: retinochrome-like [Aplysia californica]	1.64e-78
XP_013096913.1	PREDICTED: retinochrome-like [Biomphalaria glabrata]	3.92e-72
BAR90769.1	retinochrome [Nautilus pompilius]	3.33e-70
BBH84663.1	retinochrome [Ambigolimax valentianus]	3.94e-67
APF30603.1	opsin [Stenoplax conspicua]	9.12e-67
APF30602.1	opsin [Chiton virgulatus]	9.43e-65
PVD38370.1	hypothetical protein C0Q70_00984 [Pomacea canaliculata]	5.54e-59
XP_033733839.1	visual pigment-like receptor peropsin isoform X1 [Pecten maximus]	8.92e-56
XP_011438181.2	visual pigment-like receptor peropsin [Crassostrea gigas]	1.99e-55
APB88020.1	retinochrome [Argopecten irradians]	3.70e-54
XP_022317074.1	visual pigment-like receptor peropsin [Crassostrea virginica]	1.11e-53
XP_021349313.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	2.09e-53
BAJ22674.1	peropsin [Hasarius adansoni]	2.17e-53
AMP19653.1	peropsin [Euphausia superba]	5.73e-51
DAC74057.1	TPA_exp: peropsin [Branchiostoma floridae]	4.72e-50
AWU78806.1	peropsin [Branchiostoma lanceolatum]	7.58e-49
BAC76023.1	opsin [Branchiostoma belcheri]	1.68e-48
XP_033991188.1	visual pigment-like receptor peropsin [Trematomus bernacchii]	1.83e-48
RUS89700.1	hypothetical protein EGW08_002518, partial [Elysia chlorotica]	3.36e-48
XP_019744377.1	PREDICTED: visual pigment-like receptor peropsin isoform X1 [Hippocampus comes]	6.06e-48
XP_033733846.1	visual pigment-like receptor peropsin isoform X2 [Pecten maximus]	1.01e-47
XP_033967764.1	visual pigment-like receptor peropsin [Pseudochaenichthys georgianus]	4.33e-47
XP_035273317.1	visual pigment-like receptor peropsin [Anguilla anguilla]	5.28e-47
BBI55004.1	peropsin [Anguilla japonica]	5.93e-47
XP_028822134.1	visual pigment-like receptor peropsin [Denticeps clupeoides]	9.22e-47
XP_015920587.1	visual pigment-like receptor peropsin isoform X1 [Parasteatoda tepidariorum]	1.73e-46
XP_014066098.1	PREDICTED: visual pigment-like receptor peropsin [Salmo salar]	3.37e-46
