O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	2.71e-54
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	2.95e-54
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	3.63e-51
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.13e-49
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	4.10e-49
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	1.66e-48
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	2.12e-47
P08255.2	N/A	8.64e-46
P29404.2	N/A	2.12e-45
Q5YKK9.1	N/A	1.92e-44
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	2.64e-44
Q8R456.1	N/A	5.01e-44
Q1JPS6.1	N/A	5.33e-44
P17646.2	RecName: Full=Opsin Rh4; AltName: Full=Inner R7 photoreceptor cells opsin [Drosophila virilis]	6.92e-44
Q9UHM6.1	N/A	1.48e-43
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.61e-43
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	2.85e-43
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	1.31e-42
O02465.2	RecName: Full=Opsin-2; Short=MANOP2; AltName: Full=Rhodopsin 2, short-wavelength; AltName: Full=Rhodopsin P357 [Manduca sexta]	2.01e-42
P04950.1	N/A	5.10e-42
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	9.57e-42
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	1.30e-41
P28680.3	N/A	1.79e-41
