XP_011604229.2	opsin-5-like [Takifugu rubripes]	0.0
XP_029688274.1	opsin-5-like [Takifugu rubripes]	0.0
XP_018538269.1	PREDICTED: pinopsin-like [Lates calcarifer]	0.0
XP_023282088.1	opsin-5-like [Seriola lalandi dorsalis]	0.0
XP_022612273.1	opsin-5-like [Seriola dumerili]	0.0
XP_031708940.1	opsin-5-like [Anarrhichthys ocellatus]	0.0
XP_028436557.1	opsin-5-like [Perca flavescens]	0.0
XP_030249899.1	opsin-5-like isoform X1 [Sparus aurata]	0.0
XP_030249900.1	opsin-5-like isoform X2 [Sparus aurata]	0.0
XP_033496946.1	opsin 9 [Epinephelus lanceolatus]	0.0
XP_034410244.1	opsin 9 [Cyclopterus lumpus]	0.0
XP_028281095.1	opsin-5-like [Parambassis ranga]	2.84e-180
XP_034553238.1	opsin 9 [Notolabrus celidotus]	2.75e-174
XP_023119534.1	opsin-5-like [Amphiprion ocellaris]	5.12e-172
XP_022070553.1	opsin-5-like [Acanthochromis polyacanthus]	2.74e-171
XP_029927987.1	opsin-5-like [Myripristis murdjan]	2.37e-169
XP_020511416.1	opsin-5-like [Labrus bergylta]	5.07e-169
XP_034074811.1	opsin 9 [Gymnodraco acuticeps]	8.22e-169
XP_034729489.1	opsin 9 [Etheostoma cragini]	1.59e-168
XP_033959334.1	opsin 9 [Pseudochaenichthys georgianus]	9.15e-167
XP_032373867.1	opsin-5-like [Etheostoma spectabile]	1.04e-164
XP_034001577.1	opsin 9 [Trematomus bernacchii]	2.56e-164
XP_031643077.1	melanopsin-B-like [Oncorhynchus kisutch]	5.56e-157
XP_031432091.1	opsin-5-like [Clupea harengus]	6.42e-157
XP_030641334.1	uncharacterized protein LOC115821667 [Chanos chanos]	2.66e-156
XP_024241104.1	melanopsin-B-like [Oncorhynchus tshawytscha]	7.09e-156
XP_021479043.1	melanopsin-B-like [Oncorhynchus mykiss]	6.25e-155
XP_029602795.1	chemokine-like receptor 1 [Salmo trutta]	7.62e-155
XP_014010035.1	PREDICTED: chemokine-like receptor 1 isoform X3 [Salmo salar]	8.68e-155
XP_010883303.3	opsin 9 isoform X1 [Esox lucius]	8.73e-155
XP_014010025.1	PREDICTED: pineal opsin-like isoform X2 [Salmo salar]	1.58e-154
XP_014010014.1	PREDICTED: uncharacterized protein LOC106576962 isoform X1 [Salmo salar]	2.79e-154
XP_016143046.1	PREDICTED: chemokine-like receptor 1 isoform X1 [Sinocyclocheilus grahami]	3.08e-152
XP_016337738.1	PREDICTED: chemokine-like receptor 1 isoform X1 [Sinocyclocheilus anshuiensis]	1.64e-151
XP_019896523.2	opsin 9 isoform X2 [Esox lucius]	1.17e-150
XP_026140055.1	neuropeptide Y receptor type 2-like [Carassius auratus]	2.74e-150
XP_028836840.1	opsin-5-like [Denticeps clupeoides]	9.32e-150
XP_016356856.1	PREDICTED: neuropeptide Y receptor type 2-like [Sinocyclocheilus anshuiensis]	5.32e-149
XP_018592857.2	opsin-5-like isoform X1 [Scleropages formosus]	3.91e-146
NP_001304680.1	opsin 9 [Danio rerio]	3.10e-142
XP_030227392.1	opsin-5-like [Gadus morhua]	2.97e-138
XP_020783782.1	opsin-5-like [Boleophthalmus pectinirostris]	2.43e-136
XP_015193329.1	PREDICTED: opsin-5-like [Lepisosteus oculatus]	1.38e-134
XP_017555982.1	PREDICTED: uncharacterized protein LOC108429034 [Pygocentrus nattereri]	6.68e-134
XP_031431952.1	opsin-5-like [Clupea harengus]	3.11e-133
XP_033837453.1	opsin 9 [Periophthalmus magnuspinnatus]	2.42e-129
XP_023864273.1	uncharacterized protein LOC111978440 [Salvelinus alpinus]	1.05e-125
XP_016337740.1	PREDICTED: uncharacterized protein LOC107685604 isoform X2 [Sinocyclocheilus anshuiensis]	1.33e-111
XP_016143048.1	PREDICTED: uncharacterized protein LOC107596762 isoform X2 [Sinocyclocheilus grahami]	2.17e-110
XP_016414020.1	PREDICTED: opsin Rh2-like [Sinocyclocheilus rhinocerous]	1.67e-104
XP_008290925.1	PREDICTED: opsin-5-like [Stegastes partitus]	3.73e-104
XP_022529076.1	uncharacterized protein LOC103040328 [Astyanax mexicanus]	3.95e-101
XP_016419673.1	PREDICTED: uncharacterized protein LOC107749110 [Sinocyclocheilus rhinocerous]	1.57e-97
XP_028665302.1	opsin-5-like [Erpetoichthys calabaricus]	3.17e-95
XP_034760567.1	LOW QUALITY PROTEIN: opsin-5 [Acipenser ruthenus]	2.97e-94
XP_024275286.1	opsin-5-like [Oncorhynchus tshawytscha]	3.10e-88
XP_016087651.1	PREDICTED: uncharacterized protein LOC107550785 [Sinocyclocheilus grahami]	8.50e-84
XP_029534954.1	uncharacterized protein LOC115140769, partial [Oncorhynchus nerka]	1.99e-82
XP_018592877.2	uncharacterized protein LOC108925430 isoform X2 [Scleropages formosus]	7.08e-81
XP_018426584.1	PREDICTED: opsin-5 [Nanorana parkeri]	9.75e-80
XP_029537415.1	parapinopsin-like, partial [Oncorhynchus nerka]	1.08e-76
XP_018975305.1	PREDICTED: visual pigment-like receptor peropsin [Cyprinus carpio]	6.30e-76
XP_018975305.1	PREDICTED: visual pigment-like receptor peropsin [Cyprinus carpio]	2.96e-08
XP_002936036.1	opsin-5 [Xenopus tropicalis]	3.03e-75
NP_001182522.1	opsin 5 L homeolog [Xenopus laevis]	5.31e-75
XP_018120306.1	PREDICTED: opsin-5-like [Xenopus laevis]	1.60e-74
XP_028928374.1	opsin-5 [Ornithorhynchus anatinus]	1.86e-73
XP_006881986.1	PREDICTED: opsin-5 [Elephantulus edwardii]	2.78e-73
XP_006860596.1	PREDICTED: opsin-5 [Chrysochloris asiatica]	3.60e-73
XP_004379593.1	opsin-5 [Trichechus manatus latirostris]	5.29e-73
XP_029606069.1	opsin-5-like [Salmo trutta]	5.66e-73
XP_023856224.1	opsin-5 isoform X1 [Salvelinus alpinus]	6.89e-73
XP_007517900.1	PREDICTED: opsin-5 [Erinaceus europaeus]	1.16e-72
XP_017200660.1	PREDICTED: opsin-5 [Oryctolagus cuniculus]	1.31e-72
XP_031156037.1	opsin-5-like [Sander lucioperca]	1.33e-72
NP_001186975.1	opsin-5 [Danio rerio]	1.63e-72
XP_009293041.1	opsin-5 isoform X1 [Danio rerio]	1.87e-72
XP_012600258.1	opsin-5 [Microcebus murinus]	2.03e-72
XP_020009490.1	LOW QUALITY PROTEIN: opsin-5 [Castor canadensis]	2.13e-72
XP_028461362.1	opsin-5 isoform X2 [Perca flavescens]	2.25e-72
XP_014060872.1	PREDICTED: opsin-5-like [Salmo salar]	3.03e-72
XP_028461361.1	opsin-5 isoform X1 [Perca flavescens]	3.12e-72
XP_003639476.1	opsin-5 [Canis lupus familiaris]	3.40e-72
XP_010880971.1	opsin-5 [Esox lucius]	3.41e-72
XP_017538724.1	PREDICTED: opsin-5 [Pygocentrus nattereri]	3.41e-72
XP_025847001.1	opsin-5 [Vulpes vulpes]	3.67e-72
XP_012520124.1	PREDICTED: opsin-5 [Propithecus coquereli]	4.39e-72
XP_004590591.1	PREDICTED: opsin-5 [Ochotona princeps]	5.31e-72
XP_005950526.1	PREDICTED: opsin-5-like [Haplochromis burtoni]	5.87e-72
XP_015460314.2	opsin-5 [Astyanax mexicanus]	5.95e-72
XP_034018591.1	opsin-5 [Thalassophryne amazonica]	6.36e-72
XP_006149155.1	opsin-5 [Tupaia chinensis]	6.75e-72
XP_032265306.1	opsin-5 [Phoca vitulina]	6.89e-72
XP_025746188.1	opsin-5 [Callorhinus ursinus]	6.97e-72
XP_028654941.1	opsin-5-like [Erpetoichthys calabaricus]	6.97e-72
XP_027456655.1	opsin-5 [Zalophus californianus]	7.67e-72
XP_006190791.1	opsin-5 [Camelus ferus]	7.67e-72
XP_006796269.1	PREDICTED: opsin-5-like [Neolamprologus brichardi]	7.75e-72
XP_020310351.1	opsin-5-like [Oncorhynchus kisutch]	8.84e-72
XP_004673610.1	PREDICTED: opsin-5 [Condylura cristata]	8.91e-72
XP_005465813.1	opsin-5 isoform X1 [Oreochromis niloticus]	1.03e-71
XP_007085156.1	PREDICTED: opsin-5 [Panthera tigris altaica]	1.03e-71
XP_020780305.1	opsin-5 [Boleophthalmus pectinirostris]	1.04e-71
XP_030576690.1	opsin-5 isoform X1 [Archocentrus centrarchus]	1.07e-71
XP_019313063.1	PREDICTED: opsin-5 [Panthera pardus]	1.10e-71
XP_021547763.1	opsin-5 [Neomonachus schauinslandi]	1.12e-71
XP_004408509.1	PREDICTED: opsin-5 [Odobenus rosmarus divergens]	1.14e-71
XP_005359846.1	opsin-5 [Microtus ochrogaster]	1.24e-71
XP_033476183.1	opsin-5 [Epinephelus lanceolatus]	1.25e-71
XP_022359202.1	opsin-5 [Enhydra lutris kenyoni]	1.31e-71
XP_026250277.1	opsin-5 [Urocitellus parryii]	1.32e-71
XP_001104044.1	opsin-5 [Macaca mulatta]	1.32e-71
XP_016343753.1	PREDICTED: opsin-5-like [Sinocyclocheilus anshuiensis]	1.34e-71
XP_021577515.1	opsin-5 isoform X2 [Ictidomys tridecemlineatus]	1.37e-71
XP_034847122.1	opsin-5 [Mirounga leonina]	1.49e-71
XP_008690042.1	PREDICTED: opsin-5 [Ursus maritimus]	1.55e-71
XP_002817015.1	opsin-5 [Pongo abelii]	1.63e-71
XP_010361135.1	opsin-5 [Rhinopithecus roxellana]	1.63e-71
XP_007934353.1	PREDICTED: opsin-5 [Orycteropus afer afer]	1.64e-71
XP_025999078.1	opsin-5 isoform X2 [Astatotilapia calliptera]	1.67e-71
XP_024234454.1	opsin-5-like [Oncorhynchus tshawytscha]	1.68e-71
XP_029801168.1	opsin-5 [Suricata suricatta]	1.69e-71
XP_004018921.2	opsin-5 [Ovis aries]	1.75e-71
XP_023068845.1	opsin-5 [Piliocolobus tephrosceles]	1.78e-71
XP_021456226.1	opsin-5-like [Oncorhynchus mykiss]	1.79e-71
XP_007127450.2	opsin-5 [Physeter catodon]	1.90e-71
XP_004574143.1	opsin-5 [Maylandia zebra]	1.92e-71
XP_014000181.1	PREDICTED: opsin-5-like [Salmo salar]	1.93e-71
XP_025999077.1	opsin-5 isoform X1 [Astatotilapia calliptera]	2.04e-71
XP_015343419.1	PREDICTED: opsin-5 [Marmota marmota marmota]	2.15e-71
