NP_001027640.1	retinal G-protein-coupled receptor [Ciona intestinalis]	0.0
NP_001027636.1	G-protein coupled receptor like protein [Ciona intestinalis]	3.01e-44
XP_002121313.1	beta-4C adrenergic receptor-like [Ciona intestinalis]	6.34e-35
XP_002127074.1	uncharacterized protein LOC100182476 [Ciona intestinalis]	3.74e-24
XP_034290644.1	RPE-retinal G protein-coupled receptor [Pantherophis guttatus]	4.74e-20
XP_029141402.1	RPE-retinal G protein-coupled receptor [Protobothrops mucrosquamatus]	5.47e-20
XP_026570333.1	RPE-retinal G protein-coupled receptor [Pseudonaja textilis]	1.26e-19
XP_026528513.1	RPE-retinal G protein-coupled receptor [Notechis scutatus]	4.78e-19
XP_013911055.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Thamnophis sirtalis]	7.39e-19
XP_028651317.1	RPE-retinal G protein-coupled receptor [Erpetoichthys calabaricus]	1.06e-18
XP_034508319.1	RPE-retinal G protein-coupled receptor-like, partial [Ailuropoda melanoleuca]	1.09e-18
XP_032088141.1	RPE-retinal G protein-coupled receptor [Thamnophis elegans]	1.22e-18
XP_007442166.1	RPE-retinal G protein-coupled receptor [Python bivittatus]	2.47e-18
XP_030196905.1	RPE-retinal G protein-coupled receptor-like [Gadus morhua]	2.52e-18
XP_017503157.1	PREDICTED: RPE-retinal G protein-coupled receptor [Manis javanica]	3.97e-18
XP_005871214.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X2 [Myotis brandtii]	4.03e-18
XP_014399108.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X1 [Myotis brandtii]	4.97e-18
XP_001927876.2	RPE-retinal G protein-coupled receptor isoform X2 [Sus scrofa]	6.52e-18
XP_034508798.1	RPE-retinal G protein-coupled receptor-like [Ailuropoda melanoleuca]	7.40e-18
XP_007174638.1	RPE-retinal G protein-coupled receptor isoform X2 [Balaenoptera acutorostrata scammoni]	1.36e-17
XP_007104100.2	RPE-retinal G protein-coupled receptor isoform X2 [Physeter catodon]	1.49e-17
XP_004583405.1	PREDICTED: RPE-retinal G protein-coupled receptor [Ochotona princeps]	1.74e-17
XP_006213157.1	RPE-retinal G protein-coupled receptor isoform X1 [Vicugna pacos]	2.24e-17
XP_014399109.1	PREDICTED: RPE-retinal G protein-coupled receptor isoform X3 [Myotis brandtii]	2.29e-17
XP_015272252.1	PREDICTED: RPE-retinal G protein-coupled receptor [Gekko japonicus]	3.21e-17
XP_025290771.1	RPE-retinal G protein-coupled receptor [Canis lupus dingo]	3.56e-17
XP_003418607.1	RPE-retinal G protein-coupled receptor [Loxodonta africana]	3.71e-17
XP_013889912.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Austrofundulus limnaeus]	3.97e-17
XP_013872569.1	PREDICTED: opsin-5-like [Austrofundulus limnaeus]	5.35e-17
XP_025861491.1	RPE-retinal G protein-coupled receptor [Vulpes vulpes]	6.19e-17
XP_020652504.1	RPE-retinal G protein-coupled receptor isoform X4 [Pogona vitticeps]	6.97e-17
XP_006174061.1	LOW QUALITY PROTEIN: RPE-retinal G protein-coupled receptor [Camelus ferus]	7.80e-17
XP_032115159.1	RPE-retinal G protein-coupled receptor isoform X2 [Sapajus apella]	8.04e-17
XP_029056943.1	RPE-retinal G protein-coupled receptor isoform X2 [Monodon monoceros]	8.04e-17
XP_026985424.1	RPE-retinal G protein-coupled receptor isoform X2 [Lagenorhynchus obliquidens]	8.12e-17
